[18:45:12.561], CLIENT, 1, -->, STTP, 4, list, bd48eb5b, ROUTE, , , 
[18:45:12.562], CLIENT, 1, -->, STTP, 15, list, bd48eb5b, ROUTE, , , 
[18:45:12.563], CLIENT, 1, -->, STTP, 18, list, bd48eb5b, ROUTE, , , 
[18:45:12.563], CLIENT, 1, -->, STTP, 2, list, bd48eb5b, ROUTE, , , 
[18:45:12.563], CLIENT, 1, -->, STTP, 17, list, bd48eb5b, ROUTE, , , 
[18:45:12.566], CLIENT, 1, <--, STTP, 2, list, bc0e7eeb, ROUTE, , , 
[18:45:12.568], CLIENT, 1, <--, STTP, 4, list, d2993b00, ROUTE, , , 
[18:45:12.570], CLIENT, 1, <--, STTP, 18, list, 2d429f58, ROUTE, , , 
[18:45:12.572], CLIENT, 1, <--, STTP, 15, list, 7a6636a4, ROUTE, , , 
[18:45:12.574], CLIENT, 1, <--, STTP, 17, list, 5feb1298, ROUTE, , , 
[18:45:12.584], CLIENT, 1, , , , , , query_route, CPU: 21.217962 ms, wall: 23.081995 ms, 
[18:45:12.585], CLIENT, 1, , , , , , shared_secret_rerandomization, CPU: 0.951911 ms, wall: 0.956569 ms, 
[18:45:12.587], CLIENT, 1, , , , , , compute_gamma, CPU: 0.273185 ms, wall: 0.278855 ms, 
[18:45:12.587], CLIENT, 1, , , , , , initial_layer, CPU: 2.004347 ms, wall: 2.014681 ms, 
[18:45:12.588], CLIENT, 1, , , , , , compute_gamma, CPU: 0.235632 ms, wall: 0.235479 ms, 
[18:45:12.588], CLIENT, 1, , , , , , add_layer, CPU: 1.316732 ms, wall: 1.321772 ms, 
[18:45:12.589], CLIENT, 1, , , , , , compute_gamma, CPU: 0.196538 ms, wall: 0.196348 ms, 
[18:45:12.589], CLIENT, 1, , , , , , add_layer, CPU: 0.931036 ms, wall: 0.938903 ms, 
[18:45:12.590], CLIENT, 1, , , , , , compute_gamma, CPU: 0.208746 ms, wall: 0.208551 ms, 
[18:45:12.590], CLIENT, 1, , , , , , add_layer, CPU: 0.847624 ms, wall: 0.851899 ms, 
[18:45:12.591], CLIENT, 1, , , , , , compute_gamma, CPU: 0.203776 ms, wall: 0.203916 ms, 
[18:45:12.591], CLIENT, 1, , , , , , add_layer, CPU: 0.846639 ms, wall: 0.851463 ms, 
[18:45:12.591], CLIENT, 1, , , , , , compute_layers, CPU: 6.211664 ms, wall: 6.243659 ms, 
[18:45:12.591], CLIENT, 1, , , , , , build_packet, CPU: 29.573147 ms, wall: 31.486139 ms, 
[18:45:12.591], CLIENT, 1, -->, MIX, 14, Header, 206e8ff1, RUN, , , 
[18:45:12.611], CLIENT, 1, <--, MIX, 4, Header, 889732a7, RUN, , , 
