[18:45:12.906], CLIENT, 10, -->, STTP, 4, list, fb083119, ROUTE, , , 
[18:45:12.906], CLIENT, 10, -->, STTP, 18, list, fb083119, ROUTE, , , 
[18:45:12.907], CLIENT, 10, -->, STTP, 7, list, fb083119, ROUTE, , , 
[18:45:12.907], CLIENT, 10, -->, STTP, 6, list, fb083119, ROUTE, , , 
[18:45:12.907], CLIENT, 10, -->, STTP, 12, list, fb083119, ROUTE, , , 
[18:45:12.911], CLIENT, 10, <--, STTP, 4, list, 4524fe47, ROUTE, , , 
[18:45:12.912], CLIENT, 10, <--, STTP, 18, list, 280e30ed, ROUTE, , , 
[18:45:12.914], CLIENT, 10, <--, STTP, 6, list, 50c46ba1, ROUTE, , , 
[18:45:12.915], CLIENT, 10, <--, STTP, 7, list, 58d8f667, ROUTE, , , 
[18:45:12.918], CLIENT, 10, <--, STTP, 12, list, 3dd9f5ee, ROUTE, , , 
[18:45:12.938], CLIENT, 10, , , , , , query_route, CPU: 30.642589 ms, wall: 31.700677 ms, 
[18:45:12.939], CLIENT, 10, , , , , , shared_secret_rerandomization, CPU: 0.966808 ms, wall: 0.970910 ms, 
[18:45:12.941], CLIENT, 10, , , , , , compute_gamma, CPU: 0.184251 ms, wall: 0.184173 ms, 
[18:45:12.941], CLIENT, 10, , , , , , initial_layer, CPU: 1.702809 ms, wall: 1.712110 ms, 
[18:45:12.942], CLIENT, 10, , , , , , compute_gamma, CPU: 0.211602 ms, wall: 0.211507 ms, 
[18:45:12.942], CLIENT, 10, , , , , , add_layer, CPU: 0.876499 ms, wall: 0.881723 ms, 
[18:45:12.942], CLIENT, 10, , , , , , compute_gamma, CPU: 0.208234 ms, wall: 0.207989 ms, 
[18:45:12.942], CLIENT, 10, , , , , , add_layer, CPU: 0.877320 ms, wall: 0.881533 ms, 
[18:45:12.943], CLIENT, 10, , , , , , compute_gamma, CPU: 0.201675 ms, wall: 0.201606 ms, 
[18:45:12.943], CLIENT, 10, , , , , , add_layer, CPU: 0.849043 ms, wall: 0.854577 ms, 
[18:45:12.944], CLIENT, 10, , , , , , compute_gamma, CPU: 0.171630 ms, wall: 0.171513 ms, 
[18:45:12.944], CLIENT, 10, , , , , , add_layer, CPU: 0.810673 ms, wall: 0.815036 ms, 
[18:45:12.944], CLIENT, 10, , , , , , compute_layers, CPU: 5.315552 ms, wall: 5.343849 ms, 
[18:45:12.944], CLIENT, 10, , , , , , build_packet, CPU: 37.611092 ms, wall: 38.703221 ms, 
[18:45:12.944], CLIENT, 10, -->, MIX, 25, Header, 3fecf695, RUN, , , 
[18:45:12.964], CLIENT, 10, <--, MIX, 19, Header, 18863dab, RUN, , , 
