[18:45:13.210], CLIENT, 100, -->, STTP, 19, list, 25f518db, ROUTE, , , 
[18:45:13.210], CLIENT, 100, -->, STTP, 1, list, 25f518db, ROUTE, , , 
[18:45:13.211], CLIENT, 100, -->, STTP, 5, list, 25f518db, ROUTE, , , 
[18:45:13.211], CLIENT, 100, -->, STTP, 13, list, 25f518db, ROUTE, , , 
[18:45:13.213], CLIENT, 100, -->, STTP, 17, list, 25f518db, ROUTE, , , 
[18:45:13.215], CLIENT, 100, <--, STTP, 13, list, 1dcc6d80, ROUTE, , , 
[18:45:13.221], CLIENT, 100, <--, STTP, 1, list, 789b1c19, ROUTE, , , 
[18:45:13.223], CLIENT, 100, <--, STTP, 17, list, e5873d15, ROUTE, , , 
[18:45:13.226], CLIENT, 100, <--, STTP, 19, list, 24a8ac57, ROUTE, , , 
[18:45:13.227], CLIENT, 100, <--, STTP, 5, list, 095f1884, ROUTE, , , 
[18:45:13.242], CLIENT, 100, , , , , , query_route, CPU: 26.864914 ms, wall: 32.090284 ms, 
[18:45:13.243], CLIENT, 100, , , , , , shared_secret_rerandomization, CPU: 1.198518 ms, wall: 1.206240 ms, 
[18:45:13.245], CLIENT, 100, , , , , , compute_gamma, CPU: 0.219646 ms, wall: 0.219381 ms, 
[18:45:13.245], CLIENT, 100, , , , , , initial_layer, CPU: 1.888814 ms, wall: 1.900707 ms, 
[18:45:13.246], CLIENT, 100, , , , , , compute_gamma, CPU: 0.196905 ms, wall: 0.196677 ms, 
[18:45:13.246], CLIENT, 100, , , , , , add_layer, CPU: 0.876284 ms, wall: 0.879875 ms, 
[18:45:13.247], CLIENT, 100, , , , , , compute_gamma, CPU: 0.159539 ms, wall: 0.159319 ms, 
[18:45:13.247], CLIENT, 100, , , , , , add_layer, CPU: 0.872402 ms, wall: 0.876628 ms, 
[18:45:13.248], CLIENT, 100, , , , , , compute_gamma, CPU: 0.180640 ms, wall: 0.185885 ms, 
[18:45:13.248], CLIENT, 100, , , , , , add_layer, CPU: 0.935788 ms, wall: 1.002298 ms, 
[18:45:13.250], CLIENT, 100, , , , , , compute_gamma, CPU: 0.317468 ms, wall: 0.410538 ms, 
[18:45:13.250], CLIENT, 100, , , , , , add_layer, CPU: 1.234157 ms, wall: 1.448942 ms, 
[18:45:13.250], CLIENT, 100, , , , , , compute_layers, CPU: 6.089694 ms, wall: 6.385477 ms, 
[18:45:13.250], CLIENT, 100, , , , , , build_packet, CPU: 35.250534 ms, wall: 40.931146 ms, 
[18:45:13.251], CLIENT, 100, -->, MIX, 30, Header, 022d3169, RUN, , , 
[18:45:13.306], CLIENT, 100, <--, MIX, 5, Header, 33659c97, RUN, , , 
