[18:45:12.787], CLIENT, 11, -->, STTP, 18, list, d465cef7, ROUTE, , , 
[18:45:12.788], CLIENT, 11, -->, STTP, 1, list, d465cef7, ROUTE, , , 
[18:45:12.788], CLIENT, 11, -->, STTP, 6, list, d465cef7, ROUTE, , , 
[18:45:12.788], CLIENT, 11, -->, STTP, 4, list, d465cef7, ROUTE, , , 
[18:45:12.788], CLIENT, 11, -->, STTP, 16, list, d465cef7, ROUTE, , , 
[18:45:12.790], CLIENT, 11, <--, STTP, 18, list, c6e81e46, ROUTE, , , 
[18:45:12.792], CLIENT, 11, <--, STTP, 4, list, 13b78d46, ROUTE, , , 
[18:45:12.793], CLIENT, 11, <--, STTP, 6, list, 5658ceb3, ROUTE, , , 
[18:45:12.795], CLIENT, 11, <--, STTP, 1, list, 3e5264e6, ROUTE, , , 
[18:45:12.797], CLIENT, 11, <--, STTP, 16, list, bd4a760b, ROUTE, , , 
[18:45:12.807], CLIENT, 11, , , , , , query_route, CPU: 18.742599 ms, wall: 19.486158 ms, 
[18:45:12.808], CLIENT, 11, , , , , , shared_secret_rerandomization, CPU: 0.963354 ms, wall: 0.967201 ms, 
[18:45:12.809], CLIENT, 11, , , , , , compute_gamma, CPU: 0.178725 ms, wall: 0.178755 ms, 
[18:45:12.809], CLIENT, 11, , , , , , initial_layer, CPU: 1.669606 ms, wall: 1.678605 ms, 
[18:45:12.810], CLIENT, 11, , , , , , compute_gamma, CPU: 0.184325 ms, wall: 0.184140 ms, 
[18:45:12.810], CLIENT, 11, , , , , , add_layer, CPU: 0.848306 ms, wall: 0.854622 ms, 
[18:45:12.811], CLIENT, 11, , , , , , compute_gamma, CPU: 0.172697 ms, wall: 0.172548 ms, 
[18:45:12.811], CLIENT, 11, , , , , , add_layer, CPU: 0.809874 ms, wall: 0.815617 ms, 
[18:45:12.812], CLIENT, 11, , , , , , compute_gamma, CPU: 0.198029 ms, wall: 0.203777 ms, 
[18:45:12.812], CLIENT, 11, , , , , , add_layer, CPU: 0.819891 ms, wall: 0.825530 ms, 
[18:45:12.813], CLIENT, 11, , , , , , compute_gamma, CPU: 0.148502 ms, wall: 0.148233 ms, 
[18:45:12.813], CLIENT, 11, , , , , , add_layer, CPU: 0.797281 ms, wall: 0.803129 ms, 
[18:45:12.813], CLIENT, 11, , , , , , compute_layers, CPU: 5.145358 ms, wall: 5.177179 ms, 
[18:45:12.813], CLIENT, 11, , , , , , build_packet, CPU: 25.573846 ms, wall: 26.358020 ms, 
[18:45:12.813], CLIENT, 11, -->, MIX, 25, Header, fa89a043, RUN, , , 
[18:45:12.832], CLIENT, 11, <--, MIX, 19, Header, dd7b5462, RUN, , , 
