[18:45:12.783], CLIENT, 14, -->, STTP, 16, list, 7f2ca755, ROUTE, , , 
[18:45:12.783], CLIENT, 14, -->, STTP, 19, list, 7f2ca755, ROUTE, , , 
[18:45:12.784], CLIENT, 14, -->, STTP, 8, list, 7f2ca755, ROUTE, , , 
[18:45:12.784], CLIENT, 14, -->, STTP, 4, list, 7f2ca755, ROUTE, , , 
[18:45:12.784], CLIENT, 14, -->, STTP, 5, list, 7f2ca755, ROUTE, , , 
[18:45:12.786], CLIENT, 14, <--, STTP, 16, list, eac552d7, ROUTE, , , 
[18:45:12.788], CLIENT, 14, <--, STTP, 8, list, aec0f6d0, ROUTE, , , 
[18:45:12.790], CLIENT, 14, <--, STTP, 19, list, 776e0f08, ROUTE, , , 
[18:45:12.791], CLIENT, 14, <--, STTP, 4, list, 1098323e, ROUTE, , , 
[18:45:12.793], CLIENT, 14, <--, STTP, 5, list, f6ca8fe6, ROUTE, , , 
[18:45:12.802], CLIENT, 14, , , , , , query_route, CPU: 18.661515 ms, wall: 19.331542 ms, 
[18:45:12.803], CLIENT, 14, , , , , , shared_secret_rerandomization, CPU: 0.996661 ms, wall: 1.000455 ms, 
[18:45:12.805], CLIENT, 14, , , , , , compute_gamma, CPU: 0.178128 ms, wall: 0.181606 ms, 
[18:45:12.805], CLIENT, 14, , , , , , initial_layer, CPU: 1.615674 ms, wall: 1.623555 ms, 
[18:45:12.806], CLIENT, 14, , , , , , compute_gamma, CPU: 0.158962 ms, wall: 0.163601 ms, 
[18:45:12.806], CLIENT, 14, , , , , , add_layer, CPU: 0.787559 ms, wall: 0.792034 ms, 
[18:45:12.807], CLIENT, 14, , , , , , compute_gamma, CPU: 0.182408 ms, wall: 0.182273 ms, 
[18:45:12.807], CLIENT, 14, , , , , , add_layer, CPU: 0.820880 ms, wall: 0.820789 ms, 
[18:45:12.808], CLIENT, 14, , , , , , compute_gamma, CPU: 0.151226 ms, wall: 0.151040 ms, 
[18:45:12.808], CLIENT, 14, , , , , , add_layer, CPU: 0.778292 ms, wall: 0.782321 ms, 
[18:45:12.809], CLIENT, 14, , , , , , compute_gamma, CPU: 0.222101 ms, wall: 0.221363 ms, 
[18:45:12.809], CLIENT, 14, , , , , , add_layer, CPU: 1.274451 ms, wall: 1.304434 ms, 
[18:45:12.809], CLIENT, 14, , , , , , compute_layers, CPU: 5.492160 ms, wall: 5.538119 ms, 
[18:45:12.809], CLIENT, 14, , , , , , build_packet, CPU: 25.937271 ms, wall: 26.662521 ms, 
[18:45:12.809], CLIENT, 14, -->, MIX, 14, Header, 3f526979, RUN, , , 
[18:45:12.828], CLIENT, 14, <--, MIX, 18, Header, fd1c393f, RUN, , , 
