[18:45:13.116], CLIENT, 16, -->, STTP, 12, list, 7295c272, ROUTE, , , 
[18:45:13.116], CLIENT, 16, -->, STTP, 4, list, 7295c272, ROUTE, , , 
[18:45:13.117], CLIENT, 16, -->, STTP, 18, list, 7295c272, ROUTE, , , 
[18:45:13.118], CLIENT, 16, -->, STTP, 16, list, 7295c272, ROUTE, , , 
[18:45:13.119], CLIENT, 16, -->, STTP, 15, list, 7295c272, ROUTE, , , 
[18:45:13.126], CLIENT, 16, <--, STTP, 18, list, 398ce467, ROUTE, , , 
[18:45:13.129], CLIENT, 16, <--, STTP, 12, list, eb8c6b99, ROUTE, , , 
[18:45:13.131], CLIENT, 16, <--, STTP, 15, list, 857cc3d7, ROUTE, , , 
[18:45:13.133], CLIENT, 16, <--, STTP, 4, list, 5d023420, ROUTE, , , 
[18:45:13.148], CLIENT, 16, <--, STTP, 16, list, e772562d, ROUTE, , , 
[18:45:13.182], CLIENT, 16, , , , , , query_route, CPU: 46.250139 ms, wall: 65.866132 ms, 
[18:45:13.185], CLIENT, 16, , , , , , shared_secret_rerandomization, CPU: 3.155763 ms, wall: 3.189281 ms, 
[18:45:13.191], CLIENT, 16, , , , , , compute_gamma, CPU: 0.441780 ms, wall: 0.441874 ms, 
[18:45:13.191], CLIENT, 16, , , , , , initial_layer, CPU: 5.345670 ms, wall: 5.386920 ms, 
[18:45:13.193], CLIENT, 16, , , , , , compute_gamma, CPU: 0.415226 ms, wall: 0.423354 ms, 
[18:45:13.194], CLIENT, 16, , , , , , add_layer, CPU: 2.598108 ms, wall: 2.786446 ms, 
[18:45:13.197], CLIENT, 16, , , , , , compute_gamma, CPU: 0.544263 ms, wall: 0.956144 ms, 
[18:45:13.198], CLIENT, 16, , , , , , add_layer, CPU: 2.740197 ms, wall: 3.756517 ms, 
[18:45:13.201], CLIENT, 16, , , , , , compute_gamma, CPU: 0.507344 ms, wall: 0.514759 ms, 
[18:45:13.201], CLIENT, 16, , , , , , add_layer, CPU: 2.784296 ms, wall: 3.224107 ms, 
[18:45:13.204], CLIENT, 16, , , , , , compute_gamma, CPU: 0.438013 ms, wall: 0.438105 ms, 
[18:45:13.204], CLIENT, 16, , , , , , add_layer, CPU: 2.606683 ms, wall: 2.627493 ms, 
[18:45:13.204], CLIENT, 16, , , , , , compute_layers, CPU: 16.802302 ms, wall: 18.877674 ms, 
[18:45:13.204], CLIENT, 16, , , , , , build_packet, CPU: 67.466355 ms, wall: 89.187979 ms, 
[18:45:13.205], CLIENT, 16, -->, MIX, 35, Header, 9453cb4e, RUN, , , 
[18:45:13.263], CLIENT, 16, <--, MIX, 49, Header, 0e83e0f8, RUN, , , 
