[18:45:13.150], CLIENT, 17, -->, STTP, 10, list, 02e56cdd, ROUTE, , , 
[18:45:13.151], CLIENT, 17, -->, STTP, 14, list, 02e56cdd, ROUTE, , , 
[18:45:13.151], CLIENT, 17, -->, STTP, 4, list, 02e56cdd, ROUTE, , , 
[18:45:13.151], CLIENT, 17, -->, STTP, 5, list, 02e56cdd, ROUTE, , , 
[18:45:13.153], CLIENT, 17, -->, STTP, 11, list, 02e56cdd, ROUTE, , , 
[18:45:13.159], CLIENT, 17, <--, STTP, 10, list, df4d675f, ROUTE, , , 
[18:45:13.168], CLIENT, 17, <--, STTP, 5, list, 481727a4, ROUTE, , , 
[18:45:13.173], CLIENT, 17, <--, STTP, 11, list, 9f64c681, ROUTE, , , 
[18:45:13.175], CLIENT, 17, <--, STTP, 14, list, 310c971d, ROUTE, , , 
[18:45:13.178], CLIENT, 17, <--, STTP, 4, list, 64628bac, ROUTE, , , 
[18:45:13.196], CLIENT, 17, , , , , , query_route, CPU: 30.307732 ms, wall: 45.815256 ms, 
[18:45:13.198], CLIENT, 17, , , , , , shared_secret_rerandomization, CPU: 1.589872 ms, wall: 1.718841 ms, 
[18:45:13.202], CLIENT, 17, , , , , , compute_gamma, CPU: 0.295737 ms, wall: 0.295449 ms, 
[18:45:13.203], CLIENT, 17, , , , , , initial_layer, CPU: 2.832721 ms, wall: 4.557297 ms, 
[18:45:13.204], CLIENT, 17, , , , , , compute_gamma, CPU: 0.251307 ms, wall: 0.251142 ms, 
[18:45:13.204], CLIENT, 17, , , , , , add_layer, CPU: 1.345833 ms, wall: 1.351118 ms, 
[18:45:13.205], CLIENT, 17, , , , , , compute_gamma, CPU: 0.235003 ms, wall: 0.234938 ms, 
[18:45:13.205], CLIENT, 17, , , , , , add_layer, CPU: 1.297435 ms, wall: 1.301841 ms, 
[18:45:13.207], CLIENT, 17, , , , , , compute_gamma, CPU: 0.331770 ms, wall: 0.331936 ms, 
[18:45:13.207], CLIENT, 17, , , , , , add_layer, CPU: 1.418743 ms, wall: 1.423157 ms, 
[18:45:13.208], CLIENT, 17, , , , , , compute_gamma, CPU: 0.223064 ms, wall: 0.222916 ms, 
[18:45:13.208], CLIENT, 17, , , , , , add_layer, CPU: 1.042348 ms, wall: 1.047548 ms, 
[18:45:13.208], CLIENT, 17, , , , , , compute_layers, CPU: 8.272189 ms, wall: 10.025854 ms, 
[18:45:13.208], CLIENT, 17, , , , , , build_packet, CPU: 41.202851 ms, wall: 58.602189 ms, 
[18:45:13.208], CLIENT, 17, -->, MIX, 49, Header, 9da0cdcd, RUN, , , 
[18:45:13.254], CLIENT, 17, <--, MIX, 1, Header, a2222e27, RUN, , , 
