[18:45:12.821], CLIENT, 18, -->, STTP, 11, list, 655423bb, ROUTE, , , 
[18:45:12.821], CLIENT, 18, -->, STTP, 16, list, 655423bb, ROUTE, , , 
[18:45:12.821], CLIENT, 18, -->, STTP, 4, list, 655423bb, ROUTE, , , 
[18:45:12.821], CLIENT, 18, -->, STTP, 13, list, 655423bb, ROUTE, , , 
[18:45:12.821], CLIENT, 18, -->, STTP, 6, list, 655423bb, ROUTE, , , 
[18:45:12.824], CLIENT, 18, <--, STTP, 11, list, 8ebff3da, ROUTE, , , 
[18:45:12.825], CLIENT, 18, <--, STTP, 4, list, 8716c725, ROUTE, , , 
[18:45:12.827], CLIENT, 18, <--, STTP, 16, list, f1e82ac8, ROUTE, , , 
[18:45:12.828], CLIENT, 18, <--, STTP, 13, list, d060c5bc, ROUTE, , , 
[18:45:12.829], CLIENT, 18, <--, STTP, 6, list, 5904f270, ROUTE, , , 
[18:45:12.839], CLIENT, 18, , , , , , query_route, CPU: 18.210920 ms, wall: 18.764502 ms, 
[18:45:12.840], CLIENT, 18, , , , , , shared_secret_rerandomization, CPU: 0.930493 ms, wall: 0.935352 ms, 
[18:45:12.842], CLIENT, 18, , , , , , compute_gamma, CPU: 0.174502 ms, wall: 0.174402 ms, 
[18:45:12.842], CLIENT, 18, , , , , , initial_layer, CPU: 1.630527 ms, wall: 1.640730 ms, 
[18:45:12.843], CLIENT, 18, , , , , , compute_gamma, CPU: 0.156627 ms, wall: 0.156498 ms, 
[18:45:12.843], CLIENT, 18, , , , , , add_layer, CPU: 0.806485 ms, wall: 0.806439 ms, 
[18:45:12.844], CLIENT, 18, , , , , , compute_gamma, CPU: 0.150920 ms, wall: 0.150690 ms, 
[18:45:12.844], CLIENT, 18, , , , , , add_layer, CPU: 0.794470 ms, wall: 0.797437 ms, 
[18:45:12.844], CLIENT, 18, , , , , , compute_gamma, CPU: 0.143250 ms, wall: 0.143139 ms, 
[18:45:12.844], CLIENT, 18, , , , , , add_layer, CPU: 0.780247 ms, wall: 0.785497 ms, 
[18:45:12.845], CLIENT, 18, , , , , , compute_gamma, CPU: 0.196540 ms, wall: 0.196381 ms, 
[18:45:12.845], CLIENT, 18, , , , , , add_layer, CPU: 0.811937 ms, wall: 0.816456 ms, 
[18:45:12.845], CLIENT, 18, , , , , , compute_layers, CPU: 5.024120 ms, wall: 5.046550 ms, 
[18:45:12.845], CLIENT, 18, , , , , , build_packet, CPU: 24.931123 ms, wall: 25.515070 ms, 
[18:45:12.845], CLIENT, 18, -->, MIX, 15, Header, a7ec7c66, RUN, , , 
[18:45:12.867], CLIENT, 18, <--, MIX, 28, Header, ba5111d4, RUN, , , 
