[18:45:13.095], CLIENT, 19, -->, STTP, 5, list, f4dbf934, ROUTE, , , 
[18:45:13.096], CLIENT, 19, -->, STTP, 14, list, f4dbf934, ROUTE, , , 
[18:45:13.096], CLIENT, 19, -->, STTP, 16, list, f4dbf934, ROUTE, , , 
[18:45:13.096], CLIENT, 19, -->, STTP, 2, list, f4dbf934, ROUTE, , , 
[18:45:13.096], CLIENT, 19, -->, STTP, 8, list, f4dbf934, ROUTE, , , 
[18:45:13.101], CLIENT, 19, <--, STTP, 14, list, e35ed225, ROUTE, , , 
[18:45:13.104], CLIENT, 19, <--, STTP, 2, list, ae3713b1, ROUTE, , , 
[18:45:13.107], CLIENT, 19, <--, STTP, 8, list, c19e284e, ROUTE, , , 
[18:45:13.109], CLIENT, 19, <--, STTP, 5, list, 15ff4e24, ROUTE, , , 
[18:45:13.111], CLIENT, 19, <--, STTP, 16, list, f2731e0c, ROUTE, , , 
[18:45:13.124], CLIENT, 19, , , , , , query_route, CPU: 28.940373 ms, wall: 29.573948 ms, 
[18:45:13.126], CLIENT, 19, , , , , , shared_secret_rerandomization, CPU: 1.362294 ms, wall: 1.370323 ms, 
[18:45:13.129], CLIENT, 19, , , , , , compute_gamma, CPU: 0.373611 ms, wall: 0.373101 ms, 
[18:45:13.129], CLIENT, 19, , , , , , initial_layer, CPU: 2.566207 ms, wall: 2.580999 ms, 
[18:45:13.130], CLIENT, 19, , , , , , compute_gamma, CPU: 0.283548 ms, wall: 0.290651 ms, 
[18:45:13.130], CLIENT, 19, , , , , , add_layer, CPU: 1.356506 ms, wall: 1.367106 ms, 
[18:45:13.131], CLIENT, 19, , , , , , compute_gamma, CPU: 0.267307 ms, wall: 0.261258 ms, 
[18:45:13.132], CLIENT, 19, , , , , , add_layer, CPU: 1.044634 ms, wall: 1.294441 ms, 
[18:45:13.133], CLIENT, 19, , , , , , compute_gamma, CPU: 0.201909 ms, wall: 0.201150 ms, 
[18:45:13.133], CLIENT, 19, , , , , , add_layer, CPU: 1.124305 ms, wall: 1.132275 ms, 
[18:45:13.134], CLIENT, 19, , , , , , compute_gamma, CPU: 0.252019 ms, wall: 0.251431 ms, 
[18:45:13.134], CLIENT, 19, , , , , , add_layer, CPU: 1.200854 ms, wall: 1.215462 ms, 
[18:45:13.134], CLIENT, 19, , , , , , compute_layers, CPU: 7.701160 ms, wall: 8.058109 ms, 
[18:45:13.134], CLIENT, 19, , , , , , build_packet, CPU: 39.627242 ms, wall: 40.639127 ms, 
[18:45:13.134], CLIENT, 19, -->, MIX, 10, Header, 010c75d1, RUN, , , 
[18:45:13.182], CLIENT, 19, <--, MIX, 7, Header, 2787abb4, RUN, , , 
