[18:45:12.538], CLIENT, 20, -->, STTP, 8, list, 5d3d0408, ROUTE, , , 
[18:45:12.539], CLIENT, 20, -->, STTP, 19, list, 5d3d0408, ROUTE, , , 
[18:45:12.539], CLIENT, 20, -->, STTP, 16, list, 5d3d0408, ROUTE, , , 
[18:45:12.539], CLIENT, 20, -->, STTP, 5, list, 5d3d0408, ROUTE, , , 
[18:45:12.539], CLIENT, 20, -->, STTP, 18, list, 5d3d0408, ROUTE, , , 
[18:45:12.542], CLIENT, 20, <--, STTP, 16, list, 2df1a75c, ROUTE, , , 
[18:45:12.543], CLIENT, 20, <--, STTP, 8, list, 84cc36ac, ROUTE, , , 
[18:45:12.545], CLIENT, 20, <--, STTP, 5, list, 0467ec5e, ROUTE, , , 
[18:45:12.546], CLIENT, 20, <--, STTP, 18, list, deaf1299, ROUTE, , , 
[18:45:12.548], CLIENT, 20, <--, STTP, 19, list, 5e2466a2, ROUTE, , , 
[18:45:12.558], CLIENT, 20, , , , , , query_route, CPU: 18.230778 ms, wall: 19.328341 ms, 
[18:45:12.559], CLIENT, 20, , , , , , shared_secret_rerandomization, CPU: 0.960917 ms, wall: 0.963542 ms, 
[18:45:12.560], CLIENT, 20, , , , , , compute_gamma, CPU: 0.176315 ms, wall: 0.176487 ms, 
[18:45:12.560], CLIENT, 20, , , , , , initial_layer, CPU: 1.633910 ms, wall: 1.643132 ms, 
[18:45:12.561], CLIENT, 20, , , , , , compute_gamma, CPU: 0.178335 ms, wall: 0.180461 ms, 
[18:45:12.561], CLIENT, 20, , , , , , add_layer, CPU: 0.818523 ms, wall: 0.823860 ms, 
[18:45:12.562], CLIENT, 20, , , , , , compute_gamma, CPU: 0.150132 ms, wall: 0.149872 ms, 
[18:45:12.562], CLIENT, 20, , , , , , add_layer, CPU: 0.815404 ms, wall: 0.820058 ms, 
[18:45:12.563], CLIENT, 20, , , , , , compute_gamma, CPU: 0.151771 ms, wall: 0.157291 ms, 
[18:45:12.563], CLIENT, 20, , , , , , add_layer, CPU: 0.784974 ms, wall: 0.790584 ms, 
[18:45:12.564], CLIENT, 20, , , , , , compute_gamma, CPU: 0.148935 ms, wall: 0.149002 ms, 
[18:45:12.564], CLIENT, 20, , , , , , add_layer, CPU: 0.781102 ms, wall: 0.781115 ms, 
[18:45:12.564], CLIENT, 20, , , , , , compute_layers, CPU: 5.034304 ms, wall: 5.058794 ms, 
[18:45:12.564], CLIENT, 20, , , , , , build_packet, CPU: 24.972128 ms, wall: 26.101392 ms, 
[18:45:12.564], CLIENT, 20, -->, MIX, 32, Header, bdac4e76, RUN, , , 
[18:45:12.588], CLIENT, 20, <--, MIX, 5, Header, d513f92b, RUN, , , 
