[18:45:12.994], CLIENT, 21, -->, STTP, 17, list, a42ca0ab, ROUTE, , , 
[18:45:12.994], CLIENT, 21, -->, STTP, 6, list, a42ca0ab, ROUTE, , , 
[18:45:12.995], CLIENT, 21, -->, STTP, 4, list, a42ca0ab, ROUTE, , , 
[18:45:12.995], CLIENT, 21, -->, STTP, 12, list, a42ca0ab, ROUTE, , , 
[18:45:12.995], CLIENT, 21, -->, STTP, 14, list, a42ca0ab, ROUTE, , , 
[18:45:12.999], CLIENT, 21, <--, STTP, 12, list, 94dcd494, ROUTE, , , 
[18:45:13.001], CLIENT, 21, <--, STTP, 14, list, 693d876c, ROUTE, , , 
[18:45:13.002], CLIENT, 21, <--, STTP, 17, list, 08701d2e, ROUTE, , , 
[18:45:13.004], CLIENT, 21, <--, STTP, 6, list, abf73570, ROUTE, , , 
[18:45:13.005], CLIENT, 21, <--, STTP, 4, list, c3f30fd6, ROUTE, , , 
[18:45:13.015], CLIENT, 21, , , , , , query_route, CPU: 20.498339 ms, wall: 21.652578 ms, 
[18:45:13.016], CLIENT, 21, , , , , , shared_secret_rerandomization, CPU: 0.960007 ms, wall: 0.965984 ms, 
[18:45:13.018], CLIENT, 21, , , , , , compute_gamma, CPU: 0.211689 ms, wall: 0.211539 ms, 
[18:45:13.018], CLIENT, 21, , , , , , initial_layer, CPU: 1.706437 ms, wall: 1.715759 ms, 
[18:45:13.019], CLIENT, 21, , , , , , compute_gamma, CPU: 0.164548 ms, wall: 0.175887 ms, 
[18:45:13.019], CLIENT, 21, , , , , , add_layer, CPU: 0.821876 ms, wall: 0.833180 ms, 
[18:45:13.020], CLIENT, 21, , , , , , compute_gamma, CPU: 0.178788 ms, wall: 0.183215 ms, 
[18:45:13.020], CLIENT, 21, , , , , , add_layer, CPU: 0.851553 ms, wall: 0.855917 ms, 
[18:45:13.021], CLIENT, 21, , , , , , compute_gamma, CPU: 0.146817 ms, wall: 0.146664 ms, 
[18:45:13.021], CLIENT, 21, , , , , , add_layer, CPU: 0.783900 ms, wall: 0.783906 ms, 
[18:45:13.022], CLIENT, 21, , , , , , compute_gamma, CPU: 0.148055 ms, wall: 0.147876 ms, 
[18:45:13.022], CLIENT, 21, , , , , , add_layer, CPU: 0.789704 ms, wall: 0.794339 ms, 
[18:45:13.022], CLIENT, 21, , , , , , compute_layers, CPU: 5.165984 ms, wall: 5.195313 ms, 
[18:45:13.022], CLIENT, 21, , , , , , build_packet, CPU: 27.319826 ms, wall: 28.506129 ms, 
[18:45:13.022], CLIENT, 21, -->, MIX, 19, Header, e12a154c, RUN, , , 
[18:45:13.042], CLIENT, 21, <--, MIX, 28, Header, f4a00673, RUN, , , 
