[18:45:13.082], CLIENT, 22, -->, STTP, 18, list, c5ef24fb, ROUTE, , , 
[18:45:13.082], CLIENT, 22, -->, STTP, 2, list, c5ef24fb, ROUTE, , , 
[18:45:13.082], CLIENT, 22, -->, STTP, 19, list, c5ef24fb, ROUTE, , , 
[18:45:13.082], CLIENT, 22, -->, STTP, 9, list, c5ef24fb, ROUTE, , , 
[18:45:13.082], CLIENT, 22, -->, STTP, 1, list, c5ef24fb, ROUTE, , , 
[18:45:13.085], CLIENT, 22, <--, STTP, 2, list, 1af3a8f1, ROUTE, , , 
[18:45:13.087], CLIENT, 22, <--, STTP, 18, list, b33311c0, ROUTE, , , 
[18:45:13.089], CLIENT, 22, <--, STTP, 9, list, 0ab90293, ROUTE, , , 
[18:45:13.091], CLIENT, 22, <--, STTP, 1, list, 295b6d61, ROUTE, , , 
[18:45:13.092], CLIENT, 22, <--, STTP, 19, list, 43762ccc, ROUTE, , , 
[18:45:13.122], CLIENT, 22, , , , , , query_route, CPU: 39.239917 ms, wall: 40.467543 ms, 
[18:45:13.125], CLIENT, 22, , , , , , shared_secret_rerandomization, CPU: 3.109431 ms, wall: 3.133245 ms, 
[18:45:13.131], CLIENT, 22, , , , , , compute_gamma, CPU: 0.443135 ms, wall: 0.443669 ms, 
[18:45:13.131], CLIENT, 22, , , , , , initial_layer, CPU: 5.321735 ms, wall: 5.371489 ms, 
[18:45:13.134], CLIENT, 22, , , , , , compute_gamma, CPU: 0.459623 ms, wall: 0.459885 ms, 
[18:45:13.134], CLIENT, 22, , , , , , add_layer, CPU: 2.661319 ms, wall: 2.676816 ms, 
[18:45:13.136], CLIENT, 22, , , , , , compute_gamma, CPU: 0.398702 ms, wall: 0.398537 ms, 
[18:45:13.137], CLIENT, 22, , , , , , add_layer, CPU: 2.582973 ms, wall: 2.597922 ms, 
[18:45:13.139], CLIENT, 22, , , , , , compute_gamma, CPU: 0.438770 ms, wall: 0.445084 ms, 
[18:45:13.139], CLIENT, 22, , , , , , add_layer, CPU: 2.564795 ms, wall: 2.587226 ms, 
[18:45:13.142], CLIENT, 22, , , , , , compute_gamma, CPU: 0.480690 ms, wall: 0.480563 ms, 
[18:45:13.142], CLIENT, 22, , , , , , add_layer, CPU: 2.608558 ms, wall: 2.632181 ms, 
[18:45:13.142], CLIENT, 22, , , , , , compute_layers, CPU: 16.414892 ms, wall: 16.547296 ms, 
[18:45:13.142], CLIENT, 22, , , , , , build_packet, CPU: 59.871425 ms, wall: 61.288235 ms, 
[18:45:13.143], CLIENT, 22, -->, MIX, 2, Header, 47ad7ab3, RUN, , , 
[18:45:13.171], CLIENT, 22, <--, MIX, 25, Header, 0f0343b4, RUN, , , 
