[18:45:12.886], CLIENT, 25, -->, STTP, 12, list, 30f0704c, ROUTE, , , 
[18:45:12.887], CLIENT, 25, -->, STTP, 7, list, 30f0704c, ROUTE, , , 
[18:45:12.887], CLIENT, 25, -->, STTP, 13, list, 30f0704c, ROUTE, , , 
[18:45:12.887], CLIENT, 25, -->, STTP, 15, list, 30f0704c, ROUTE, , , 
[18:45:12.887], CLIENT, 25, -->, STTP, 1, list, 30f0704c, ROUTE, , , 
[18:45:12.890], CLIENT, 25, <--, STTP, 12, list, a64d2b77, ROUTE, , , 
[18:45:12.891], CLIENT, 25, <--, STTP, 15, list, 73b19c07, ROUTE, , , 
[18:45:12.893], CLIENT, 25, <--, STTP, 7, list, a533ff81, ROUTE, , , 
[18:45:12.894], CLIENT, 25, <--, STTP, 13, list, 72457d56, ROUTE, , , 
[18:45:12.896], CLIENT, 25, <--, STTP, 1, list, 497eafa4, ROUTE, , , 
[18:45:12.905], CLIENT, 25, , , , , , query_route, CPU: 18.339650 ms, wall: 19.028014 ms, 
[18:45:12.907], CLIENT, 25, , , , , , shared_secret_rerandomization, CPU: 1.033661 ms, wall: 1.048560 ms, 
[18:45:12.908], CLIENT, 25, , , , , , compute_gamma, CPU: 0.182430 ms, wall: 0.182295 ms, 
[18:45:12.908], CLIENT, 25, , , , , , initial_layer, CPU: 1.693678 ms, wall: 1.706746 ms, 
[18:45:12.909], CLIENT, 25, , , , , , compute_gamma, CPU: 0.217095 ms, wall: 0.216965 ms, 
[18:45:12.909], CLIENT, 25, , , , , , add_layer, CPU: 0.891575 ms, wall: 0.896874 ms, 
[18:45:12.910], CLIENT, 25, , , , , , compute_gamma, CPU: 0.174388 ms, wall: 0.174252 ms, 
[18:45:12.910], CLIENT, 25, , , , , , add_layer, CPU: 0.836605 ms, wall: 0.840104 ms, 
[18:45:12.911], CLIENT, 25, , , , , , compute_gamma, CPU: 0.145843 ms, wall: 0.148523 ms, 
[18:45:12.911], CLIENT, 25, , , , , , add_layer, CPU: 0.792907 ms, wall: 0.795635 ms, 
[18:45:12.912], CLIENT, 25, , , , , , compute_gamma, CPU: 0.170478 ms, wall: 0.170428 ms, 
[18:45:12.912], CLIENT, 25, , , , , , add_layer, CPU: 0.810625 ms, wall: 0.810662 ms, 
[18:45:12.912], CLIENT, 25, , , , , , compute_layers, CPU: 5.229208 ms, wall: 5.257503 ms, 
[18:45:12.912], CLIENT, 25, , , , , , build_packet, CPU: 25.395979 ms, wall: 26.146506 ms, 
[18:45:12.912], CLIENT, 25, -->, MIX, 10, Header, 72015152, RUN, , , 
[18:45:12.931], CLIENT, 25, <--, MIX, 21, Header, dce36346, RUN, , , 
