[18:45:12.987], CLIENT, 26, -->, STTP, 6, list, c42d0595, ROUTE, , , 
[18:45:12.988], CLIENT, 26, -->, STTP, 17, list, c42d0595, ROUTE, , , 
[18:45:12.988], CLIENT, 26, -->, STTP, 1, list, c42d0595, ROUTE, , , 
[18:45:12.988], CLIENT, 26, -->, STTP, 2, list, c42d0595, ROUTE, , , 
[18:45:12.988], CLIENT, 26, -->, STTP, 18, list, c42d0595, ROUTE, , , 
[18:45:12.991], CLIENT, 26, <--, STTP, 6, list, d8a9e2a5, ROUTE, , , 
[18:45:12.993], CLIENT, 26, <--, STTP, 18, list, 522ef409, ROUTE, , , 
[18:45:12.995], CLIENT, 26, <--, STTP, 17, list, 9994686e, ROUTE, , , 
[18:45:12.996], CLIENT, 26, <--, STTP, 2, list, d4a0f237, ROUTE, , , 
[18:45:12.998], CLIENT, 26, <--, STTP, 1, list, 32e4ba3b, ROUTE, , , 
[18:45:13.007], CLIENT, 26, , , , , , query_route, CPU: 19.178645 ms, wall: 20.129373 ms, 
[18:45:13.009], CLIENT, 26, , , , , , shared_secret_rerandomization, CPU: 0.999948 ms, wall: 1.005668 ms, 
[18:45:13.010], CLIENT, 26, , , , , , compute_gamma, CPU: 0.233873 ms, wall: 0.233892 ms, 
[18:45:13.010], CLIENT, 26, , , , , , initial_layer, CPU: 1.732987 ms, wall: 1.753591 ms, 
[18:45:13.011], CLIENT, 26, , , , , , compute_gamma, CPU: 0.156056 ms, wall: 0.155916 ms, 
[18:45:13.011], CLIENT, 26, , , , , , add_layer, CPU: 0.817311 ms, wall: 0.822936 ms, 
[18:45:13.012], CLIENT, 26, , , , , , compute_gamma, CPU: 0.150217 ms, wall: 0.150040 ms, 
[18:45:13.012], CLIENT, 26, , , , , , add_layer, CPU: 0.817847 ms, wall: 0.828301 ms, 
[18:45:13.013], CLIENT, 26, , , , , , compute_gamma, CPU: 0.205317 ms, wall: 0.210969 ms, 
[18:45:13.013], CLIENT, 26, , , , , , add_layer, CPU: 0.849564 ms, wall: 0.855101 ms, 
[18:45:13.014], CLIENT, 26, , , , , , compute_gamma, CPU: 0.196557 ms, wall: 0.196436 ms, 
[18:45:13.014], CLIENT, 26, , , , , , add_layer, CPU: 0.816138 ms, wall: 0.816048 ms, 
[18:45:13.014], CLIENT, 26, , , , , , compute_layers, CPU: 5.239574 ms, wall: 5.287147 ms, 
[18:45:13.014], CLIENT, 26, , , , , , build_packet, CPU: 26.060374 ms, wall: 27.060832 ms, 
[18:45:13.014], CLIENT, 26, -->, MIX, 44, Header, d074e62f, RUN, , , 
[18:45:13.049], CLIENT, 26, <--, MIX, 49, Header, 2bf43de3, RUN, , , 
