[18:45:12.830], CLIENT, 27, -->, STTP, 19, list, 2541202f, ROUTE, , , 
[18:45:12.831], CLIENT, 27, -->, STTP, 12, list, 2541202f, ROUTE, , , 
[18:45:12.831], CLIENT, 27, -->, STTP, 8, list, 2541202f, ROUTE, , , 
[18:45:12.831], CLIENT, 27, -->, STTP, 14, list, 2541202f, ROUTE, , , 
[18:45:12.831], CLIENT, 27, -->, STTP, 5, list, 2541202f, ROUTE, , , 
[18:45:12.834], CLIENT, 27, <--, STTP, 19, list, 7723b2dc, ROUTE, , , 
[18:45:12.836], CLIENT, 27, <--, STTP, 8, list, 8e0a0a29, ROUTE, , , 
[18:45:12.837], CLIENT, 27, <--, STTP, 5, list, 6773bbbc, ROUTE, , , 
[18:45:12.839], CLIENT, 27, <--, STTP, 12, list, 7e836ffa, ROUTE, , , 
[18:45:12.840], CLIENT, 27, <--, STTP, 14, list, eb4486f6, ROUTE, , , 
[18:45:12.851], CLIENT, 27, , , , , , query_route, CPU: 20.382706 ms, wall: 20.922317 ms, 
[18:45:12.852], CLIENT, 27, , , , , , shared_secret_rerandomization, CPU: 0.989067 ms, wall: 0.995476 ms, 
[18:45:12.854], CLIENT, 27, , , , , , compute_gamma, CPU: 0.205260 ms, wall: 0.209469 ms, 
[18:45:12.854], CLIENT, 27, , , , , , initial_layer, CPU: 1.678707 ms, wall: 1.687979 ms, 
[18:45:12.855], CLIENT, 27, , , , , , compute_gamma, CPU: 0.211822 ms, wall: 0.211775 ms, 
[18:45:12.855], CLIENT, 27, , , , , , add_layer, CPU: 0.881547 ms, wall: 0.885134 ms, 
[18:45:12.856], CLIENT, 27, , , , , , compute_gamma, CPU: 0.175373 ms, wall: 0.175275 ms, 
[18:45:12.856], CLIENT, 27, , , , , , add_layer, CPU: 0.839116 ms, wall: 0.839049 ms, 
[18:45:12.857], CLIENT, 27, , , , , , compute_gamma, CPU: 0.170655 ms, wall: 0.170334 ms, 
[18:45:12.857], CLIENT, 27, , , , , , add_layer, CPU: 0.815045 ms, wall: 0.818714 ms, 
[18:45:12.858], CLIENT, 27, , , , , , compute_gamma, CPU: 0.143859 ms, wall: 0.143640 ms, 
[18:45:12.858], CLIENT, 27, , , , , , add_layer, CPU: 0.784961 ms, wall: 0.790383 ms, 
[18:45:12.858], CLIENT, 27, , , , , , compute_layers, CPU: 5.205098 ms, wall: 5.226604 ms, 
[18:45:12.858], CLIENT, 27, , , , , , build_packet, CPU: 27.544798 ms, wall: 28.125090 ms, 
[18:45:12.858], CLIENT, 27, -->, MIX, 1, Header, 1676c580, RUN, , , 
[18:45:12.877], CLIENT, 27, <--, MIX, 32, Header, 93c2383d, RUN, , , 
