[18:45:12.911], CLIENT, 29, -->, STTP, 1, list, 7d43c232, ROUTE, , , 
[18:45:12.911], CLIENT, 29, -->, STTP, 8, list, 7d43c232, ROUTE, , , 
[18:45:12.911], CLIENT, 29, -->, STTP, 12, list, 7d43c232, ROUTE, , , 
[18:45:12.912], CLIENT, 29, -->, STTP, 15, list, 7d43c232, ROUTE, , , 
[18:45:12.912], CLIENT, 29, -->, STTP, 6, list, 7d43c232, ROUTE, , , 
[18:45:12.916], CLIENT, 29, <--, STTP, 1, list, d3abf84c, ROUTE, , , 
[18:45:12.921], CLIENT, 29, <--, STTP, 15, list, 636de27a, ROUTE, , , 
[18:45:12.925], CLIENT, 29, <--, STTP, 6, list, d83a6376, ROUTE, , , 
[18:45:12.929], CLIENT, 29, <--, STTP, 8, list, 496d259e, ROUTE, , , 
[18:45:12.930], CLIENT, 29, <--, STTP, 12, list, 21091ca7, ROUTE, , , 
[18:45:12.947], CLIENT, 29, , , , , , query_route, CPU: 36.234149 ms, wall: 36.605124 ms, 
[18:45:12.949], CLIENT, 29, , , , , , shared_secret_rerandomization, CPU: 1.256877 ms, wall: 1.265934 ms, 
[18:45:12.954], CLIENT, 29, , , , , , compute_gamma, CPU: 0.477353 ms, wall: 0.484080 ms, 
[18:45:12.954], CLIENT, 29, , , , , , initial_layer, CPU: 5.505403 ms, wall: 5.570641 ms, 
[18:45:12.955], CLIENT, 29, , , , , , compute_gamma, CPU: 0.239768 ms, wall: 0.239569 ms, 
[18:45:12.955], CLIENT, 29, , , , , , add_layer, CPU: 1.004346 ms, wall: 1.010546 ms, 
[18:45:12.956], CLIENT, 29, , , , , , compute_gamma, CPU: 0.150278 ms, wall: 0.150089 ms, 
[18:45:12.956], CLIENT, 29, , , , , , add_layer, CPU: 0.820749 ms, wall: 0.827465 ms, 
[18:45:12.957], CLIENT, 29, , , , , , compute_gamma, CPU: 0.150463 ms, wall: 0.150246 ms, 
[18:45:12.957], CLIENT, 29, , , , , , add_layer, CPU: 0.794411 ms, wall: 0.799188 ms, 
[18:45:12.958], CLIENT, 29, , , , , , compute_gamma, CPU: 0.201258 ms, wall: 0.208060 ms, 
[18:45:12.958], CLIENT, 29, , , , , , add_layer, CPU: 0.856444 ms, wall: 0.863332 ms, 
[18:45:12.958], CLIENT, 29, , , , , , compute_layers, CPU: 9.388971 ms, wall: 9.492536 ms, 
[18:45:12.958], CLIENT, 29, , , , , , build_packet, CPU: 47.898477 ms, wall: 48.404176 ms, 
[18:45:12.958], CLIENT, 29, -->, MIX, 36, Header, a86cac2d, RUN, , , 
[18:45:12.980], CLIENT, 29, <--, MIX, 17, Header, bb888b87, RUN, , , 
