[18:45:12.537], CLIENT, 3, -->, STTP, 9, list, a3c052b4, ROUTE, , , 
[18:45:12.538], CLIENT, 3, -->, STTP, 1, list, a3c052b4, ROUTE, , , 
[18:45:12.538], CLIENT, 3, -->, STTP, 7, list, a3c052b4, ROUTE, , , 
[18:45:12.539], CLIENT, 3, -->, STTP, 19, list, a3c052b4, ROUTE, , , 
[18:45:12.539], CLIENT, 3, -->, STTP, 5, list, a3c052b4, ROUTE, , , 
[18:45:12.542], CLIENT, 3, <--, STTP, 7, list, 9246d5f1, ROUTE, , , 
[18:45:12.544], CLIENT, 3, <--, STTP, 5, list, 6fe2399a, ROUTE, , , 
[18:45:12.545], CLIENT, 3, <--, STTP, 1, list, 38d3ec75, ROUTE, , , 
[18:45:12.547], CLIENT, 3, <--, STTP, 9, list, faf628f8, ROUTE, , , 
[18:45:12.548], CLIENT, 3, <--, STTP, 19, list, c08427d7, ROUTE, , , 
[18:45:12.558], CLIENT, 3, , , , , , query_route, CPU: 19.808090 ms, wall: 20.793885 ms, 
[18:45:12.559], CLIENT, 3, , , , , , shared_secret_rerandomization, CPU: 0.978323 ms, wall: 0.983305 ms, 
[18:45:12.561], CLIENT, 3, , , , , , compute_gamma, CPU: 0.176084 ms, wall: 0.176177 ms, 
[18:45:12.561], CLIENT, 3, , , , , , initial_layer, CPU: 1.659291 ms, wall: 1.663070 ms, 
[18:45:12.562], CLIENT, 3, , , , , , compute_gamma, CPU: 0.153931 ms, wall: 0.153881 ms, 
[18:45:12.562], CLIENT, 3, , , , , , add_layer, CPU: 0.806815 ms, wall: 0.812239 ms, 
[18:45:12.562], CLIENT, 3, , , , , , compute_gamma, CPU: 0.199605 ms, wall: 0.199530 ms, 
[18:45:12.562], CLIENT, 3, , , , , , add_layer, CPU: 0.837319 ms, wall: 0.840081 ms, 
[18:45:12.563], CLIENT, 3, , , , , , compute_gamma, CPU: 0.195010 ms, wall: 0.195033 ms, 
[18:45:12.563], CLIENT, 3, , , , , , add_layer, CPU: 0.815580 ms, wall: 0.820460 ms, 
[18:45:12.564], CLIENT, 3, , , , , , compute_gamma, CPU: 0.168995 ms, wall: 0.168843 ms, 
[18:45:12.564], CLIENT, 3, , , , , , add_layer, CPU: 0.799748 ms, wall: 0.804087 ms, 
[18:45:12.564], CLIENT, 3, , , , , , compute_layers, CPU: 5.118678 ms, wall: 5.139545 ms, 
[18:45:12.564], CLIENT, 3, , , , , , build_packet, CPU: 27.150007 ms, wall: 28.170838 ms, 
[18:45:12.564], CLIENT, 3, -->, MIX, 43, Header, 41d0acc6, RUN, , , 
[18:45:12.588], CLIENT, 3, <--, MIX, 49, Header, 74add66c, RUN, , , 
