[18:45:13.080], CLIENT, 30, -->, STTP, 15, list, eb278337, ROUTE, , , 
[18:45:13.080], CLIENT, 30, -->, STTP, 19, list, eb278337, ROUTE, , , 
[18:45:13.081], CLIENT, 30, -->, STTP, 4, list, eb278337, ROUTE, , , 
[18:45:13.081], CLIENT, 30, -->, STTP, 1, list, eb278337, ROUTE, , , 
[18:45:13.081], CLIENT, 30, -->, STTP, 18, list, eb278337, ROUTE, , , 
[18:45:13.085], CLIENT, 30, <--, STTP, 4, list, 88cede43, ROUTE, , , 
[18:45:13.088], CLIENT, 30, <--, STTP, 15, list, 1d368dec, ROUTE, , , 
[18:45:13.093], CLIENT, 30, <--, STTP, 1, list, 0afd41f0, ROUTE, , , 
[18:45:13.099], CLIENT, 30, <--, STTP, 18, list, e69afe58, ROUTE, , , 
[18:45:13.105], CLIENT, 30, <--, STTP, 19, list, 2238c86f, ROUTE, , , 
[18:45:13.148], CLIENT, 30, , , , , , query_route, CPU: 54.153723 ms, wall: 68.210064 ms, 
[18:45:13.153], CLIENT, 30, , , , , , shared_secret_rerandomization, CPU: 3.142394 ms, wall: 4.185255 ms, 
[18:45:13.159], CLIENT, 30, , , , , , compute_gamma, CPU: 0.471271 ms, wall: 0.785571 ms, 
[18:45:13.160], CLIENT, 30, , , , , , initial_layer, CPU: 5.570049 ms, wall: 7.392597 ms, 
[18:45:13.163], CLIENT, 30, , , , , , compute_gamma, CPU: 0.440412 ms, wall: 0.439975 ms, 
[18:45:13.164], CLIENT, 30, , , , , , add_layer, CPU: 2.731469 ms, wall: 3.302870 ms, 
[18:45:13.167], CLIENT, 30, , , , , , compute_gamma, CPU: 0.424762 ms, wall: 0.431380 ms, 
[18:45:13.167], CLIENT, 30, , , , , , add_layer, CPU: 2.716389 ms, wall: 3.474584 ms, 
[18:45:13.170], CLIENT, 30, , , , , , compute_gamma, CPU: 0.414902 ms, wall: 0.422165 ms, 
[18:45:13.170], CLIENT, 30, , , , , , add_layer, CPU: 2.649368 ms, wall: 2.753247 ms, 
[18:45:13.174], CLIENT, 30, , , , , , compute_gamma, CPU: 0.419577 ms, wall: 0.428810 ms, 
[18:45:13.174], CLIENT, 30, , , , , , add_layer, CPU: 2.704481 ms, wall: 3.745883 ms, 
[18:45:13.174], CLIENT, 30, , , , , , compute_layers, CPU: 17.137844 ms, wall: 21.546389 ms, 
[18:45:13.175], CLIENT, 30, , , , , , build_packet, CPU: 76.032022 ms, wall: 95.543093 ms, 
[18:45:13.175], CLIENT, 30, -->, MIX, 45, Header, bb9b2b48, RUN, , , 
[18:45:13.226], CLIENT, 30, <--, MIX, 41, Header, 76bdbd71, RUN, , , 
