[18:45:13.077], CLIENT, 33, -->, STTP, 12, list, 0f3dd4e9, ROUTE, , , 
[18:45:13.078], CLIENT, 33, -->, STTP, 3, list, 0f3dd4e9, ROUTE, , , 
[18:45:13.078], CLIENT, 33, -->, STTP, 14, list, 0f3dd4e9, ROUTE, , , 
[18:45:13.078], CLIENT, 33, -->, STTP, 2, list, 0f3dd4e9, ROUTE, , , 
[18:45:13.078], CLIENT, 33, -->, STTP, 7, list, 0f3dd4e9, ROUTE, , , 
[18:45:13.081], CLIENT, 33, <--, STTP, 3, list, be75728a, ROUTE, , , 
[18:45:13.083], CLIENT, 33, <--, STTP, 2, list, f34dd273, ROUTE, , , 
[18:45:13.085], CLIENT, 33, <--, STTP, 14, list, f64fbd4e, ROUTE, , , 
[18:45:13.087], CLIENT, 33, <--, STTP, 7, list, 4b162344, ROUTE, , , 
[18:45:13.089], CLIENT, 33, <--, STTP, 12, list, ccf2dcb1, ROUTE, , , 
[18:45:13.099], CLIENT, 33, , , , , , query_route, CPU: 20.901798 ms, wall: 21.980845 ms, 
[18:45:13.100], CLIENT, 33, , , , , , shared_secret_rerandomization, CPU: 1.023214 ms, wall: 1.027287 ms, 
[18:45:13.102], CLIENT, 33, , , , , , compute_gamma, CPU: 0.312260 ms, wall: 0.312277 ms, 
[18:45:13.102], CLIENT, 33, , , , , , initial_layer, CPU: 2.011700 ms, wall: 2.023420 ms, 
[18:45:13.104], CLIENT, 33, , , , , , compute_gamma, CPU: 0.184806 ms, wall: 0.183978 ms, 
[18:45:13.104], CLIENT, 33, , , , , , add_layer, CPU: 1.224795 ms, wall: 1.237078 ms, 
[18:45:13.105], CLIENT, 33, , , , , , compute_gamma, CPU: 0.157052 ms, wall: 0.157122 ms, 
[18:45:13.105], CLIENT, 33, , , , , , add_layer, CPU: 0.821620 ms, wall: 0.829218 ms, 
[18:45:13.106], CLIENT, 33, , , , , , compute_gamma, CPU: 0.195073 ms, wall: 0.194942 ms, 
[18:45:13.106], CLIENT, 33, , , , , , add_layer, CPU: 0.919372 ms, wall: 0.923727 ms, 
[18:45:13.107], CLIENT, 33, , , , , , compute_gamma, CPU: 0.241743 ms, wall: 0.240646 ms, 
[18:45:13.107], CLIENT, 33, , , , , , add_layer, CPU: 1.224034 ms, wall: 1.231374 ms, 
[18:45:13.107], CLIENT, 33, , , , , , compute_layers, CPU: 6.500177 ms, wall: 6.550020 ms, 
[18:45:13.107], CLIENT, 33, , , , , , build_packet, CPU: 29.105684 ms, wall: 30.241681 ms, 
[18:45:13.107], CLIENT, 33, -->, MIX, 13, Header, 29870902, RUN, , , 
[18:45:13.146], CLIENT, 33, <--, MIX, 1, Header, a6a1bb9e, RUN, , , 
