[18:45:13.129], CLIENT, 35, -->, STTP, 5, list, 4960d8b1, ROUTE, , , 
[18:45:13.133], CLIENT, 35, -->, STTP, 8, list, 4960d8b1, ROUTE, , , 
[18:45:13.133], CLIENT, 35, -->, STTP, 7, list, 4960d8b1, ROUTE, , , 
[18:45:13.134], CLIENT, 35, -->, STTP, 10, list, 4960d8b1, ROUTE, , , 
[18:45:13.134], CLIENT, 35, -->, STTP, 2, list, 4960d8b1, ROUTE, , , 
[18:45:13.139], CLIENT, 35, <--, STTP, 5, list, 8e4e581e, ROUTE, , , 
[18:45:13.141], CLIENT, 35, <--, STTP, 8, list, 04b3fa60, ROUTE, , , 
[18:45:13.146], CLIENT, 35, <--, STTP, 7, list, 71d7235a, ROUTE, , , 
[18:45:13.151], CLIENT, 35, <--, STTP, 2, list, 0f671708, ROUTE, , , 
[18:45:13.153], CLIENT, 35, <--, STTP, 10, list, 4a63565f, ROUTE, , , 
[18:45:13.170], CLIENT, 35, , , , , , query_route, CPU: 30.526483 ms, wall: 41.046204 ms, 
[18:45:13.172], CLIENT, 35, , , , , , shared_secret_rerandomization, CPU: 1.608451 ms, wall: 1.621706 ms, 
[18:45:13.175], CLIENT, 35, , , , , , compute_gamma, CPU: 0.322435 ms, wall: 0.326785 ms, 
[18:45:13.175], CLIENT, 35, , , , , , initial_layer, CPU: 2.758377 ms, wall: 2.776647 ms, 
[18:45:13.176], CLIENT, 35, , , , , , compute_gamma, CPU: 0.282830 ms, wall: 0.282645 ms, 
[18:45:13.177], CLIENT, 35, , , , , , add_layer, CPU: 1.346672 ms, wall: 1.353400 ms, 
[18:45:13.178], CLIENT, 35, , , , , , compute_gamma, CPU: 0.276588 ms, wall: 0.276636 ms, 
[18:45:13.178], CLIENT, 35, , , , , , add_layer, CPU: 1.410410 ms, wall: 1.421942 ms, 
[18:45:13.179], CLIENT, 35, , , , , , compute_gamma, CPU: 0.249127 ms, wall: 0.248557 ms, 
[18:45:13.179], CLIENT, 35, , , , , , add_layer, CPU: 1.328650 ms, wall: 1.335925 ms, 
[18:45:13.181], CLIENT, 35, , , , , , compute_gamma, CPU: 0.309400 ms, wall: 0.309384 ms, 
[18:45:13.181], CLIENT, 35, , , , , , add_layer, CPU: 1.363295 ms, wall: 1.369071 ms, 
[18:45:13.181], CLIENT, 35, , , , , , compute_layers, CPU: 8.559785 ms, wall: 8.608862 ms, 
[18:45:13.181], CLIENT, 35, , , , , , build_packet, CPU: 42.313103 ms, wall: 52.909980 ms, 
[18:45:13.181], CLIENT, 35, -->, MIX, 20, Header, d7a68ba5, RUN, , , 
[18:45:13.225], CLIENT, 35, <--, MIX, 43, Header, 9f585468, RUN, , , 
