[18:45:12.884], CLIENT, 36, -->, STTP, 1, list, 52c3f289, ROUTE, , , 
[18:45:12.885], CLIENT, 36, -->, STTP, 16, list, 52c3f289, ROUTE, , , 
[18:45:12.885], CLIENT, 36, -->, STTP, 15, list, 52c3f289, ROUTE, , , 
[18:45:12.885], CLIENT, 36, -->, STTP, 9, list, 52c3f289, ROUTE, , , 
[18:45:12.885], CLIENT, 36, -->, STTP, 2, list, 52c3f289, ROUTE, , , 
[18:45:12.888], CLIENT, 36, <--, STTP, 1, list, 7fcf5068, ROUTE, , , 
[18:45:12.889], CLIENT, 36, <--, STTP, 16, list, 31513676, ROUTE, , , 
[18:45:12.891], CLIENT, 36, <--, STTP, 2, list, 3d23be0a, ROUTE, , , 
[18:45:12.892], CLIENT, 36, <--, STTP, 9, list, 3edc685c, ROUTE, , , 
[18:45:12.894], CLIENT, 36, <--, STTP, 15, list, 73ca447d, ROUTE, , , 
[18:45:12.904], CLIENT, 36, , , , , , query_route, CPU: 18.377035 ms, wall: 19.324105 ms, 
[18:45:12.905], CLIENT, 36, , , , , , shared_secret_rerandomization, CPU: 1.010159 ms, wall: 1.012842 ms, 
[18:45:12.906], CLIENT, 36, , , , , , compute_gamma, CPU: 0.198705 ms, wall: 0.198442 ms, 
[18:45:12.906], CLIENT, 36, , , , , , initial_layer, CPU: 1.661944 ms, wall: 1.668507 ms, 
[18:45:12.907], CLIENT, 36, , , , , , compute_gamma, CPU: 0.157945 ms, wall: 0.157731 ms, 
[18:45:12.907], CLIENT, 36, , , , , , add_layer, CPU: 0.822537 ms, wall: 0.827526 ms, 
[18:45:12.908], CLIENT, 36, , , , , , compute_gamma, CPU: 0.150834 ms, wall: 0.156202 ms, 
[18:45:12.908], CLIENT, 36, , , , , , add_layer, CPU: 0.791040 ms, wall: 0.796295 ms, 
[18:45:12.909], CLIENT, 36, , , , , , compute_gamma, CPU: 0.196768 ms, wall: 0.196792 ms, 
[18:45:12.909], CLIENT, 36, , , , , , add_layer, CPU: 0.816001 ms, wall: 0.818431 ms, 
[18:45:12.910], CLIENT, 36, , , , , , compute_gamma, CPU: 0.141649 ms, wall: 0.141588 ms, 
[18:45:12.910], CLIENT, 36, , , , , , add_layer, CPU: 0.765439 ms, wall: 0.765450 ms, 
[18:45:12.910], CLIENT, 36, , , , , , compute_layers, CPU: 5.050834 ms, wall: 5.069617 ms, 
[18:45:12.910], CLIENT, 36, , , , , , build_packet, CPU: 25.478798 ms, wall: 26.465237 ms, 
[18:45:12.910], CLIENT, 36, -->, MIX, 5, Header, 14225554, RUN, , , 
[18:45:12.930], CLIENT, 36, <--, MIX, 7, Header, d8acbaaa, RUN, , , 
