[18:45:12.986], CLIENT, 39, -->, STTP, 12, list, c0937eb9, ROUTE, , , 
[18:45:12.987], CLIENT, 39, -->, STTP, 7, list, c0937eb9, ROUTE, , , 
[18:45:12.987], CLIENT, 39, -->, STTP, 13, list, c0937eb9, ROUTE, , , 
[18:45:12.987], CLIENT, 39, -->, STTP, 11, list, c0937eb9, ROUTE, , , 
[18:45:12.987], CLIENT, 39, -->, STTP, 2, list, c0937eb9, ROUTE, , , 
[18:45:12.990], CLIENT, 39, <--, STTP, 12, list, 884b1cb5, ROUTE, , , 
[18:45:12.992], CLIENT, 39, <--, STTP, 2, list, b40e7193, ROUTE, , , 
[18:45:12.993], CLIENT, 39, <--, STTP, 7, list, 1955d25e, ROUTE, , , 
[18:45:12.995], CLIENT, 39, <--, STTP, 13, list, b752717c, ROUTE, , , 
[18:45:12.996], CLIENT, 39, <--, STTP, 11, list, 6e74dbaf, ROUTE, , , 
[18:45:13.007], CLIENT, 39, , , , , , query_route, CPU: 19.196642 ms, wall: 20.074768 ms, 
[18:45:13.008], CLIENT, 39, , , , , , shared_secret_rerandomization, CPU: 1.038274 ms, wall: 1.043959 ms, 
[18:45:13.009], CLIENT, 39, , , , , , compute_gamma, CPU: 0.188405 ms, wall: 0.188553 ms, 
[18:45:13.010], CLIENT, 39, , , , , , initial_layer, CPU: 1.715049 ms, wall: 1.764332 ms, 
[18:45:13.010], CLIENT, 39, , , , , , compute_gamma, CPU: 0.162942 ms, wall: 0.162836 ms, 
[18:45:13.010], CLIENT, 39, , , , , , add_layer, CPU: 0.836340 ms, wall: 0.840331 ms, 
[18:45:13.011], CLIENT, 39, , , , , , compute_gamma, CPU: 0.203140 ms, wall: 0.202885 ms, 
[18:45:13.011], CLIENT, 39, , , , , , add_layer, CPU: 0.852354 ms, wall: 0.856731 ms, 
[18:45:13.012], CLIENT, 39, , , , , , compute_gamma, CPU: 0.201331 ms, wall: 0.200444 ms, 
[18:45:13.012], CLIENT, 39, , , , , , add_layer, CPU: 0.844671 ms, wall: 0.847990 ms, 
[18:45:13.013], CLIENT, 39, , , , , , compute_gamma, CPU: 0.151332 ms, wall: 0.161845 ms, 
[18:45:13.013], CLIENT, 39, , , , , , add_layer, CPU: 0.797772 ms, wall: 0.808624 ms, 
[18:45:13.013], CLIENT, 39, , , , , , compute_layers, CPU: 5.265658 ms, wall: 5.336976 ms, 
[18:45:13.013], CLIENT, 39, , , , , , build_packet, CPU: 26.471920 ms, wall: 27.441720 ms, 
[18:45:13.013], CLIENT, 39, -->, MIX, 48, Header, 8b62fa09, RUN, , , 
[18:45:13.038], CLIENT, 39, <--, MIX, 21, Header, 6160ddc1, RUN, , , 
