[18:45:12.995], CLIENT, 40, -->, STTP, 18, list, efbab566, ROUTE, , , 
[18:45:12.996], CLIENT, 40, -->, STTP, 10, list, efbab566, ROUTE, , , 
[18:45:12.996], CLIENT, 40, -->, STTP, 15, list, efbab566, ROUTE, , , 
[18:45:12.997], CLIENT, 40, -->, STTP, 1, list, efbab566, ROUTE, , , 
[18:45:12.997], CLIENT, 40, -->, STTP, 17, list, efbab566, ROUTE, , , 
[18:45:13.001], CLIENT, 40, <--, STTP, 18, list, dc2da2a0, ROUTE, , , 
[18:45:13.004], CLIENT, 40, <--, STTP, 15, list, a2c6223e, ROUTE, , , 
[18:45:13.006], CLIENT, 40, <--, STTP, 1, list, 668f8c97, ROUTE, , , 
[18:45:13.007], CLIENT, 40, <--, STTP, 10, list, 675c246b, ROUTE, , , 
[18:45:13.009], CLIENT, 40, <--, STTP, 17, list, 638ffd6b, ROUTE, , , 
[18:45:13.019], CLIENT, 40, , , , , , query_route, CPU: 23.529949 ms, wall: 23.760751 ms, 
[18:45:13.021], CLIENT, 40, , , , , , shared_secret_rerandomization, CPU: 1.491372 ms, wall: 1.500678 ms, 
[18:45:13.023], CLIENT, 40, , , , , , compute_gamma, CPU: 0.187231 ms, wall: 0.187074 ms, 
[18:45:13.023], CLIENT, 40, , , , , , initial_layer, CPU: 1.781827 ms, wall: 1.796170 ms, 
[18:45:13.023], CLIENT, 40, , , , , , compute_gamma, CPU: 0.160180 ms, wall: 0.160064 ms, 
[18:45:13.024], CLIENT, 40, , , , , , add_layer, CPU: 0.823978 ms, wall: 0.831292 ms, 
[18:45:13.024], CLIENT, 40, , , , , , compute_gamma, CPU: 0.157706 ms, wall: 0.157823 ms, 
[18:45:13.024], CLIENT, 40, , , , , , add_layer, CPU: 0.817005 ms, wall: 0.822924 ms, 
[18:45:13.025], CLIENT, 40, , , , , , compute_gamma, CPU: 0.147779 ms, wall: 0.147648 ms, 
[18:45:13.025], CLIENT, 40, , , , , , add_layer, CPU: 0.807722 ms, wall: 0.818809 ms, 
[18:45:13.026], CLIENT, 40, , , , , , compute_gamma, CPU: 0.236315 ms, wall: 0.252069 ms, 
[18:45:13.026], CLIENT, 40, , , , , , add_layer, CPU: 0.982615 ms, wall: 0.997705 ms, 
[18:45:13.026], CLIENT, 40, , , , , , compute_layers, CPU: 5.447292 ms, wall: 5.500113 ms, 
[18:45:13.026], CLIENT, 40, , , , , , build_packet, CPU: 32.001203 ms, wall: 32.302003 ms, 
[18:45:13.026], CLIENT, 40, -->, MIX, 36, Header, 65d54823, RUN, , , 
[18:45:13.049], CLIENT, 40, <--, MIX, 7, Header, f42bfab7, RUN, , , 
