[18:45:13.018], CLIENT, 41, -->, STTP, 12, list, 8a681f18, ROUTE, , , 
[18:45:13.019], CLIENT, 41, -->, STTP, 10, list, 8a681f18, ROUTE, , , 
[18:45:13.019], CLIENT, 41, -->, STTP, 8, list, 8a681f18, ROUTE, , , 
[18:45:13.019], CLIENT, 41, -->, STTP, 17, list, 8a681f18, ROUTE, , , 
[18:45:13.019], CLIENT, 41, -->, STTP, 1, list, 8a681f18, ROUTE, , , 
[18:45:13.022], CLIENT, 41, <--, STTP, 12, list, c29f1c4b, ROUTE, , , 
[18:45:13.023], CLIENT, 41, <--, STTP, 8, list, 64151365, ROUTE, , , 
[18:45:13.025], CLIENT, 41, <--, STTP, 10, list, c20cc027, ROUTE, , , 
[18:45:13.026], CLIENT, 41, <--, STTP, 17, list, 0d557451, ROUTE, , , 
[18:45:13.028], CLIENT, 41, <--, STTP, 1, list, 43b4d9df, ROUTE, , , 
[18:45:13.047], CLIENT, 41, , , , , , query_route, CPU: 27.529782 ms, wall: 28.601296 ms, 
[18:45:13.050], CLIENT, 41, , , , , , shared_secret_rerandomization, CPU: 3.111919 ms, wall: 3.135046 ms, 
[18:45:13.054], CLIENT, 41, , , , , , compute_gamma, CPU: 0.208583 ms, wall: 0.208004 ms, 
[18:45:13.054], CLIENT, 41, , , , , , initial_layer, CPU: 3.339074 ms, wall: 3.372279 ms, 
[18:45:13.055], CLIENT, 41, , , , , , compute_gamma, CPU: 0.171355 ms, wall: 0.171141 ms, 
[18:45:13.055], CLIENT, 41, , , , , , add_layer, CPU: 0.853858 ms, wall: 0.859603 ms, 
[18:45:13.056], CLIENT, 41, , , , , , compute_gamma, CPU: 0.157120 ms, wall: 0.156865 ms, 
[18:45:13.056], CLIENT, 41, , , , , , add_layer, CPU: 0.852987 ms, wall: 0.858703 ms, 
[18:45:13.057], CLIENT, 41, , , , , , compute_gamma, CPU: 0.178285 ms, wall: 0.177999 ms, 
[18:45:13.057], CLIENT, 41, , , , , , add_layer, CPU: 0.865997 ms, wall: 0.870674 ms, 
[18:45:13.058], CLIENT, 41, , , , , , compute_gamma, CPU: 0.181691 ms, wall: 0.180445 ms, 
[18:45:13.058], CLIENT, 41, , , , , , add_layer, CPU: 1.060143 ms, wall: 1.072985 ms, 
[18:45:13.058], CLIENT, 41, , , , , , compute_layers, CPU: 7.245375 ms, wall: 7.306215 ms, 
[18:45:13.058], CLIENT, 41, , , , , , build_packet, CPU: 38.819451 ms, wall: 39.988750 ms, 
[18:45:13.058], CLIENT, 41, -->, MIX, 36, Header, c8119970, RUN, , , 
[18:45:13.085], CLIENT, 41, <--, MIX, 8, Header, 5008a625, RUN, , , 
