[18:45:12.812], CLIENT, 43, -->, STTP, 5, list, 1960797c, ROUTE, , , 
[18:45:12.812], CLIENT, 43, -->, STTP, 8, list, 1960797c, ROUTE, , , 
[18:45:12.813], CLIENT, 43, -->, STTP, 1, list, 1960797c, ROUTE, , , 
[18:45:12.813], CLIENT, 43, -->, STTP, 11, list, 1960797c, ROUTE, , , 
[18:45:12.813], CLIENT, 43, -->, STTP, 14, list, 1960797c, ROUTE, , , 
[18:45:12.816], CLIENT, 43, <--, STTP, 14, list, 83d659f5, ROUTE, , , 
[18:45:12.818], CLIENT, 43, <--, STTP, 5, list, 93a73794, ROUTE, , , 
[18:45:12.820], CLIENT, 43, <--, STTP, 8, list, 4da45f53, ROUTE, , , 
[18:45:12.821], CLIENT, 43, <--, STTP, 1, list, d1fca908, ROUTE, , , 
[18:45:12.823], CLIENT, 43, <--, STTP, 11, list, 41984240, ROUTE, , , 
[18:45:12.834], CLIENT, 43, , , , , , query_route, CPU: 20.483192 ms, wall: 21.931781 ms, 
[18:45:12.835], CLIENT, 43, , , , , , shared_secret_rerandomization, CPU: 1.028198 ms, wall: 1.052789 ms, 
[18:45:12.836], CLIENT, 43, , , , , , compute_gamma, CPU: 0.183032 ms, wall: 0.183120 ms, 
[18:45:12.837], CLIENT, 43, , , , , , initial_layer, CPU: 1.691475 ms, wall: 1.700643 ms, 
[18:45:12.837], CLIENT, 43, , , , , , compute_gamma, CPU: 0.160510 ms, wall: 0.160295 ms, 
[18:45:12.837], CLIENT, 43, , , , , , add_layer, CPU: 0.841482 ms, wall: 0.847618 ms, 
[18:45:12.838], CLIENT, 43, , , , , , compute_gamma, CPU: 0.155727 ms, wall: 0.155605 ms, 
[18:45:12.838], CLIENT, 43, , , , , , add_layer, CPU: 0.808877 ms, wall: 0.813849 ms, 
[18:45:12.839], CLIENT, 43, , , , , , compute_gamma, CPU: 0.149258 ms, wall: 0.154240 ms, 
[18:45:12.839], CLIENT, 43, , , , , , add_layer, CPU: 0.777883 ms, wall: 0.782757 ms, 
[18:45:12.840], CLIENT, 43, , , , , , compute_gamma, CPU: 0.142982 ms, wall: 0.142942 ms, 
[18:45:12.840], CLIENT, 43, , , , , , add_layer, CPU: 0.775056 ms, wall: 0.775060 ms, 
[18:45:12.840], CLIENT, 43, , , , , , compute_layers, CPU: 5.098715 ms, wall: 5.123402 ms, 
[18:45:12.840], CLIENT, 43, , , , , , build_packet, CPU: 28.248173 ms, wall: 29.780122 ms, 
[18:45:12.840], CLIENT, 43, -->, MIX, 34, Header, bafeea22, RUN, , , 
[18:45:12.864], CLIENT, 43, <--, MIX, 43, Header, 1634e989, RUN, , , 
