[18:45:12.765], CLIENT, 45, -->, STTP, 16, list, 75a33c3e, ROUTE, , , 
[18:45:12.766], CLIENT, 45, -->, STTP, 14, list, 75a33c3e, ROUTE, , , 
[18:45:12.766], CLIENT, 45, -->, STTP, 4, list, 75a33c3e, ROUTE, , , 
[18:45:12.766], CLIENT, 45, -->, STTP, 6, list, 75a33c3e, ROUTE, , , 
[18:45:12.767], CLIENT, 45, -->, STTP, 1, list, 75a33c3e, ROUTE, , , 
[18:45:12.770], CLIENT, 45, <--, STTP, 4, list, 8602f052, ROUTE, , , 
[18:45:12.772], CLIENT, 45, <--, STTP, 16, list, f64da5c2, ROUTE, , , 
[18:45:12.774], CLIENT, 45, <--, STTP, 14, list, 051f98f8, ROUTE, , , 
[18:45:12.775], CLIENT, 45, <--, STTP, 1, list, 520d59ad, ROUTE, , , 
[18:45:12.777], CLIENT, 45, <--, STTP, 6, list, f3c97569, ROUTE, , , 
[18:45:12.787], CLIENT, 45, , , , , , query_route, CPU: 20.408299 ms, wall: 21.751229 ms, 
[18:45:12.788], CLIENT, 45, , , , , , shared_secret_rerandomization, CPU: 0.980808 ms, wall: 0.985935 ms, 
[18:45:12.790], CLIENT, 45, , , , , , compute_gamma, CPU: 0.185057 ms, wall: 0.185228 ms, 
[18:45:12.790], CLIENT, 45, , , , , , initial_layer, CPU: 1.734229 ms, wall: 1.739654 ms, 
[18:45:12.791], CLIENT, 45, , , , , , compute_gamma, CPU: 0.161870 ms, wall: 0.161693 ms, 
[18:45:12.791], CLIENT, 45, , , , , , add_layer, CPU: 0.838290 ms, wall: 0.843585 ms, 
[18:45:12.792], CLIENT, 45, , , , , , compute_gamma, CPU: 0.171166 ms, wall: 0.171003 ms, 
[18:45:12.792], CLIENT, 45, , , , , , add_layer, CPU: 0.826243 ms, wall: 0.831698 ms, 
[18:45:12.792], CLIENT, 45, , , , , , compute_gamma, CPU: 0.149802 ms, wall: 0.149583 ms, 
[18:45:12.792], CLIENT, 45, , , , , , add_layer, CPU: 0.807172 ms, wall: 0.811204 ms, 
[18:45:12.793], CLIENT, 45, , , , , , compute_gamma, CPU: 0.146349 ms, wall: 0.146175 ms, 
[18:45:12.793], CLIENT, 45, , , , , , add_layer, CPU: 0.792486 ms, wall: 0.797056 ms, 
[18:45:12.793], CLIENT, 45, , , , , , compute_layers, CPU: 5.202587 ms, wall: 5.226933 ms, 
[18:45:12.793], CLIENT, 45, , , , , , build_packet, CPU: 27.852589 ms, wall: 29.232005 ms, 
[18:45:12.793], CLIENT, 45, -->, MIX, 23, Header, 4f0cd8fd, RUN, , , 
[18:45:12.813], CLIENT, 45, <--, MIX, 6, Header, 7b286661, RUN, , , 
