[18:45:13.115], CLIENT, 46, -->, STTP, 15, list, 10a8ff63, ROUTE, , , 
[18:45:13.115], CLIENT, 46, -->, STTP, 12, list, 10a8ff63, ROUTE, , , 
[18:45:13.116], CLIENT, 46, -->, STTP, 18, list, 10a8ff63, ROUTE, , , 
[18:45:13.116], CLIENT, 46, -->, STTP, 17, list, 10a8ff63, ROUTE, , , 
[18:45:13.118], CLIENT, 46, -->, STTP, 13, list, 10a8ff63, ROUTE, , , 
[18:45:13.126], CLIENT, 46, <--, STTP, 18, list, 990b6303, ROUTE, , , 
[18:45:13.131], CLIENT, 46, <--, STTP, 15, list, 015ac5f7, ROUTE, , , 
[18:45:13.133], CLIENT, 46, <--, STTP, 12, list, 3bfd71ed, ROUTE, , , 
[18:45:13.135], CLIENT, 46, <--, STTP, 13, list, bb341e75, ROUTE, , , 
[18:45:13.138], CLIENT, 46, <--, STTP, 17, list, 06b6165c, ROUTE, , , 
[18:45:13.154], CLIENT, 46, , , , , , query_route, CPU: 29.117172 ms, wall: 39.153400 ms, 
[18:45:13.156], CLIENT, 46, , , , , , shared_secret_rerandomization, CPU: 1.590064 ms, wall: 1.597608 ms, 
[18:45:13.158], CLIENT, 46, , , , , , compute_gamma, CPU: 0.317029 ms, wall: 0.316631 ms, 
[18:45:13.159], CLIENT, 46, , , , , , initial_layer, CPU: 2.488612 ms, wall: 2.504171 ms, 
[18:45:13.160], CLIENT, 46, , , , , , compute_gamma, CPU: 0.253450 ms, wall: 0.253130 ms, 
[18:45:13.160], CLIENT, 46, , , , , , add_layer, CPU: 1.250649 ms, wall: 1.259960 ms, 
[18:45:13.161], CLIENT, 46, , , , , , compute_gamma, CPU: 0.239519 ms, wall: 0.239476 ms, 
[18:45:13.161], CLIENT, 46, , , , , , add_layer, CPU: 1.380171 ms, wall: 1.389072 ms, 
[18:45:13.163], CLIENT, 46, , , , , , compute_gamma, CPU: 0.246978 ms, wall: 0.246749 ms, 
[18:45:13.163], CLIENT, 46, , , , , , add_layer, CPU: 1.348230 ms, wall: 1.355001 ms, 
[18:45:13.164], CLIENT, 46, , , , , , compute_gamma, CPU: 0.245255 ms, wall: 0.251103 ms, 
[18:45:13.164], CLIENT, 46, , , , , , add_layer, CPU: 1.322133 ms, wall: 1.335303 ms, 
[18:45:13.164], CLIENT, 46, , , , , , compute_layers, CPU: 8.203548 ms, wall: 8.264182 ms, 
[18:45:13.164], CLIENT, 46, , , , , , build_packet, CPU: 40.106558 ms, wall: 50.224743 ms, 
[18:45:13.164], CLIENT, 46, -->, MIX, 31, Header, 009da540, RUN, , , 
[18:45:13.245], CLIENT, 46, <--, MIX, 49, Header, c9bfbd35, RUN, , , 
