[18:45:13.088], CLIENT, 47, -->, STTP, 5, list, ac158d34, ROUTE, , , 
[18:45:13.089], CLIENT, 47, -->, STTP, 19, list, ac158d34, ROUTE, , , 
[18:45:13.089], CLIENT, 47, -->, STTP, 15, list, ac158d34, ROUTE, , , 
[18:45:13.089], CLIENT, 47, -->, STTP, 13, list, ac158d34, ROUTE, , , 
[18:45:13.089], CLIENT, 47, -->, STTP, 18, list, ac158d34, ROUTE, , , 
[18:45:13.092], CLIENT, 47, <--, STTP, 5, list, 5dc62433, ROUTE, , , 
[18:45:13.093], CLIENT, 47, <--, STTP, 18, list, 7bd71a3d, ROUTE, , , 
[18:45:13.095], CLIENT, 47, <--, STTP, 19, list, 49aeb200, ROUTE, , , 
[18:45:13.097], CLIENT, 47, <--, STTP, 15, list, cbb4efee, ROUTE, , , 
[18:45:13.098], CLIENT, 47, <--, STTP, 13, list, 672ddda2, ROUTE, , , 
[18:45:13.110], CLIENT, 47, , , , , , query_route, CPU: 20.443528 ms, wall: 21.664803 ms, 
[18:45:13.111], CLIENT, 47, , , , , , shared_secret_rerandomization, CPU: 1.060702 ms, wall: 1.068120 ms, 
[18:45:13.113], CLIENT, 47, , , , , , compute_gamma, CPU: 0.189272 ms, wall: 0.189375 ms, 
[18:45:13.113], CLIENT, 47, , , , , , initial_layer, CPU: 1.741385 ms, wall: 1.746338 ms, 
[18:45:13.114], CLIENT, 47, , , , , , compute_gamma, CPU: 0.224329 ms, wall: 0.230806 ms, 
[18:45:13.114], CLIENT, 47, , , , , , add_layer, CPU: 1.100260 ms, wall: 1.110475 ms, 
[18:45:13.115], CLIENT, 47, , , , , , compute_gamma, CPU: 0.249688 ms, wall: 0.249855 ms, 
[18:45:13.116], CLIENT, 47, , , , , , add_layer, CPU: 1.349782 ms, wall: 1.361076 ms, 
[18:45:13.117], CLIENT, 47, , , , , , compute_gamma, CPU: 0.338368 ms, wall: 0.337840 ms, 
[18:45:13.117], CLIENT, 47, , , , , , add_layer, CPU: 1.418364 ms, wall: 1.433860 ms, 
[18:45:13.118], CLIENT, 47, , , , , , compute_gamma, CPU: 0.189090 ms, wall: 0.195445 ms, 
[18:45:13.118], CLIENT, 47, , , , , , add_layer, CPU: 1.131381 ms, wall: 1.138184 ms, 
[18:45:13.118], CLIENT, 47, , , , , , compute_layers, CPU: 7.116188 ms, wall: 7.168664 ms, 
[18:45:13.118], CLIENT, 47, , , , , , build_packet, CPU: 29.769769 ms, wall: 31.074522 ms, 
[18:45:13.118], CLIENT, 47, -->, MIX, 5, Header, 03b43cc6, RUN, , , 
[18:45:13.152], CLIENT, 47, <--, MIX, 33, Header, 4b7f079e, RUN, , , 
