[18:45:13.071], CLIENT, 48, -->, STTP, 18, list, 3974d56a, ROUTE, , , 
[18:45:13.072], CLIENT, 48, -->, STTP, 2, list, 3974d56a, ROUTE, , , 
[18:45:13.072], CLIENT, 48, -->, STTP, 16, list, 3974d56a, ROUTE, , , 
[18:45:13.072], CLIENT, 48, -->, STTP, 17, list, 3974d56a, ROUTE, , , 
[18:45:13.073], CLIENT, 48, -->, STTP, 11, list, 3974d56a, ROUTE, , , 
[18:45:13.076], CLIENT, 48, <--, STTP, 18, list, 973bb770, ROUTE, , , 
[18:45:13.079], CLIENT, 48, <--, STTP, 2, list, d8060ced, ROUTE, , , 
[18:45:13.083], CLIENT, 48, <--, STTP, 16, list, 0f8a4df6, ROUTE, , , 
[18:45:13.088], CLIENT, 48, <--, STTP, 17, list, a17685fa, ROUTE, , , 
[18:45:13.090], CLIENT, 48, <--, STTP, 11, list, f1253842, ROUTE, , , 
[18:45:13.111], CLIENT, 48, , , , , , query_route, CPU: 38.615391 ms, wall: 40.026244 ms, 
[18:45:13.114], CLIENT, 48, , , , , , shared_secret_rerandomization, CPU: 3.141136 ms, wall: 3.166130 ms, 
[18:45:13.120], CLIENT, 48, , , , , , compute_gamma, CPU: 0.452955 ms, wall: 0.453053 ms, 
[18:45:13.120], CLIENT, 48, , , , , , initial_layer, CPU: 5.372140 ms, wall: 5.409819 ms, 
[18:45:13.123], CLIENT, 48, , , , , , compute_gamma, CPU: 0.417378 ms, wall: 0.417732 ms, 
[18:45:13.123], CLIENT, 48, , , , , , add_layer, CPU: 2.624889 ms, wall: 2.639209 ms, 
[18:45:13.125], CLIENT, 48, , , , , , compute_gamma, CPU: 0.453183 ms, wall: 0.460179 ms, 
[18:45:13.126], CLIENT, 48, , , , , , add_layer, CPU: 2.617165 ms, wall: 2.639908 ms, 
[18:45:13.128], CLIENT, 48, , , , , , compute_gamma, CPU: 0.492972 ms, wall: 0.497908 ms, 
[18:45:13.128], CLIENT, 48, , , , , , add_layer, CPU: 2.659920 ms, wall: 2.681321 ms, 
[18:45:13.131], CLIENT, 48, , , , , , compute_gamma, CPU: 0.392387 ms, wall: 0.392173 ms, 
[18:45:13.131], CLIENT, 48, , , , , , add_layer, CPU: 2.552126 ms, wall: 2.578498 ms, 
[18:45:13.131], CLIENT, 48, , , , , , compute_layers, CPU: 16.490047 ms, wall: 16.621561 ms, 
[18:45:13.131], CLIENT, 48, , , , , , build_packet, CPU: 60.358181 ms, wall: 61.938701 ms, 
[18:45:13.131], CLIENT, 48, -->, MIX, 31, Header, d99be56e, RUN, , , 
[18:45:13.175], CLIENT, 48, <--, MIX, 6, Header, 66c8e6c6, RUN, , , 
