[18:45:13.184], CLIENT, 49, -->, STTP, 15, list, 6b84568b, ROUTE, , , 
[18:45:13.184], CLIENT, 49, -->, STTP, 1, list, 6b84568b, ROUTE, , , 
[18:45:13.184], CLIENT, 49, -->, STTP, 7, list, 6b84568b, ROUTE, , , 
[18:45:13.184], CLIENT, 49, -->, STTP, 14, list, 6b84568b, ROUTE, , , 
[18:45:13.185], CLIENT, 49, -->, STTP, 11, list, 6b84568b, ROUTE, , , 
[18:45:13.188], CLIENT, 49, <--, STTP, 1, list, 69603ce2, ROUTE, , , 
[18:45:13.191], CLIENT, 49, <--, STTP, 15, list, aa4b1d2a, ROUTE, , , 
[18:45:13.193], CLIENT, 49, <--, STTP, 7, list, 6255e636, ROUTE, , , 
[18:45:13.196], CLIENT, 49, <--, STTP, 11, list, a0f97afa, ROUTE, , , 
[18:45:13.198], CLIENT, 49, <--, STTP, 14, list, 29032e56, ROUTE, , , 
[18:45:13.216], CLIENT, 49, , , , , , query_route, CPU: 29.859517 ms, wall: 32.253923 ms, 
[18:45:13.217], CLIENT, 49, , , , , , shared_secret_rerandomization, CPU: 1.146384 ms, wall: 1.160602 ms, 
[18:45:13.220], CLIENT, 49, , , , , , compute_gamma, CPU: 0.361199 ms, wall: 0.360940 ms, 
[18:45:13.220], CLIENT, 49, , , , , , initial_layer, CPU: 2.471970 ms, wall: 2.482901 ms, 
[18:45:13.221], CLIENT, 49, , , , , , compute_gamma, CPU: 0.267826 ms, wall: 0.273451 ms, 
[18:45:13.221], CLIENT, 49, , , , , , add_layer, CPU: 1.368949 ms, wall: 1.382238 ms, 
[18:45:13.223], CLIENT, 49, , , , , , compute_gamma, CPU: 0.277913 ms, wall: 0.277859 ms, 
[18:45:13.223], CLIENT, 49, , , , , , add_layer, CPU: 1.353311 ms, wall: 1.361601 ms, 
[18:45:13.224], CLIENT, 49, , , , , , compute_gamma, CPU: 0.337474 ms, wall: 0.337032 ms, 
[18:45:13.224], CLIENT, 49, , , , , , add_layer, CPU: 1.408756 ms, wall: 1.702533 ms, 
[18:45:13.226], CLIENT, 49, , , , , , compute_gamma, CPU: 0.232188 ms, wall: 0.231604 ms, 
[18:45:13.226], CLIENT, 49, , , , , , add_layer, CPU: 1.135191 ms, wall: 1.143240 ms, 
[18:45:13.226], CLIENT, 49, , , , , , compute_layers, CPU: 8.126763 ms, wall: 8.533587 ms, 
[18:45:13.226], CLIENT, 49, , , , , , build_packet, CPU: 40.208669 ms, wall: 43.028586 ms, 
[18:45:13.226], CLIENT, 49, -->, MIX, 10, Header, 38956fe3, RUN, , , 
[18:45:13.276], CLIENT, 49, <--, MIX, 33, Header, f6a1db9a, RUN, , , 
