[18:45:13.182], CLIENT, 5, -->, STTP, 7, list, 8a799af7, ROUTE, , , 
[18:45:13.182], CLIENT, 5, -->, STTP, 16, list, 8a799af7, ROUTE, , , 
[18:45:13.183], CLIENT, 5, -->, STTP, 14, list, 8a799af7, ROUTE, , , 
[18:45:13.183], CLIENT, 5, -->, STTP, 8, list, 8a799af7, ROUTE, , , 
[18:45:13.183], CLIENT, 5, -->, STTP, 9, list, 8a799af7, ROUTE, , , 
[18:45:13.190], CLIENT, 5, <--, STTP, 7, list, a45394af, ROUTE, , , 
[18:45:13.192], CLIENT, 5, <--, STTP, 9, list, 66945286, ROUTE, , , 
[18:45:13.194], CLIENT, 5, <--, STTP, 8, list, 3a86dab4, ROUTE, , , 
[18:45:13.196], CLIENT, 5, <--, STTP, 16, list, 0d10a12e, ROUTE, , , 
[18:45:13.198], CLIENT, 5, <--, STTP, 14, list, 5dd00853, ROUTE, , , 
[18:45:13.239], CLIENT, 5, , , , , , query_route, CPU: 43.697750 ms, wall: 56.794092 ms, 
[18:45:13.244], CLIENT, 5, , , , , , shared_secret_rerandomization, CPU: 3.194345 ms, wall: 4.443684 ms, 
[18:45:13.250], CLIENT, 5, , , , , , compute_gamma, CPU: 0.547444 ms, wall: 0.556487 ms, 
[18:45:13.250], CLIENT, 5, , , , , , initial_layer, CPU: 5.485610 ms, wall: 6.475182 ms, 
[18:45:13.253], CLIENT, 5, , , , , , compute_gamma, CPU: 0.418925 ms, wall: 0.419699 ms, 
[18:45:13.253], CLIENT, 5, , , , , , add_layer, CPU: 2.573085 ms, wall: 2.588608 ms, 
[18:45:13.256], CLIENT, 5, , , , , , compute_gamma, CPU: 0.490063 ms, wall: 0.490559 ms, 
[18:45:13.256], CLIENT, 5, , , , , , add_layer, CPU: 2.681506 ms, wall: 2.698101 ms, 
[18:45:13.258], CLIENT, 5, , , , , , compute_gamma, CPU: 0.437544 ms, wall: 0.444299 ms, 
[18:45:13.259], CLIENT, 5, , , , , , add_layer, CPU: 2.575777 ms, wall: 2.597796 ms, 
[18:45:13.261], CLIENT, 5, , , , , , compute_gamma, CPU: 0.402813 ms, wall: 0.413430 ms, 
[18:45:13.261], CLIENT, 5, , , , , , add_layer, CPU: 2.544776 ms, wall: 2.571265 ms, 
[18:45:13.261], CLIENT, 5, , , , , , compute_layers, CPU: 16.518841 ms, wall: 17.595756 ms, 
[18:45:13.261], CLIENT, 5, , , , , , build_packet, CPU: 64.624679 ms, wall: 80.164356 ms, 
[18:45:13.262], CLIENT, 5, -->, MIX, 23, Header, 34627fea, RUN, , , 
[18:45:13.293], CLIENT, 5, <--, MIX, 15, Header, 23e3c07b, RUN, , , 
