[18:45:13.104], CLIENT, 50, -->, STTP, 3, list, 590a3833, ROUTE, , , 
[18:45:13.105], CLIENT, 50, -->, STTP, 19, list, 590a3833, ROUTE, , , 
[18:45:13.105], CLIENT, 50, -->, STTP, 11, list, 590a3833, ROUTE, , , 
[18:45:13.105], CLIENT, 50, -->, STTP, 8, list, 590a3833, ROUTE, , , 
[18:45:13.106], CLIENT, 50, -->, STTP, 15, list, 590a3833, ROUTE, , , 
[18:45:13.109], CLIENT, 50, <--, STTP, 3, list, 74fbf501, ROUTE, , , 
[18:45:13.111], CLIENT, 50, <--, STTP, 19, list, 816fb2ca, ROUTE, , , 
[18:45:13.112], CLIENT, 50, <--, STTP, 15, list, a7bd1000, ROUTE, , , 
[18:45:13.114], CLIENT, 50, <--, STTP, 11, list, 9263f0e0, ROUTE, , , 
[18:45:13.116], CLIENT, 50, <--, STTP, 8, list, e38c7aa5, ROUTE, , , 
[18:45:13.133], CLIENT, 50, , , , , , query_route, CPU: 27.546054 ms, wall: 28.936096 ms, 
[18:45:13.135], CLIENT, 50, , , , , , shared_secret_rerandomization, CPU: 2.115590 ms, wall: 2.129216 ms, 
[18:45:13.138], CLIENT, 50, , , , , , compute_gamma, CPU: 0.266420 ms, wall: 0.265970 ms, 
[18:45:13.138], CLIENT, 50, , , , , , initial_layer, CPU: 2.426812 ms, wall: 2.468411 ms, 
[18:45:13.139], CLIENT, 50, , , , , , compute_gamma, CPU: 0.241337 ms, wall: 0.240571 ms, 
[18:45:13.139], CLIENT, 50, , , , , , add_layer, CPU: 1.184182 ms, wall: 1.197761 ms, 
[18:45:13.140], CLIENT, 50, , , , , , compute_gamma, CPU: 0.251021 ms, wall: 0.250810 ms, 
[18:45:13.140], CLIENT, 50, , , , , , add_layer, CPU: 1.314942 ms, wall: 1.323009 ms, 
[18:45:13.142], CLIENT, 50, , , , , , compute_gamma, CPU: 0.253218 ms, wall: 0.252775 ms, 
[18:45:13.142], CLIENT, 50, , , , , , add_layer, CPU: 1.317091 ms, wall: 1.323474 ms, 
[18:45:13.143], CLIENT, 50, , , , , , compute_gamma, CPU: 0.204114 ms, wall: 0.203941 ms, 
[18:45:13.143], CLIENT, 50, , , , , , add_layer, CPU: 0.935992 ms, wall: 0.943127 ms, 
[18:45:13.143], CLIENT, 50, , , , , , compute_layers, CPU: 7.495967 ms, wall: 7.567822 ms, 
[18:45:13.143], CLIENT, 50, , , , , , build_packet, CPU: 38.329689 ms, wall: 39.880322 ms, 
[18:45:13.143], CLIENT, 50, -->, MIX, 44, Header, 9fda1113, RUN, , , 
[18:45:13.175], CLIENT, 50, <--, MIX, 32, Header, 5dc74185, RUN, , , 
