[18:45:13.194], CLIENT, 52, -->, STTP, 11, list, 036f4951, ROUTE, , , 
[18:45:13.194], CLIENT, 52, -->, STTP, 12, list, 036f4951, ROUTE, , , 
[18:45:13.194], CLIENT, 52, -->, STTP, 8, list, 036f4951, ROUTE, , , 
[18:45:13.194], CLIENT, 52, -->, STTP, 10, list, 036f4951, ROUTE, , , 
[18:45:13.195], CLIENT, 52, -->, STTP, 4, list, 036f4951, ROUTE, , , 
[18:45:13.203], CLIENT, 52, <--, STTP, 11, list, a2bf0602, ROUTE, , , 
[18:45:13.210], CLIENT, 52, <--, STTP, 8, list, f656149b, ROUTE, , , 
[18:45:13.215], CLIENT, 52, <--, STTP, 10, list, 1059f927, ROUTE, , , 
[18:45:13.219], CLIENT, 52, <--, STTP, 12, list, 4cdc6ab9, ROUTE, , , 
[18:45:13.224], CLIENT, 52, <--, STTP, 4, list, fba67d3a, ROUTE, , , 
[18:45:13.256], CLIENT, 52, , , , , , query_route, CPU: 40.258075 ms, wall: 62.344382 ms, 
[18:45:13.257], CLIENT, 52, , , , , , shared_secret_rerandomization, CPU: 1.199166 ms, wall: 1.207554 ms, 
[18:45:13.259], CLIENT, 52, , , , , , compute_gamma, CPU: 0.242353 ms, wall: 0.246576 ms, 
[18:45:13.259], CLIENT, 52, , , , , , initial_layer, CPU: 1.836778 ms, wall: 1.847262 ms, 
[18:45:13.261], CLIENT, 52, , , , , , compute_gamma, CPU: 0.249633 ms, wall: 0.249521 ms, 
[18:45:13.261], CLIENT, 52, , , , , , add_layer, CPU: 1.349637 ms, wall: 1.357596 ms, 
[18:45:13.262], CLIENT, 52, , , , , , compute_gamma, CPU: 0.274180 ms, wall: 0.280388 ms, 
[18:45:13.262], CLIENT, 52, , , , , , add_layer, CPU: 1.313985 ms, wall: 1.326139 ms, 
[18:45:13.263], CLIENT, 52, , , , , , compute_gamma, CPU: 0.168308 ms, wall: 0.172713 ms, 
[18:45:13.263], CLIENT, 52, , , , , , add_layer, CPU: 0.902019 ms, wall: 0.906767 ms, 
[18:45:13.264], CLIENT, 52, , , , , , compute_gamma, CPU: 0.152771 ms, wall: 0.152676 ms, 
[18:45:13.264], CLIENT, 52, , , , , , add_layer, CPU: 0.812994 ms, wall: 0.817186 ms, 
[18:45:13.264], CLIENT, 52, , , , , , compute_layers, CPU: 6.517075 ms, wall: 6.555983 ms, 
[18:45:13.264], CLIENT, 52, , , , , , build_packet, CPU: 48.887899 ms, wall: 71.023792 ms, 
[18:45:13.264], CLIENT, 52, -->, MIX, 37, Header, e0da85e1, RUN, , , 
[18:45:13.301], CLIENT, 52, <--, MIX, 43, Header, 6de2799b, RUN, , , 
