[18:45:12.939], CLIENT, 54, -->, STTP, 11, list, 6452ae61, ROUTE, , , 
[18:45:12.939], CLIENT, 54, -->, STTP, 16, list, 6452ae61, ROUTE, , , 
[18:45:12.940], CLIENT, 54, -->, STTP, 9, list, 6452ae61, ROUTE, , , 
[18:45:12.940], CLIENT, 54, -->, STTP, 19, list, 6452ae61, ROUTE, , , 
[18:45:12.940], CLIENT, 54, -->, STTP, 4, list, 6452ae61, ROUTE, , , 
[18:45:12.942], CLIENT, 54, <--, STTP, 11, list, c7becb81, ROUTE, , , 
[18:45:12.944], CLIENT, 54, <--, STTP, 9, list, 45914e3e, ROUTE, , , 
[18:45:12.946], CLIENT, 54, <--, STTP, 4, list, ade1d0c9, ROUTE, , , 
[18:45:12.947], CLIENT, 54, <--, STTP, 16, list, 42b70b1c, ROUTE, , , 
[18:45:12.949], CLIENT, 54, <--, STTP, 19, list, a187a06e, ROUTE, , , 
[18:45:12.960], CLIENT, 54, , , , , , query_route, CPU: 19.454836 ms, wall: 20.633764 ms, 
[18:45:12.961], CLIENT, 54, , , , , , shared_secret_rerandomization, CPU: 1.019579 ms, wall: 1.066644 ms, 
[18:45:12.963], CLIENT, 54, , , , , , compute_gamma, CPU: 0.241277 ms, wall: 0.241354 ms, 
[18:45:12.963], CLIENT, 54, , , , , , initial_layer, CPU: 1.814326 ms, wall: 1.859413 ms, 
[18:45:12.964], CLIENT, 54, , , , , , compute_gamma, CPU: 0.192112 ms, wall: 0.191838 ms, 
[18:45:12.964], CLIENT, 54, , , , , , add_layer, CPU: 0.882202 ms, wall: 0.886323 ms, 
[18:45:12.965], CLIENT, 54, , , , , , compute_gamma, CPU: 0.165078 ms, wall: 0.164836 ms, 
[18:45:12.965], CLIENT, 54, , , , , , add_layer, CPU: 0.867200 ms, wall: 0.893554 ms, 
[18:45:12.966], CLIENT, 54, , , , , , compute_gamma, CPU: 0.183140 ms, wall: 0.182976 ms, 
[18:45:12.966], CLIENT, 54, , , , , , add_layer, CPU: 0.858646 ms, wall: 0.893504 ms, 
[18:45:12.967], CLIENT, 54, , , , , , compute_gamma, CPU: 0.202180 ms, wall: 0.201912 ms, 
[18:45:12.967], CLIENT, 54, , , , , , add_layer, CPU: 0.849554 ms, wall: 0.854012 ms, 
[18:45:12.967], CLIENT, 54, , , , , , compute_layers, CPU: 5.496366 ms, wall: 5.622376 ms, 
[18:45:12.967], CLIENT, 54, , , , , , build_packet, CPU: 26.728965 ms, wall: 28.091475 ms, 
[18:45:12.967], CLIENT, 54, -->, MIX, 47, Header, f7491668, RUN, , , 
[18:45:12.995], CLIENT, 54, <--, MIX, 42, Header, f112a821, RUN, , , 
