[18:45:12.959], CLIENT, 55, -->, STTP, 10, list, f1e62ade, ROUTE, , , 
[18:45:12.960], CLIENT, 55, -->, STTP, 19, list, f1e62ade, ROUTE, , , 
[18:45:12.960], CLIENT, 55, -->, STTP, 13, list, f1e62ade, ROUTE, , , 
[18:45:12.960], CLIENT, 55, -->, STTP, 12, list, f1e62ade, ROUTE, , , 
[18:45:12.961], CLIENT, 55, -->, STTP, 1, list, f1e62ade, ROUTE, , , 
[18:45:12.964], CLIENT, 55, <--, STTP, 10, list, c839af4c, ROUTE, , , 
[18:45:12.965], CLIENT, 55, <--, STTP, 13, list, b445b3b4, ROUTE, , , 
[18:45:12.967], CLIENT, 55, <--, STTP, 1, list, 78ce9d69, ROUTE, , , 
[18:45:12.969], CLIENT, 55, <--, STTP, 19, list, 8e170494, ROUTE, , , 
[18:45:12.970], CLIENT, 55, <--, STTP, 12, list, addd1787, ROUTE, , , 
[18:45:12.981], CLIENT, 55, , , , , , query_route, CPU: 21.511533 ms, wall: 21.883723 ms, 
[18:45:12.982], CLIENT, 55, , , , , , shared_secret_rerandomization, CPU: 0.953961 ms, wall: 0.961249 ms, 
[18:45:12.984], CLIENT, 55, , , , , , compute_gamma, CPU: 0.226464 ms, wall: 0.226408 ms, 
[18:45:12.984], CLIENT, 55, , , , , , initial_layer, CPU: 1.699343 ms, wall: 1.704867 ms, 
[18:45:12.985], CLIENT, 55, , , , , , compute_gamma, CPU: 0.180145 ms, wall: 0.180151 ms, 
[18:45:12.985], CLIENT, 55, , , , , , add_layer, CPU: 0.828669 ms, wall: 0.828415 ms, 
[18:45:12.986], CLIENT, 55, , , , , , compute_gamma, CPU: 0.172658 ms, wall: 0.172135 ms, 
[18:45:12.986], CLIENT, 55, , , , , , add_layer, CPU: 0.923831 ms, wall: 0.946858 ms, 
[18:45:12.987], CLIENT, 55, , , , , , compute_gamma, CPU: 0.287606 ms, wall: 0.286873 ms, 
[18:45:12.987], CLIENT, 55, , , , , , add_layer, CPU: 1.165895 ms, wall: 1.180193 ms, 
[18:45:12.988], CLIENT, 55, , , , , , compute_gamma, CPU: 0.226430 ms, wall: 0.226386 ms, 
[18:45:12.988], CLIENT, 55, , , , , , add_layer, CPU: 1.276537 ms, wall: 1.282592 ms, 
[18:45:12.988], CLIENT, 55, , , , , , compute_layers, CPU: 6.159006 ms, wall: 6.213739 ms, 
[18:45:12.988], CLIENT, 55, , , , , , build_packet, CPU: 30.079667 ms, wall: 30.514585 ms, 
[18:45:12.989], CLIENT, 55, -->, MIX, 29, Header, 08ac8044, RUN, , , 
[18:45:13.019], CLIENT, 55, <--, MIX, 12, Header, c19ffaf8, RUN, , , 
