[18:45:12.664], CLIENT, 56, -->, STTP, 19, list, c9bca064, ROUTE, , , 
[18:45:12.664], CLIENT, 56, -->, STTP, 3, list, c9bca064, ROUTE, , , 
[18:45:12.664], CLIENT, 56, -->, STTP, 11, list, c9bca064, ROUTE, , , 
[18:45:12.665], CLIENT, 56, -->, STTP, 15, list, c9bca064, ROUTE, , , 
[18:45:12.665], CLIENT, 56, -->, STTP, 4, list, c9bca064, ROUTE, , , 
[18:45:12.668], CLIENT, 56, <--, STTP, 19, list, dc20bb23, ROUTE, , , 
[18:45:12.670], CLIENT, 56, <--, STTP, 3, list, 0a620ae4, ROUTE, , , 
[18:45:12.672], CLIENT, 56, <--, STTP, 4, list, f8c66e3f, ROUTE, , , 
[18:45:12.673], CLIENT, 56, <--, STTP, 11, list, 034228b3, ROUTE, , , 
[18:45:12.675], CLIENT, 56, <--, STTP, 15, list, f222df79, ROUTE, , , 
[18:45:12.685], CLIENT, 56, , , , , , query_route, CPU: 20.490874 ms, wall: 21.421239 ms, 
[18:45:12.686], CLIENT, 56, , , , , , shared_secret_rerandomization, CPU: 0.982791 ms, wall: 0.989649 ms, 
[18:45:12.688], CLIENT, 56, , , , , , compute_gamma, CPU: 0.182648 ms, wall: 0.182627 ms, 
[18:45:12.688], CLIENT, 56, , , , , , initial_layer, CPU: 1.672609 ms, wall: 1.676856 ms, 
[18:45:12.689], CLIENT, 56, , , , , , compute_gamma, CPU: 0.189299 ms, wall: 0.189195 ms, 
[18:45:12.689], CLIENT, 56, , , , , , add_layer, CPU: 0.870836 ms, wall: 0.876212 ms, 
[18:45:12.690], CLIENT, 56, , , , , , compute_gamma, CPU: 0.205184 ms, wall: 0.205079 ms, 
[18:45:12.690], CLIENT, 56, , , , , , add_layer, CPU: 0.870048 ms, wall: 0.874580 ms, 
[18:45:12.690], CLIENT, 56, , , , , , compute_gamma, CPU: 0.169592 ms, wall: 0.169492 ms, 
[18:45:12.691], CLIENT, 56, , , , , , add_layer, CPU: 0.879635 ms, wall: 0.885104 ms, 
[18:45:12.691], CLIENT, 56, , , , , , compute_gamma, CPU: 0.177061 ms, wall: 0.176801 ms, 
[18:45:12.691], CLIENT, 56, , , , , , add_layer, CPU: 0.838832 ms, wall: 0.844404 ms, 
[18:45:12.691], CLIENT, 56, , , , , , compute_layers, CPU: 5.349408 ms, wall: 5.374477 ms, 
[18:45:12.692], CLIENT, 56, , , , , , build_packet, CPU: 28.265979 ms, wall: 29.236764 ms, 
[18:45:12.692], CLIENT, 56, -->, MIX, 38, Header, bb32bfb6, RUN, , , 
[18:45:12.715], CLIENT, 56, <--, MIX, 31, Header, 200442b3, RUN, , , 
