[18:45:13.199], CLIENT, 58, -->, STTP, 9, list, e1f328f4, ROUTE, , , 
[18:45:13.199], CLIENT, 58, -->, STTP, 18, list, e1f328f4, ROUTE, , , 
[18:45:13.200], CLIENT, 58, -->, STTP, 4, list, e1f328f4, ROUTE, , , 
[18:45:13.200], CLIENT, 58, -->, STTP, 10, list, e1f328f4, ROUTE, , , 
[18:45:13.200], CLIENT, 58, -->, STTP, 8, list, e1f328f4, ROUTE, , , 
[18:45:13.204], CLIENT, 58, <--, STTP, 8, list, 695ce080, ROUTE, , , 
[18:45:13.217], CLIENT, 58, <--, STTP, 10, list, 984b81e8, ROUTE, , , 
[18:45:13.230], CLIENT, 58, <--, STTP, 9, list, 5dd556b5, ROUTE, , , 
[18:45:13.239], CLIENT, 58, <--, STTP, 4, list, 023018ec, ROUTE, , , 
[18:45:13.244], CLIENT, 58, <--, STTP, 18, list, f65b7a14, ROUTE, , , 
[18:45:13.277], CLIENT, 58, , , , , , query_route, CPU: 53.353066 ms, wall: 78.011419 ms, 
[18:45:13.278], CLIENT, 58, , , , , , shared_secret_rerandomization, CPU: 1.411574 ms, wall: 1.420015 ms, 
[18:45:13.281], CLIENT, 58, , , , , , compute_gamma, CPU: 0.260405 ms, wall: 0.260727 ms, 
[18:45:13.281], CLIENT, 58, , , , , , initial_layer, CPU: 2.030644 ms, wall: 2.047269 ms, 
[18:45:13.282], CLIENT, 58, , , , , , compute_gamma, CPU: 0.235093 ms, wall: 0.235053 ms, 
[18:45:13.282], CLIENT, 58, , , , , , add_layer, CPU: 0.948534 ms, wall: 0.955941 ms, 
[18:45:13.282], CLIENT, 58, , , , , , compute_gamma, CPU: 0.151799 ms, wall: 0.151488 ms, 
[18:45:13.283], CLIENT, 58, , , , , , add_layer, CPU: 0.819478 ms, wall: 0.826019 ms, 
[18:45:13.283], CLIENT, 58, , , , , , compute_gamma, CPU: 0.149997 ms, wall: 0.149842 ms, 
[18:45:13.283], CLIENT, 58, , , , , , add_layer, CPU: 0.814786 ms, wall: 0.819036 ms, 
[18:45:13.284], CLIENT, 58, , , , , , compute_gamma, CPU: 0.214931 ms, wall: 0.214824 ms, 
[18:45:13.284], CLIENT, 58, , , , , , add_layer, CPU: 0.899807 ms, wall: 0.904972 ms, 
[18:45:13.284], CLIENT, 58, , , , , , compute_layers, CPU: 5.741679 ms, wall: 5.780645 ms, 
[18:45:13.284], CLIENT, 58, , , , , , build_packet, CPU: 61.413279 ms, wall: 86.123039 ms, 
[18:45:13.284], CLIENT, 58, -->, MIX, 5, Header, b6fbe3b1, RUN, , , 
[18:45:13.317], CLIENT, 58, <--, MIX, 23, Header, ea16c1b7, RUN, , , 
