[18:45:13.075], CLIENT, 59, -->, STTP, 18, list, 1f9ee317, ROUTE, , , 
[18:45:13.076], CLIENT, 59, -->, STTP, 2, list, 1f9ee317, ROUTE, , , 
[18:45:13.076], CLIENT, 59, -->, STTP, 4, list, 1f9ee317, ROUTE, , , 
[18:45:13.076], CLIENT, 59, -->, STTP, 12, list, 1f9ee317, ROUTE, , , 
[18:45:13.076], CLIENT, 59, -->, STTP, 10, list, 1f9ee317, ROUTE, , , 
[18:45:13.079], CLIENT, 59, <--, STTP, 18, list, 00e418ae, ROUTE, , , 
[18:45:13.082], CLIENT, 59, <--, STTP, 4, list, 5455e14e, ROUTE, , , 
[18:45:13.084], CLIENT, 59, <--, STTP, 2, list, e3d0e6f8, ROUTE, , , 
[18:45:13.086], CLIENT, 59, <--, STTP, 10, list, 8b3c58be, ROUTE, , , 
[18:45:13.089], CLIENT, 59, <--, STTP, 12, list, f647d65e, ROUTE, , , 
[18:45:13.106], CLIENT, 59, , , , , , query_route, CPU: 30.245397 ms, wall: 30.848166 ms, 
[18:45:13.108], CLIENT, 59, , , , , , shared_secret_rerandomization, CPU: 1.630443 ms, wall: 1.643071 ms, 
[18:45:13.111], CLIENT, 59, , , , , , compute_gamma, CPU: 0.329245 ms, wall: 0.333490 ms, 
[18:45:13.111], CLIENT, 59, , , , , , initial_layer, CPU: 2.804567 ms, wall: 2.904629 ms, 
[18:45:13.113], CLIENT, 59, , , , , , compute_gamma, CPU: 0.349373 ms, wall: 0.349432 ms, 
[18:45:13.113], CLIENT, 59, , , , , , add_layer, CPU: 1.482467 ms, wall: 1.488293 ms, 
[18:45:13.114], CLIENT, 59, , , , , , compute_gamma, CPU: 0.203939 ms, wall: 0.203116 ms, 
[18:45:13.114], CLIENT, 59, , , , , , add_layer, CPU: 1.177966 ms, wall: 1.191488 ms, 
[18:45:13.115], CLIENT, 59, , , , , , compute_gamma, CPU: 0.258855 ms, wall: 0.265303 ms, 
[18:45:13.115], CLIENT, 59, , , , , , add_layer, CPU: 1.272703 ms, wall: 1.280116 ms, 
[18:45:13.117], CLIENT, 59, , , , , , compute_gamma, CPU: 0.284769 ms, wall: 0.284941 ms, 
[18:45:13.117], CLIENT, 59, , , , , , add_layer, CPU: 1.340156 ms, wall: 1.346729 ms, 
[18:45:13.117], CLIENT, 59, , , , , , compute_layers, CPU: 8.460139 ms, wall: 8.587690 ms, 
[18:45:13.117], CLIENT, 59, , , , , , build_packet, CPU: 41.387033 ms, wall: 42.220995 ms, 
[18:45:13.117], CLIENT, 59, -->, MIX, 8, Header, 22517307, RUN, , , 
[18:45:13.193], CLIENT, 59, <--, MIX, 41, Header, ae7bb16b, RUN, , , 
