[18:45:13.204], CLIENT, 60, -->, STTP, 8, list, 28d6d42b, ROUTE, , , 
[18:45:13.204], CLIENT, 60, -->, STTP, 10, list, 28d6d42b, ROUTE, , , 
[18:45:13.204], CLIENT, 60, -->, STTP, 9, list, 28d6d42b, ROUTE, , , 
[18:45:13.206], CLIENT, 60, -->, STTP, 2, list, 28d6d42b, ROUTE, , , 
[18:45:13.206], CLIENT, 60, -->, STTP, 16, list, 28d6d42b, ROUTE, , , 
[18:45:13.214], CLIENT, 60, <--, STTP, 9, list, 71102ad1, ROUTE, , , 
[18:45:13.218], CLIENT, 60, <--, STTP, 8, list, fb9a57e5, ROUTE, , , 
[18:45:13.223], CLIENT, 60, <--, STTP, 2, list, e23623d2, ROUTE, , , 
[18:45:13.227], CLIENT, 60, <--, STTP, 10, list, b928aede, ROUTE, , , 
[18:45:13.232], CLIENT, 60, <--, STTP, 16, list, 704961bb, ROUTE, , , 
[18:45:13.262], CLIENT, 60, , , , , , query_route, CPU: 52.047716 ms, wall: 58.147539 ms, 
[18:45:13.263], CLIENT, 60, , , , , , shared_secret_rerandomization, CPU: 1.346820 ms, wall: 1.360898 ms, 
[18:45:13.265], CLIENT, 60, , , , , , compute_gamma, CPU: 0.231888 ms, wall: 0.231989 ms, 
[18:45:13.265], CLIENT, 60, , , , , , initial_layer, CPU: 1.727502 ms, wall: 1.737761 ms, 
[18:45:13.266], CLIENT, 60, , , , , , compute_gamma, CPU: 0.163226 ms, wall: 0.163060 ms, 
[18:45:13.266], CLIENT, 60, , , , , , add_layer, CPU: 0.853229 ms, wall: 0.853077 ms, 
[18:45:13.267], CLIENT, 60, , , , , , compute_gamma, CPU: 0.227878 ms, wall: 0.227409 ms, 
[18:45:13.267], CLIENT, 60, , , , , , add_layer, CPU: 1.080865 ms, wall: 1.094953 ms, 
[18:45:13.268], CLIENT, 60, , , , , , compute_gamma, CPU: 0.203097 ms, wall: 0.213277 ms, 
[18:45:13.268], CLIENT, 60, , , , , , add_layer, CPU: 1.014357 ms, wall: 1.024653 ms, 
[18:45:13.269], CLIENT, 60, , , , , , compute_gamma, CPU: 0.242471 ms, wall: 0.242309 ms, 
[18:45:13.270], CLIENT, 60, , , , , , add_layer, CPU: 1.312396 ms, wall: 1.320419 ms, 
[18:45:13.270], CLIENT, 60, , , , , , compute_layers, CPU: 6.318328 ms, wall: 6.359824 ms, 
[18:45:13.270], CLIENT, 60, , , , , , build_packet, CPU: 60.715652 ms, wall: 66.876010 ms, 
[18:45:13.270], CLIENT, 60, -->, MIX, 9, Header, c8d9ec27, RUN, , , 
[18:45:13.304], CLIENT, 60, <--, MIX, 16, Header, 4ab89eb1, RUN, , , 
