[18:45:13.132], CLIENT, 62, -->, STTP, 6, list, 933930e9, ROUTE, , , 
[18:45:13.134], CLIENT, 62, -->, STTP, 5, list, 933930e9, ROUTE, , , 
[18:45:13.134], CLIENT, 62, -->, STTP, 15, list, 933930e9, ROUTE, , , 
[18:45:13.134], CLIENT, 62, -->, STTP, 12, list, 933930e9, ROUTE, , , 
[18:45:13.134], CLIENT, 62, -->, STTP, 10, list, 933930e9, ROUTE, , , 
[18:45:13.141], CLIENT, 62, <--, STTP, 5, list, 7fb8c609, ROUTE, , , 
[18:45:13.146], CLIENT, 62, <--, STTP, 12, list, b8e8a65f, ROUTE, , , 
[18:45:13.148], CLIENT, 62, <--, STTP, 15, list, 0e0b84aa, ROUTE, , , 
[18:45:13.152], CLIENT, 62, <--, STTP, 10, list, d7730e72, ROUTE, , , 
[18:45:13.154], CLIENT, 62, <--, STTP, 6, list, 504e83dc, ROUTE, , , 
[18:45:13.171], CLIENT, 62, , , , , , query_route, CPU: 28.204972 ms, wall: 39.215770 ms, 
[18:45:13.172], CLIENT, 62, , , , , , shared_secret_rerandomization, CPU: 1.500731 ms, wall: 1.514208 ms, 
[18:45:13.175], CLIENT, 62, , , , , , compute_gamma, CPU: 0.364352 ms, wall: 0.374861 ms, 
[18:45:13.175], CLIENT, 62, , , , , , initial_layer, CPU: 2.773632 ms, wall: 2.795781 ms, 
[18:45:13.177], CLIENT, 62, , , , , , compute_gamma, CPU: 0.275504 ms, wall: 0.275746 ms, 
[18:45:13.177], CLIENT, 62, , , , , , add_layer, CPU: 1.364617 ms, wall: 1.370803 ms, 
[18:45:13.178], CLIENT, 62, , , , , , compute_gamma, CPU: 0.252566 ms, wall: 0.256859 ms, 
[18:45:13.178], CLIENT, 62, , , , , , add_layer, CPU: 1.340166 ms, wall: 1.351056 ms, 
[18:45:13.180], CLIENT, 62, , , , , , compute_gamma, CPU: 0.281943 ms, wall: 0.281818 ms, 
[18:45:13.180], CLIENT, 62, , , , , , add_layer, CPU: 1.327742 ms, wall: 1.332791 ms, 
[18:45:13.181], CLIENT, 62, , , , , , compute_gamma, CPU: 0.283970 ms, wall: 0.288127 ms, 
[18:45:13.181], CLIENT, 62, , , , , , add_layer, CPU: 1.373147 ms, wall: 1.381946 ms, 
[18:45:13.181], CLIENT, 62, , , , , , compute_layers, CPU: 8.532847 ms, wall: 8.584942 ms, 
[18:45:13.181], CLIENT, 62, , , , , , build_packet, CPU: 39.179564 ms, wall: 50.260505 ms, 
[18:45:13.181], CLIENT, 62, -->, MIX, 40, Header, 1c6b5d37, RUN, , , 
[18:45:13.239], CLIENT, 62, <--, MIX, 13, Header, 24ff692a, RUN, , , 
