[18:45:13.030], CLIENT, 63, -->, STTP, 17, list, 580fb789, ROUTE, , , 
[18:45:13.030], CLIENT, 63, -->, STTP, 7, list, 580fb789, ROUTE, , , 
[18:45:13.030], CLIENT, 63, -->, STTP, 19, list, 580fb789, ROUTE, , , 
[18:45:13.030], CLIENT, 63, -->, STTP, 2, list, 580fb789, ROUTE, , , 
[18:45:13.030], CLIENT, 63, -->, STTP, 16, list, 580fb789, ROUTE, , , 
[18:45:13.033], CLIENT, 63, <--, STTP, 7, list, f790e404, ROUTE, , , 
[18:45:13.037], CLIENT, 63, <--, STTP, 17, list, 87b45299, ROUTE, , , 
[18:45:13.041], CLIENT, 63, <--, STTP, 19, list, a1c1c21c, ROUTE, , , 
[18:45:13.042], CLIENT, 63, <--, STTP, 16, list, 2bb7b02d, ROUTE, , , 
[18:45:13.044], CLIENT, 63, <--, STTP, 2, list, 39533066, ROUTE, , , 
[18:45:13.054], CLIENT, 63, , , , , , query_route, CPU: 23.097772 ms, wall: 24.389417 ms, 
[18:45:13.055], CLIENT, 63, , , , , , shared_secret_rerandomization, CPU: 1.016415 ms, wall: 1.019709 ms, 
[18:45:13.058], CLIENT, 63, , , , , , compute_gamma, CPU: 0.263572 ms, wall: 0.262826 ms, 
[18:45:13.058], CLIENT, 63, , , , , , initial_layer, CPU: 2.378554 ms, wall: 2.412260 ms, 
[18:45:13.059], CLIENT, 63, , , , , , compute_gamma, CPU: 0.202362 ms, wall: 0.202001 ms, 
[18:45:13.059], CLIENT, 63, , , , , , add_layer, CPU: 1.002555 ms, wall: 1.008299 ms, 
[18:45:13.060], CLIENT, 63, , , , , , compute_gamma, CPU: 0.152716 ms, wall: 0.152479 ms, 
[18:45:13.060], CLIENT, 63, , , , , , add_layer, CPU: 0.818780 ms, wall: 0.826902 ms, 
[18:45:13.060], CLIENT, 63, , , , , , compute_gamma, CPU: 0.169108 ms, wall: 0.169016 ms, 
[18:45:13.060], CLIENT, 63, , , , , , add_layer, CPU: 0.811735 ms, wall: 0.815417 ms, 
[18:45:13.061], CLIENT, 63, , , , , , compute_gamma, CPU: 0.143803 ms, wall: 0.143611 ms, 
[18:45:13.061], CLIENT, 63, , , , , , add_layer, CPU: 0.786277 ms, wall: 0.789614 ms, 
[18:45:13.061], CLIENT, 63, , , , , , compute_layers, CPU: 6.019110 ms, wall: 6.073429 ms, 
[18:45:13.061], CLIENT, 63, , , , , , build_packet, CPU: 31.151688 ms, wall: 32.546738 ms, 
[18:45:13.061], CLIENT, 63, -->, MIX, 15, Header, 4e439e98, RUN, , , 
[18:45:13.084], CLIENT, 63, <--, MIX, 36, Header, 10a6e45b, RUN, , , 
