[18:45:13.111], CLIENT, 65, -->, STTP, 5, list, ab70e6bb, ROUTE, , , 
[18:45:13.111], CLIENT, 65, -->, STTP, 1, list, ab70e6bb, ROUTE, , , 
[18:45:13.112], CLIENT, 65, -->, STTP, 14, list, ab70e6bb, ROUTE, , , 
[18:45:13.112], CLIENT, 65, -->, STTP, 16, list, ab70e6bb, ROUTE, , , 
[18:45:13.112], CLIENT, 65, -->, STTP, 7, list, ab70e6bb, ROUTE, , , 
[18:45:13.115], CLIENT, 65, <--, STTP, 14, list, 1c362e96, ROUTE, , , 
[18:45:13.118], CLIENT, 65, <--, STTP, 5, list, 9ac60028, ROUTE, , , 
[18:45:13.121], CLIENT, 65, <--, STTP, 1, list, 0a10fe0e, ROUTE, , , 
[18:45:13.123], CLIENT, 65, <--, STTP, 16, list, 5fe1c6f2, ROUTE, , , 
[18:45:13.126], CLIENT, 65, <--, STTP, 7, list, 2f41c30b, ROUTE, , , 
[18:45:13.142], CLIENT, 65, , , , , , query_route, CPU: 29.182307 ms, wall: 31.076860 ms, 
[18:45:13.143], CLIENT, 65, , , , , , shared_secret_rerandomization, CPU: 1.216422 ms, wall: 1.225335 ms, 
[18:45:13.146], CLIENT, 65, , , , , , compute_gamma, CPU: 0.281808 ms, wall: 0.287658 ms, 
[18:45:13.146], CLIENT, 65, , , , , , initial_layer, CPU: 2.678728 ms, wall: 2.696953 ms, 
[18:45:13.148], CLIENT, 65, , , , , , compute_gamma, CPU: 0.341092 ms, wall: 0.340864 ms, 
[18:45:13.148], CLIENT, 65, , , , , , add_layer, CPU: 1.416201 ms, wall: 1.421415 ms, 
[18:45:13.149], CLIENT, 65, , , , , , compute_gamma, CPU: 0.253957 ms, wall: 0.253290 ms, 
[18:45:13.149], CLIENT, 65, , , , , , add_layer, CPU: 1.318976 ms, wall: 1.332086 ms, 
[18:45:13.150], CLIENT, 65, , , , , , compute_gamma, CPU: 0.235518 ms, wall: 0.235568 ms, 
[18:45:13.150], CLIENT, 65, , , , , , add_layer, CPU: 1.311194 ms, wall: 1.317448 ms, 
[18:45:13.152], CLIENT, 65, , , , , , compute_gamma, CPU: 0.246598 ms, wall: 0.246484 ms, 
[18:45:13.152], CLIENT, 65, , , , , , add_layer, CPU: 1.342174 ms, wall: 1.349900 ms, 
[18:45:13.152], CLIENT, 65, , , , , , compute_layers, CPU: 8.428202 ms, wall: 8.477689 ms, 
[18:45:13.152], CLIENT, 65, , , , , , build_packet, CPU: 40.222535 ms, wall: 42.201451 ms, 
[18:45:13.152], CLIENT, 65, -->, MIX, 35, Header, a1ada910, RUN, , , 
[18:45:13.222], CLIENT, 65, <--, MIX, 36, Header, 8809afa3, RUN, , , 
