[18:45:13.220], CLIENT, 66, -->, STTP, 12, list, 9e67068e, ROUTE, , , 
[18:45:13.220], CLIENT, 66, -->, STTP, 13, list, 9e67068e, ROUTE, , , 
[18:45:13.220], CLIENT, 66, -->, STTP, 10, list, 9e67068e, ROUTE, , , 
[18:45:13.224], CLIENT, 66, -->, STTP, 5, list, 9e67068e, ROUTE, , , 
[18:45:13.224], CLIENT, 66, -->, STTP, 2, list, 9e67068e, ROUTE, , , 
[18:45:13.230], CLIENT, 66, <--, STTP, 12, list, a874721b, ROUTE, , , 
[18:45:13.233], CLIENT, 66, <--, STTP, 13, list, 212c8eef, ROUTE, , , 
[18:45:13.235], CLIENT, 66, <--, STTP, 2, list, 899feb35, ROUTE, , , 
[18:45:13.238], CLIENT, 66, <--, STTP, 10, list, 7d6fc2f8, ROUTE, , , 
[18:45:13.243], CLIENT, 66, <--, STTP, 5, list, 1c0b3566, ROUTE, , , 
[18:45:13.260], CLIENT, 66, , , , , , query_route, CPU: 27.512703 ms, wall: 40.751598 ms, 
[18:45:13.262], CLIENT, 66, , , , , , shared_secret_rerandomization, CPU: 1.183998 ms, wall: 1.192236 ms, 
[18:45:13.263], CLIENT, 66, , , , , , compute_gamma, CPU: 0.198755 ms, wall: 0.198522 ms, 
[18:45:13.264], CLIENT, 66, , , , , , initial_layer, CPU: 1.847006 ms, wall: 1.859707 ms, 
[18:45:13.264], CLIENT, 66, , , , , , compute_gamma, CPU: 0.166617 ms, wall: 0.166333 ms, 
[18:45:13.264], CLIENT, 66, , , , , , add_layer, CPU: 0.875816 ms, wall: 0.880660 ms, 
[18:45:13.266], CLIENT, 66, , , , , , compute_gamma, CPU: 0.331777 ms, wall: 0.330915 ms, 
[18:45:13.266], CLIENT, 66, , , , , , add_layer, CPU: 1.148963 ms, wall: 1.154913 ms, 
[18:45:13.268], CLIENT, 66, , , , , , compute_gamma, CPU: 0.249914 ms, wall: 0.249355 ms, 
[18:45:13.268], CLIENT, 66, , , , , , add_layer, CPU: 1.253867 ms, wall: 1.927382 ms, 
[18:45:13.269], CLIENT, 66, , , , , , compute_gamma, CPU: 0.169506 ms, wall: 0.169317 ms, 
[18:45:13.269], CLIENT, 66, , , , , , add_layer, CPU: 1.002475 ms, wall: 1.007815 ms, 
[18:45:13.269], CLIENT, 66, , , , , , compute_layers, CPU: 6.439357 ms, wall: 7.140158 ms, 
[18:45:13.269], CLIENT, 66, , , , , , build_packet, CPU: 36.206159 ms, wall: 50.157786 ms, 
[18:45:13.269], CLIENT, 66, -->, MIX, 45, Header, 1ca103f3, RUN, , , 
[18:45:13.290], CLIENT, 66, <--, MIX, 26, Header, 34ea7b51, RUN, , , 
