[18:45:13.071], CLIENT, 68, -->, STTP, 5, list, ce55ed6d, ROUTE, , , 
[18:45:13.072], CLIENT, 68, -->, STTP, 6, list, ce55ed6d, ROUTE, , , 
[18:45:13.072], CLIENT, 68, -->, STTP, 7, list, ce55ed6d, ROUTE, , , 
[18:45:13.072], CLIENT, 68, -->, STTP, 16, list, ce55ed6d, ROUTE, , , 
[18:45:13.073], CLIENT, 68, -->, STTP, 19, list, ce55ed6d, ROUTE, , , 
[18:45:13.078], CLIENT, 68, <--, STTP, 5, list, e09cd6ad, ROUTE, , , 
[18:45:13.083], CLIENT, 68, <--, STTP, 6, list, 6d521a0a, ROUTE, , , 
[18:45:13.087], CLIENT, 68, <--, STTP, 19, list, 200f09c0, ROUTE, , , 
[18:45:13.091], CLIENT, 68, <--, STTP, 16, list, 288a2d14, ROUTE, , , 
[18:45:13.096], CLIENT, 68, <--, STTP, 7, list, 5c9bc612, ROUTE, , , 
[18:45:13.110], CLIENT, 68, , , , , , query_route, CPU: 37.778863 ms, wall: 39.072030 ms, 
[18:45:13.111], CLIENT, 68, , , , , , shared_secret_rerandomization, CPU: 1.311408 ms, wall: 1.320011 ms, 
[18:45:13.113], CLIENT, 68, , , , , , compute_gamma, CPU: 0.306012 ms, wall: 0.310221 ms, 
[18:45:13.113], CLIENT, 68, , , , , , initial_layer, CPU: 1.894758 ms, wall: 1.905870 ms, 
[18:45:13.115], CLIENT, 68, , , , , , compute_gamma, CPU: 0.337343 ms, wall: 0.337273 ms, 
[18:45:13.115], CLIENT, 68, , , , , , add_layer, CPU: 1.359429 ms, wall: 1.368250 ms, 
[18:45:13.116], CLIENT, 68, , , , , , compute_gamma, CPU: 0.239892 ms, wall: 0.246420 ms, 
[18:45:13.116], CLIENT, 68, , , , , , add_layer, CPU: 1.257619 ms, wall: 1.272861 ms, 
[18:45:13.117], CLIENT, 68, , , , , , compute_gamma, CPU: 0.231853 ms, wall: 0.231254 ms, 
[18:45:13.117], CLIENT, 68, , , , , , add_layer, CPU: 1.215231 ms, wall: 1.222633 ms, 
[18:45:13.119], CLIENT, 68, , , , , , compute_gamma, CPU: 0.226204 ms, wall: 0.225799 ms, 
[18:45:13.119], CLIENT, 68, , , , , , add_layer, CPU: 1.184761 ms, wall: 1.192339 ms, 
[18:45:13.119], CLIENT, 68, , , , , , compute_layers, CPU: 7.243232 ms, wall: 7.291985 ms, 
[18:45:13.119], CLIENT, 68, , , , , , build_packet, CPU: 47.742569 ms, wall: 49.111196 ms, 
[18:45:13.119], CLIENT, 68, -->, MIX, 28, Header, ee4b8c44, RUN, , , 
[18:45:13.168], CLIENT, 68, <--, MIX, 47, Header, 42704dab, RUN, , , 
