[18:45:12.354], CLIENT, 7, -->, STTP, 17, list, be72bd79, ROUTE, , , 
[18:45:12.355], CLIENT, 7, -->, STTP, 1, list, be72bd79, ROUTE, , , 
[18:45:12.355], CLIENT, 7, -->, STTP, 11, list, be72bd79, ROUTE, , , 
[18:45:12.355], CLIENT, 7, -->, STTP, 10, list, be72bd79, ROUTE, , , 
[18:45:12.356], CLIENT, 7, -->, STTP, 18, list, be72bd79, ROUTE, , , 
[18:45:12.358], CLIENT, 7, <--, STTP, 17, list, eb6e8df3, ROUTE, , , 
[18:45:12.360], CLIENT, 7, <--, STTP, 1, list, 39ccbbdc, ROUTE, , , 
[18:45:12.362], CLIENT, 7, <--, STTP, 11, list, 91b84598, ROUTE, , , 
[18:45:12.364], CLIENT, 7, <--, STTP, 10, list, 7ee9fa47, ROUTE, , , 
[18:45:12.368], CLIENT, 7, <--, STTP, 18, list, 781e499f, ROUTE, , , 
[18:45:12.379], CLIENT, 7, , , , , , query_route, CPU: 23.532763 ms, wall: 24.559592 ms, 
[18:45:12.380], CLIENT, 7, , , , , , shared_secret_rerandomization, CPU: 1.102581 ms, wall: 1.112084 ms, 
[18:45:12.382], CLIENT, 7, , , , , , compute_gamma, CPU: 0.187771 ms, wall: 0.187787 ms, 
[18:45:12.382], CLIENT, 7, , , , , , initial_layer, CPU: 1.695865 ms, wall: 1.699861 ms, 
[18:45:12.383], CLIENT, 7, , , , , , compute_gamma, CPU: 0.165065 ms, wall: 0.165079 ms, 
[18:45:12.383], CLIENT, 7, , , , , , add_layer, CPU: 0.844657 ms, wall: 0.848056 ms, 
[18:45:12.384], CLIENT, 7, , , , , , compute_gamma, CPU: 0.161223 ms, wall: 0.161049 ms, 
[18:45:12.384], CLIENT, 7, , , , , , add_layer, CPU: 0.824982 ms, wall: 0.829715 ms, 
[18:45:12.384], CLIENT, 7, , , , , , compute_gamma, CPU: 0.175709 ms, wall: 0.175566 ms, 
[18:45:12.384], CLIENT, 7, , , , , , add_layer, CPU: 0.818556 ms, wall: 0.821976 ms, 
[18:45:12.385], CLIENT, 7, , , , , , compute_gamma, CPU: 0.149868 ms, wall: 0.149670 ms, 
[18:45:12.385], CLIENT, 7, , , , , , add_layer, CPU: 0.783808 ms, wall: 0.787265 ms, 
[18:45:12.385], CLIENT, 7, , , , , , compute_layers, CPU: 5.170621 ms, wall: 5.189380 ms, 
[18:45:12.385], CLIENT, 7, , , , , , build_packet, CPU: 30.768289 ms, wall: 31.841944 ms, 
[18:45:12.385], CLIENT, 7, -->, MIX, 18, Header, 7d64d539, RUN, , , 
[18:45:12.409], CLIENT, 7, <--, MIX, 28, Header, 91b8f411, RUN, , , 
