[18:45:13.115], CLIENT, 70, -->, STTP, 3, list, 545edca6, ROUTE, , , 
[18:45:13.116], CLIENT, 70, -->, STTP, 16, list, 545edca6, ROUTE, , , 
[18:45:13.116], CLIENT, 70, -->, STTP, 9, list, 545edca6, ROUTE, , , 
[18:45:13.116], CLIENT, 70, -->, STTP, 12, list, 545edca6, ROUTE, , , 
[18:45:13.116], CLIENT, 70, -->, STTP, 18, list, 545edca6, ROUTE, , , 
[18:45:13.125], CLIENT, 70, <--, STTP, 3, list, 8b46ffbd, ROUTE, , , 
[18:45:13.129], CLIENT, 70, <--, STTP, 18, list, d296f05e, ROUTE, , , 
[18:45:13.133], CLIENT, 70, <--, STTP, 9, list, 5b49caa7, ROUTE, , , 
[18:45:13.136], CLIENT, 70, <--, STTP, 12, list, a1f3db75, ROUTE, , , 
[18:45:13.139], CLIENT, 70, <--, STTP, 16, list, a2fd8043, ROUTE, , , 
[18:45:13.155], CLIENT, 70, , , , , , query_route, CPU: 34.936059 ms, wall: 40.016594 ms, 
[18:45:13.159], CLIENT, 70, , , , , , shared_secret_rerandomization, CPU: 1.593624 ms, wall: 3.325194 ms, 
[18:45:13.162], CLIENT, 70, , , , , , compute_gamma, CPU: 0.280574 ms, wall: 0.280445 ms, 
[18:45:13.162], CLIENT, 70, , , , , , initial_layer, CPU: 2.764582 ms, wall: 3.105503 ms, 
[18:45:13.163], CLIENT, 70, , , , , , compute_gamma, CPU: 0.297847 ms, wall: 0.303946 ms, 
[18:45:13.164], CLIENT, 70, , , , , , add_layer, CPU: 1.386067 ms, wall: 1.397474 ms, 
[18:45:13.165], CLIENT, 70, , , , , , compute_gamma, CPU: 0.256837 ms, wall: 0.261737 ms, 
[18:45:13.165], CLIENT, 70, , , , , , add_layer, CPU: 1.369029 ms, wall: 1.422877 ms, 
[18:45:13.166], CLIENT, 70, , , , , , compute_gamma, CPU: 0.302776 ms, wall: 0.302976 ms, 
[18:45:13.167], CLIENT, 70, , , , , , add_layer, CPU: 1.408215 ms, wall: 1.437206 ms, 
[18:45:13.168], CLIENT, 70, , , , , , compute_gamma, CPU: 0.336678 ms, wall: 0.341607 ms, 
[18:45:13.168], CLIENT, 70, , , , , , add_layer, CPU: 1.459570 ms, wall: 1.539010 ms, 
[18:45:13.168], CLIENT, 70, , , , , , compute_layers, CPU: 8.751740 ms, wall: 9.265399 ms, 
[18:45:13.168], CLIENT, 70, , , , , , build_packet, CPU: 46.480793 ms, wall: 53.834487 ms, 
[18:45:13.168], CLIENT, 70, -->, MIX, 6, Header, 17a76698, RUN, , , 
[18:45:13.204], CLIENT, 70, <--, MIX, 35, Header, 6dc97961, RUN, , , 
