[18:45:13.069], CLIENT, 71, -->, STTP, 4, list, 330b28f3, ROUTE, , , 
[18:45:13.070], CLIENT, 71, -->, STTP, 13, list, 330b28f3, ROUTE, , , 
[18:45:13.070], CLIENT, 71, -->, STTP, 15, list, 330b28f3, ROUTE, , , 
[18:45:13.070], CLIENT, 71, -->, STTP, 16, list, 330b28f3, ROUTE, , , 
[18:45:13.070], CLIENT, 71, -->, STTP, 9, list, 330b28f3, ROUTE, , , 
[18:45:13.073], CLIENT, 71, <--, STTP, 4, list, 8defa2a0, ROUTE, , , 
[18:45:13.076], CLIENT, 71, <--, STTP, 13, list, 585ba20b, ROUTE, , , 
[18:45:13.078], CLIENT, 71, <--, STTP, 15, list, 7d633539, ROUTE, , , 
[18:45:13.080], CLIENT, 71, <--, STTP, 9, list, 8902f6e5, ROUTE, , , 
[18:45:13.082], CLIENT, 71, <--, STTP, 16, list, 3b16836c, ROUTE, , , 
[18:45:13.098], CLIENT, 71, , , , , , query_route, CPU: 27.571726 ms, wall: 29.171368 ms, 
[18:45:13.100], CLIENT, 71, , , , , , shared_secret_rerandomization, CPU: 1.552627 ms, wall: 1.569824 ms, 
[18:45:13.103], CLIENT, 71, , , , , , compute_gamma, CPU: 0.310399 ms, wall: 0.310529 ms, 
[18:45:13.103], CLIENT, 71, , , , , , initial_layer, CPU: 2.546595 ms, wall: 2.558926 ms, 
[18:45:13.104], CLIENT, 71, , , , , , compute_gamma, CPU: 0.229866 ms, wall: 0.229804 ms, 
[18:45:13.104], CLIENT, 71, , , , , , add_layer, CPU: 0.965503 ms, wall: 0.972806 ms, 
[18:45:13.105], CLIENT, 71, , , , , , compute_gamma, CPU: 0.207090 ms, wall: 0.206949 ms, 
[18:45:13.105], CLIENT, 71, , , , , , add_layer, CPU: 0.856135 ms, wall: 0.862122 ms, 
[18:45:13.105], CLIENT, 71, , , , , , compute_gamma, CPU: 0.156526 ms, wall: 0.156420 ms, 
[18:45:13.105], CLIENT, 71, , , , , , add_layer, CPU: 0.785930 ms, wall: 0.790292 ms, 
[18:45:13.106], CLIENT, 71, , , , , , compute_gamma, CPU: 0.198616 ms, wall: 0.198438 ms, 
[18:45:13.106], CLIENT, 71, , , , , , add_layer, CPU: 0.849517 ms, wall: 0.854458 ms, 
[18:45:13.106], CLIENT, 71, , , , , , compute_layers, CPU: 6.227116 ms, wall: 6.261349 ms, 
[18:45:13.106], CLIENT, 71, , , , , , build_packet, CPU: 36.351289 ms, wall: 38.007848 ms, 
[18:45:13.106], CLIENT, 71, -->, MIX, 23, Header, e608e836, RUN, , , 
[18:45:13.185], CLIENT, 71, <--, MIX, 12, Header, 73d50125, RUN, , , 
