[18:45:13.192], CLIENT, 73, -->, STTP, 3, list, 27da77ec, ROUTE, , , 
[18:45:13.192], CLIENT, 73, -->, STTP, 19, list, 27da77ec, ROUTE, , , 
[18:45:13.196], CLIENT, 73, -->, STTP, 16, list, 27da77ec, ROUTE, , , 
[18:45:13.196], CLIENT, 73, -->, STTP, 11, list, 27da77ec, ROUTE, , , 
[18:45:13.196], CLIENT, 73, -->, STTP, 17, list, 27da77ec, ROUTE, , , 
[18:45:13.206], CLIENT, 73, <--, STTP, 3, list, b65f07c9, ROUTE, , , 
[18:45:13.222], CLIENT, 73, <--, STTP, 16, list, d155a294, ROUTE, , , 
[18:45:13.224], CLIENT, 73, <--, STTP, 19, list, 4bccec60, ROUTE, , , 
[18:45:13.227], CLIENT, 73, <--, STTP, 11, list, 4345e627, ROUTE, , , 
[18:45:13.229], CLIENT, 73, <--, STTP, 17, list, 9dfe8715, ROUTE, , , 
[18:45:13.246], CLIENT, 73, , , , , , query_route, CPU: 30.134940 ms, wall: 54.606258 ms, 
[18:45:13.248], CLIENT, 73, , , , , , shared_secret_rerandomization, CPU: 1.632940 ms, wall: 1.653539 ms, 
[18:45:13.251], CLIENT, 73, , , , , , compute_gamma, CPU: 0.317314 ms, wall: 0.317244 ms, 
[18:45:13.251], CLIENT, 73, , , , , , initial_layer, CPU: 2.789162 ms, wall: 2.804641 ms, 
[18:45:13.252], CLIENT, 73, , , , , , compute_gamma, CPU: 0.334890 ms, wall: 0.334808 ms, 
[18:45:13.252], CLIENT, 73, , , , , , add_layer, CPU: 1.414277 ms, wall: 1.418882 ms, 
[18:45:13.254], CLIENT, 73, , , , , , compute_gamma, CPU: 0.242895 ms, wall: 0.242747 ms, 
[18:45:13.254], CLIENT, 73, , , , , , add_layer, CPU: 1.350534 ms, wall: 1.355600 ms, 
[18:45:13.255], CLIENT, 73, , , , , , compute_gamma, CPU: 0.236541 ms, wall: 0.236402 ms, 
[18:45:13.255], CLIENT, 73, , , , , , add_layer, CPU: 1.306642 ms, wall: 1.310801 ms, 
[18:45:13.257], CLIENT, 73, , , , , , compute_gamma, CPU: 0.279744 ms, wall: 0.279621 ms, 
[18:45:13.257], CLIENT, 73, , , , , , add_layer, CPU: 1.358034 ms, wall: 1.362422 ms, 
[18:45:13.257], CLIENT, 73, , , , , , compute_layers, CPU: 8.572879 ms, wall: 8.611569 ms, 
[18:45:13.257], CLIENT, 73, , , , , , build_packet, CPU: 41.290175 ms, wall: 65.817362 ms, 
[18:45:13.257], CLIENT, 73, -->, MIX, 27, Header, 9cf0ef67, RUN, , , 
[18:45:13.304], CLIENT, 73, <--, MIX, 11, Header, 6bff0ef4, RUN, , , 
