[18:45:13.126], CLIENT, 74, -->, STTP, 15, list, c7f5ff6b, ROUTE, , , 
[18:45:13.126], CLIENT, 74, -->, STTP, 7, list, c7f5ff6b, ROUTE, , , 
[18:45:13.126], CLIENT, 74, -->, STTP, 6, list, c7f5ff6b, ROUTE, , , 
[18:45:13.128], CLIENT, 74, -->, STTP, 18, list, c7f5ff6b, ROUTE, , , 
[18:45:13.129], CLIENT, 74, -->, STTP, 14, list, c7f5ff6b, ROUTE, , , 
[18:45:13.132], CLIENT, 74, <--, STTP, 7, list, 18f74753, ROUTE, , , 
[18:45:13.138], CLIENT, 74, <--, STTP, 18, list, 7352433c, ROUTE, , , 
[18:45:13.140], CLIENT, 74, <--, STTP, 15, list, 59d3c888, ROUTE, , , 
[18:45:13.149], CLIENT, 74, <--, STTP, 14, list, 26b48aaf, ROUTE, , , 
[18:45:13.154], CLIENT, 74, <--, STTP, 6, list, 7ec79f79, ROUTE, , , 
[18:45:13.187], CLIENT, 74, , , , , , query_route, CPU: 51.254256 ms, wall: 61.964425 ms, 
[18:45:13.191], CLIENT, 74, , , , , , shared_secret_rerandomization, CPU: 3.143846 ms, wall: 3.173804 ms, 
[18:45:13.196], CLIENT, 74, , , , , , compute_gamma, CPU: 0.447270 ms, wall: 0.455707 ms, 
[18:45:13.196], CLIENT, 74, , , , , , initial_layer, CPU: 5.427478 ms, wall: 5.466623 ms, 
[18:45:13.199], CLIENT, 74, , , , , , compute_gamma, CPU: 0.469902 ms, wall: 0.479156 ms, 
[18:45:13.199], CLIENT, 74, , , , , , add_layer, CPU: 2.690967 ms, wall: 2.717280 ms, 
[18:45:13.202], CLIENT, 74, , , , , , compute_gamma, CPU: 0.403431 ms, wall: 0.403175 ms, 
[18:45:13.202], CLIENT, 74, , , , , , add_layer, CPU: 2.588946 ms, wall: 2.624337 ms, 
[18:45:13.205], CLIENT, 74, , , , , , compute_gamma, CPU: 0.402231 ms, wall: 0.402454 ms, 
[18:45:13.205], CLIENT, 74, , , , , , add_layer, CPU: 2.567257 ms, wall: 2.581928 ms, 
[18:45:13.207], CLIENT, 74, , , , , , compute_gamma, CPU: 0.445210 ms, wall: 0.445418 ms, 
[18:45:13.208], CLIENT, 74, , , , , , add_layer, CPU: 2.647539 ms, wall: 2.672064 ms, 
[18:45:13.208], CLIENT, 74, , , , , , compute_layers, CPU: 16.609748 ms, wall: 16.757571 ms, 
[18:45:13.208], CLIENT, 74, , , , , , build_packet, CPU: 72.337903 ms, wall: 83.244820 ms, 
[18:45:13.208], CLIENT, 74, -->, MIX, 39, Header, 0de9ff23, RUN, , , 
[18:45:13.274], CLIENT, 74, <--, MIX, 50, Header, b5f5faaf, RUN, , , 
