[18:45:13.057], CLIENT, 75, -->, STTP, 17, list, 238bc153, ROUTE, , , 
[18:45:13.058], CLIENT, 75, -->, STTP, 18, list, 238bc153, ROUTE, , , 
[18:45:13.058], CLIENT, 75, -->, STTP, 2, list, 238bc153, ROUTE, , , 
[18:45:13.058], CLIENT, 75, -->, STTP, 3, list, 238bc153, ROUTE, , , 
[18:45:13.058], CLIENT, 75, -->, STTP, 11, list, 238bc153, ROUTE, , , 
[18:45:13.060], CLIENT, 75, <--, STTP, 18, list, 9840a902, ROUTE, , , 
[18:45:13.062], CLIENT, 75, <--, STTP, 17, list, 49fdfd2f, ROUTE, , , 
[18:45:13.063], CLIENT, 75, <--, STTP, 2, list, 89703f57, ROUTE, , , 
[18:45:13.065], CLIENT, 75, <--, STTP, 11, list, 7b9a7cb1, ROUTE, , , 
[18:45:13.066], CLIENT, 75, <--, STTP, 3, list, efe41c70, ROUTE, , , 
[18:45:13.091], CLIENT, 75, , , , , , query_route, CPU: 32.625343 ms, wall: 33.828821 ms, 
[18:45:13.094], CLIENT, 75, , , , , , shared_secret_rerandomization, CPU: 3.075035 ms, wall: 3.099977 ms, 
[18:45:13.100], CLIENT, 75, , , , , , compute_gamma, CPU: 0.456488 ms, wall: 0.456824 ms, 
[18:45:13.100], CLIENT, 75, , , , , , initial_layer, CPU: 5.338693 ms, wall: 5.387869 ms, 
[18:45:13.103], CLIENT, 75, , , , , , compute_gamma, CPU: 0.452287 ms, wall: 0.451993 ms, 
[18:45:13.103], CLIENT, 75, , , , , , add_layer, CPU: 2.585181 ms, wall: 2.600322 ms, 
[18:45:13.105], CLIENT, 75, , , , , , compute_gamma, CPU: 0.402207 ms, wall: 0.408597 ms, 
[18:45:13.105], CLIENT, 75, , , , , , add_layer, CPU: 2.532124 ms, wall: 2.552004 ms, 
[18:45:13.108], CLIENT, 75, , , , , , compute_gamma, CPU: 0.445434 ms, wall: 0.452425 ms, 
[18:45:13.108], CLIENT, 75, , , , , , add_layer, CPU: 2.611554 ms, wall: 2.633797 ms, 
[18:45:13.111], CLIENT, 75, , , , , , compute_gamma, CPU: 0.394356 ms, wall: 0.394564 ms, 
[18:45:13.111], CLIENT, 75, , , , , , add_layer, CPU: 2.530175 ms, wall: 2.545185 ms, 
[18:45:13.111], CLIENT, 75, , , , , , compute_layers, CPU: 16.262303 ms, wall: 16.389119 ms, 
[18:45:13.111], CLIENT, 75, , , , , , build_packet, CPU: 52.965625 ms, wall: 54.323760 ms, 
[18:45:13.111], CLIENT, 75, -->, MIX, 36, Header, b8983587, RUN, , , 
[18:45:13.158], CLIENT, 75, <--, MIX, 39, Header, 60a3ea9b, RUN, , , 
