[18:45:13.239], CLIENT, 76, -->, STTP, 16, list, cca4738c, ROUTE, , , 
[18:45:13.239], CLIENT, 76, -->, STTP, 17, list, cca4738c, ROUTE, , , 
[18:45:13.240], CLIENT, 76, -->, STTP, 4, list, cca4738c, ROUTE, , , 
[18:45:13.240], CLIENT, 76, -->, STTP, 7, list, cca4738c, ROUTE, , , 
[18:45:13.240], CLIENT, 76, -->, STTP, 13, list, cca4738c, ROUTE, , , 
[18:45:13.243], CLIENT, 76, <--, STTP, 16, list, 756786eb, ROUTE, , , 
[18:45:13.246], CLIENT, 76, <--, STTP, 7, list, ba7e6fd9, ROUTE, , , 
[18:45:13.248], CLIENT, 76, <--, STTP, 17, list, 3863d37c, ROUTE, , , 
[18:45:13.251], CLIENT, 76, <--, STTP, 13, list, 3d9bbec8, ROUTE, , , 
[18:45:13.253], CLIENT, 76, <--, STTP, 4, list, abbba29b, ROUTE, , , 
[18:45:13.269], CLIENT, 76, , , , , , query_route, CPU: 28.684245 ms, wall: 30.393574 ms, 
[18:45:13.270], CLIENT, 76, , , , , , shared_secret_rerandomization, CPU: 1.306788 ms, wall: 1.314730 ms, 
[18:45:13.273], CLIENT, 76, , , , , , compute_gamma, CPU: 0.267000 ms, wall: 0.266720 ms, 
[18:45:13.273], CLIENT, 76, , , , , , initial_layer, CPU: 2.254725 ms, wall: 2.270670 ms, 
[18:45:13.274], CLIENT, 76, , , , , , compute_gamma, CPU: 0.190403 ms, wall: 0.189538 ms, 
[18:45:13.274], CLIENT, 76, , , , , , add_layer, CPU: 1.116865 ms, wall: 1.124846 ms, 
[18:45:13.275], CLIENT, 76, , , , , , compute_gamma, CPU: 0.158781 ms, wall: 0.158748 ms, 
[18:45:13.275], CLIENT, 76, , , , , , add_layer, CPU: 0.827495 ms, wall: 0.827195 ms, 
[18:45:13.276], CLIENT, 76, , , , , , compute_gamma, CPU: 0.200955 ms, wall: 0.200835 ms, 
[18:45:13.276], CLIENT, 76, , , , , , add_layer, CPU: 0.853060 ms, wall: 0.859218 ms, 
[18:45:13.277], CLIENT, 76, , , , , , compute_gamma, CPU: 0.295564 ms, wall: 0.295782 ms, 
[18:45:13.277], CLIENT, 76, , , , , , add_layer, CPU: 1.026000 ms, wall: 1.031501 ms, 
[18:45:13.277], CLIENT, 76, , , , , , compute_layers, CPU: 6.372635 ms, wall: 6.415683 ms, 
[18:45:13.277], CLIENT, 76, , , , , , build_packet, CPU: 37.271774 ms, wall: 39.039100 ms, 
[18:45:13.277], CLIENT, 76, -->, MIX, 43, Header, 70212c15, RUN, , , 
[18:45:13.306], CLIENT, 76, <--, MIX, 25, Header, 7fe13b8a, RUN, , , 
