[18:45:13.201], CLIENT, 77, -->, STTP, 1, list, 60bdcdf9, ROUTE, , , 
[18:45:13.202], CLIENT, 77, -->, STTP, 15, list, 60bdcdf9, ROUTE, , , 
[18:45:13.202], CLIENT, 77, -->, STTP, 5, list, 60bdcdf9, ROUTE, , , 
[18:45:13.202], CLIENT, 77, -->, STTP, 2, list, 60bdcdf9, ROUTE, , , 
[18:45:13.204], CLIENT, 77, -->, STTP, 16, list, 60bdcdf9, ROUTE, , , 
[18:45:13.207], CLIENT, 77, <--, STTP, 1, list, 55938308, ROUTE, , , 
[18:45:13.214], CLIENT, 77, <--, STTP, 5, list, 1fbf7758, ROUTE, , , 
[18:45:13.216], CLIENT, 77, <--, STTP, 2, list, eae46293, ROUTE, , , 
[18:45:13.221], CLIENT, 77, <--, STTP, 15, list, f4ef913e, ROUTE, , , 
[18:45:13.225], CLIENT, 77, <--, STTP, 16, list, 7540b383, ROUTE, , , 
[18:45:13.240], CLIENT, 77, , , , , , query_route, CPU: 27.384258 ms, wall: 38.427653 ms, 
[18:45:13.241], CLIENT, 77, , , , , , shared_secret_rerandomization, CPU: 1.025938 ms, wall: 1.033976 ms, 
[18:45:13.243], CLIENT, 77, , , , , , compute_gamma, CPU: 0.230491 ms, wall: 0.229625 ms, 
[18:45:13.243], CLIENT, 77, , , , , , initial_layer, CPU: 2.063266 ms, wall: 2.075160 ms, 
[18:45:13.244], CLIENT, 77, , , , , , compute_gamma, CPU: 0.242793 ms, wall: 0.242730 ms, 
[18:45:13.244], CLIENT, 77, , , , , , add_layer, CPU: 0.954901 ms, wall: 0.954991 ms, 
[18:45:13.245], CLIENT, 77, , , , , , compute_gamma, CPU: 0.188116 ms, wall: 0.188018 ms, 
[18:45:13.245], CLIENT, 77, , , , , , add_layer, CPU: 0.868143 ms, wall: 0.868031 ms, 
[18:45:13.246], CLIENT, 77, , , , , , compute_gamma, CPU: 0.180604 ms, wall: 0.180369 ms, 
[18:45:13.246], CLIENT, 77, , , , , , add_layer, CPU: 0.821224 ms, wall: 0.826685 ms, 
[18:45:13.247], CLIENT, 77, , , , , , compute_gamma, CPU: 0.178321 ms, wall: 0.178175 ms, 
[18:45:13.247], CLIENT, 77, , , , , , add_layer, CPU: 0.824516 ms, wall: 0.827830 ms, 
[18:45:13.247], CLIENT, 77, , , , , , compute_layers, CPU: 5.769323 ms, wall: 5.801425 ms, 
[18:45:13.247], CLIENT, 77, , , , , , build_packet, CPU: 35.305099 ms, wall: 46.415823 ms, 
[18:45:13.247], CLIENT, 77, -->, MIX, 32, Header, 5766879a, RUN, , , 
[18:45:13.299], CLIENT, 77, <--, MIX, 27, Header, 3c91acf9, RUN, , , 
