[18:45:13.213], CLIENT, 78, -->, STTP, 9, list, c11aa333, ROUTE, , , 
[18:45:13.213], CLIENT, 78, -->, STTP, 7, list, c11aa333, ROUTE, , , 
[18:45:13.221], CLIENT, 78, -->, STTP, 17, list, c11aa333, ROUTE, , , 
[18:45:13.221], CLIENT, 78, -->, STTP, 2, list, c11aa333, ROUTE, , , 
[18:45:13.221], CLIENT, 78, -->, STTP, 5, list, c11aa333, ROUTE, , , 
[18:45:13.229], CLIENT, 78, <--, STTP, 9, list, 66f4de25, ROUTE, , , 
[18:45:13.235], CLIENT, 78, <--, STTP, 2, list, 96b28b3d, ROUTE, , , 
[18:45:13.241], CLIENT, 78, <--, STTP, 17, list, d4ca60e1, ROUTE, , , 
[18:45:13.245], CLIENT, 78, <--, STTP, 7, list, b5fde120, ROUTE, , , 
[18:45:13.247], CLIENT, 78, <--, STTP, 5, list, 40745856, ROUTE, , , 
[18:45:13.262], CLIENT, 78, , , , , , query_route, CPU: 28.441003 ms, wall: 49.218167 ms, 
[18:45:13.263], CLIENT, 78, , , , , , shared_secret_rerandomization, CPU: 1.091834 ms, wall: 1.099029 ms, 
[18:45:13.265], CLIENT, 78, , , , , , compute_gamma, CPU: 0.218433 ms, wall: 0.222652 ms, 
[18:45:13.265], CLIENT, 78, , , , , , initial_layer, CPU: 1.775460 ms, wall: 1.784244 ms, 
[18:45:13.266], CLIENT, 78, , , , , , compute_gamma, CPU: 0.209771 ms, wall: 0.214409 ms, 
[18:45:13.266], CLIENT, 78, , , , , , add_layer, CPU: 0.887245 ms, wall: 0.892048 ms, 
[18:45:13.267], CLIENT, 78, , , , , , compute_gamma, CPU: 0.213677 ms, wall: 0.220406 ms, 
[18:45:13.267], CLIENT, 78, , , , , , add_layer, CPU: 1.009973 ms, wall: 1.016849 ms, 
[18:45:13.268], CLIENT, 78, , , , , , compute_gamma, CPU: 0.253760 ms, wall: 0.253291 ms, 
[18:45:13.268], CLIENT, 78, , , , , , add_layer, CPU: 1.143981 ms, wall: 1.151115 ms, 
[18:45:13.270], CLIENT, 78, , , , , , compute_gamma, CPU: 0.228528 ms, wall: 0.228556 ms, 
[18:45:13.270], CLIENT, 78, , , , , , add_layer, CPU: 1.292150 ms, wall: 1.298763 ms, 
[18:45:13.270], CLIENT, 78, , , , , , compute_layers, CPU: 6.409429 ms, wall: 6.443026 ms, 
[18:45:13.270], CLIENT, 78, , , , , , build_packet, CPU: 36.994975 ms, wall: 57.816469 ms, 
[18:45:13.270], CLIENT, 78, -->, MIX, 45, Header, 6618e4cf, RUN, , , 
[18:45:13.305], CLIENT, 78, <--, MIX, 2, Header, 967d00e6, RUN, , , 
