[18:45:13.196], CLIENT, 79, -->, STTP, 11, list, 36e7ad91, ROUTE, , , 
[18:45:13.196], CLIENT, 79, -->, STTP, 14, list, 36e7ad91, ROUTE, , , 
[18:45:13.196], CLIENT, 79, -->, STTP, 18, list, 36e7ad91, ROUTE, , , 
[18:45:13.198], CLIENT, 79, -->, STTP, 19, list, 36e7ad91, ROUTE, , , 
[18:45:13.198], CLIENT, 79, -->, STTP, 6, list, 36e7ad91, ROUTE, , , 
[18:45:13.206], CLIENT, 79, <--, STTP, 18, list, f48aa10f, ROUTE, , , 
[18:45:13.209], CLIENT, 79, <--, STTP, 14, list, a1950f9f, ROUTE, , , 
[18:45:13.213], CLIENT, 79, <--, STTP, 6, list, b296793b, ROUTE, , , 
[18:45:13.217], CLIENT, 79, <--, STTP, 11, list, e1c2520a, ROUTE, , , 
[18:45:13.222], CLIENT, 79, <--, STTP, 19, list, a9834c4c, ROUTE, , , 
[18:45:13.240], CLIENT, 79, , , , , , query_route, CPU: 29.999602 ms, wall: 44.115409 ms, 
[18:45:13.241], CLIENT, 79, , , , , , shared_secret_rerandomization, CPU: 1.054817 ms, wall: 1.059575 ms, 
[18:45:13.244], CLIENT, 79, , , , , , compute_gamma, CPU: 0.305255 ms, wall: 0.305008 ms, 
[18:45:13.244], CLIENT, 79, , , , , , initial_layer, CPU: 2.729255 ms, wall: 2.747591 ms, 
[18:45:13.245], CLIENT, 79, , , , , , compute_gamma, CPU: 0.262977 ms, wall: 0.262755 ms, 
[18:45:13.245], CLIENT, 79, , , , , , add_layer, CPU: 1.384856 ms, wall: 1.391344 ms, 
[18:45:13.247], CLIENT, 79, , , , , , compute_gamma, CPU: 0.212039 ms, wall: 0.212056 ms, 
[18:45:13.247], CLIENT, 79, , , , , , add_layer, CPU: 1.315886 ms, wall: 1.322600 ms, 
[18:45:13.248], CLIENT, 79, , , , , , compute_gamma, CPU: 0.283306 ms, wall: 0.283158 ms, 
[18:45:13.248], CLIENT, 79, , , , , , add_layer, CPU: 1.395981 ms, wall: 1.426873 ms, 
[18:45:13.250], CLIENT, 79, , , , , , compute_gamma, CPU: 0.334698 ms, wall: 0.334572 ms, 
[18:45:13.250], CLIENT, 79, , , , , , add_layer, CPU: 1.395899 ms, wall: 1.402177 ms, 
[18:45:13.250], CLIENT, 79, , , , , , compute_layers, CPU: 8.602518 ms, wall: 8.733384 ms, 
[18:45:13.250], CLIENT, 79, , , , , , build_packet, CPU: 40.722477 ms, wall: 54.976812 ms, 
[18:45:13.250], CLIENT, 79, -->, MIX, 3, Header, 02684b27, RUN, , , 
[18:45:13.281], CLIENT, 79, <--, MIX, 45, Header, f77d216e, RUN, , , 
