[18:45:13.155], CLIENT, 80, -->, STTP, 19, list, 5fab0d80, ROUTE, , , 
[18:45:13.155], CLIENT, 80, -->, STTP, 7, list, 5fab0d80, ROUTE, , , 
[18:45:13.155], CLIENT, 80, -->, STTP, 2, list, 5fab0d80, ROUTE, , , 
[18:45:13.155], CLIENT, 80, -->, STTP, 18, list, 5fab0d80, ROUTE, , , 
[18:45:13.156], CLIENT, 80, -->, STTP, 6, list, 5fab0d80, ROUTE, , , 
[18:45:13.165], CLIENT, 80, <--, STTP, 18, list, 453abcba, ROUTE, , , 
[18:45:13.168], CLIENT, 80, <--, STTP, 19, list, 1f9bffd0, ROUTE, , , 
[18:45:13.170], CLIENT, 80, <--, STTP, 6, list, 65159978, ROUTE, , , 
[18:45:13.173], CLIENT, 80, <--, STTP, 2, list, 5650ba09, ROUTE, , , 
[18:45:13.175], CLIENT, 80, <--, STTP, 7, list, 77892721, ROUTE, , , 
[18:45:13.202], CLIENT, 80, , , , , , query_route, CPU: 30.719340 ms, wall: 47.016999 ms, 
[18:45:13.206], CLIENT, 80, , , , , , shared_secret_rerandomization, CPU: 1.610437 ms, wall: 3.971262 ms, 
[18:45:13.209], CLIENT, 80, , , , , , compute_gamma, CPU: 0.380410 ms, wall: 0.380602 ms, 
[18:45:13.209], CLIENT, 80, , , , , , initial_layer, CPU: 2.824406 ms, wall: 2.846476 ms, 
[18:45:13.210], CLIENT, 80, , , , , , compute_gamma, CPU: 0.168506 ms, wall: 0.168521 ms, 
[18:45:13.210], CLIENT, 80, , , , , , add_layer, CPU: 0.848765 ms, wall: 0.856567 ms, 
[18:45:13.211], CLIENT, 80, , , , , , compute_gamma, CPU: 0.254580 ms, wall: 0.253317 ms, 
[18:45:13.211], CLIENT, 80, , , , , , add_layer, CPU: 1.329800 ms, wall: 1.345862 ms, 
[18:45:13.212], CLIENT, 80, , , , , , compute_gamma, CPU: 0.285131 ms, wall: 0.284978 ms, 
[18:45:13.213], CLIENT, 80, , , , , , add_layer, CPU: 1.377966 ms, wall: 1.386215 ms, 
[18:45:13.214], CLIENT, 80, , , , , , compute_gamma, CPU: 0.226222 ms, wall: 0.226138 ms, 
[18:45:13.214], CLIENT, 80, , , , , , add_layer, CPU: 1.309558 ms, wall: 1.316626 ms, 
[18:45:13.214], CLIENT, 80, , , , , , compute_layers, CPU: 8.027322 ms, wall: 8.094475 ms, 
[18:45:13.214], CLIENT, 80, , , , , , build_packet, CPU: 41.320890 ms, wall: 60.020058 ms, 
[18:45:13.214], CLIENT, 80, -->, MIX, 38, Header, f3a1ff36, RUN, , , 
[18:45:13.266], CLIENT, 80, <--, MIX, 10, Header, c7c9ece6, RUN, , , 
