[18:45:13.116], CLIENT, 82, -->, STTP, 1, list, ec8a9c0b, ROUTE, , , 
[18:45:13.118], CLIENT, 82, -->, STTP, 17, list, ec8a9c0b, ROUTE, , , 
[18:45:13.118], CLIENT, 82, -->, STTP, 15, list, ec8a9c0b, ROUTE, , , 
[18:45:13.119], CLIENT, 82, -->, STTP, 9, list, ec8a9c0b, ROUTE, , , 
[18:45:13.119], CLIENT, 82, -->, STTP, 16, list, ec8a9c0b, ROUTE, , , 
[18:45:13.122], CLIENT, 82, <--, STTP, 1, list, c4777ab6, ROUTE, , , 
[18:45:13.128], CLIENT, 82, <--, STTP, 9, list, 79861de0, ROUTE, , , 
[18:45:13.132], CLIENT, 82, <--, STTP, 15, list, bfa03795, ROUTE, , , 
[18:45:13.135], CLIENT, 82, <--, STTP, 17, list, d10e6a63, ROUTE, , , 
[18:45:13.181], CLIENT, 82, <--, STTP, 16, list, f198f9c8, ROUTE, , , 
[18:45:13.216], CLIENT, 82, , , , , , query_route, CPU: 49.078903 ms, wall: 99.578469 ms, 
[18:45:13.219], CLIENT, 82, , , , , , shared_secret_rerandomization, CPU: 3.106287 ms, wall: 3.133778 ms, 
[18:45:13.225], CLIENT, 82, , , , , , compute_gamma, CPU: 0.500937 ms, wall: 0.501358 ms, 
[18:45:13.225], CLIENT, 82, , , , , , initial_layer, CPU: 5.447274 ms, wall: 5.490654 ms, 
[18:45:13.228], CLIENT, 82, , , , , , compute_gamma, CPU: 0.456431 ms, wall: 0.456176 ms, 
[18:45:13.228], CLIENT, 82, , , , , , add_layer, CPU: 2.665555 ms, wall: 2.681706 ms, 
[18:45:13.230], CLIENT, 82, , , , , , compute_gamma, CPU: 0.403776 ms, wall: 0.403997 ms, 
[18:45:13.231], CLIENT, 82, , , , , , add_layer, CPU: 2.610089 ms, wall: 2.636035 ms, 
[18:45:13.233], CLIENT, 82, , , , , , compute_gamma, CPU: 0.496498 ms, wall: 0.506429 ms, 
[18:45:13.233], CLIENT, 82, , , , , , add_layer, CPU: 2.643437 ms, wall: 2.669821 ms, 
[18:45:13.236], CLIENT, 82, , , , , , compute_gamma, CPU: 0.452995 ms, wall: 0.462428 ms, 
[18:45:13.236], CLIENT, 82, , , , , , add_layer, CPU: 2.629092 ms, wall: 2.653290 ms, 
[18:45:13.236], CLIENT, 82, , , , , , compute_layers, CPU: 16.669998 ms, wall: 16.812730 ms, 
[18:45:13.236], CLIENT, 82, , , , , , build_packet, CPU: 69.964251 ms, wall: 120.647907 ms, 
[18:45:13.237], CLIENT, 82, -->, MIX, 30, Header, 36c67c36, RUN, , , 
[18:45:13.292], CLIENT, 82, <--, MIX, 42, Header, 08a7f113, RUN, , , 
