[18:45:12.537], CLIENT, 85, -->, STTP, 6, list, fa539e38, ROUTE, , , 
[18:45:12.538], CLIENT, 85, -->, STTP, 4, list, fa539e38, ROUTE, , , 
[18:45:12.538], CLIENT, 85, -->, STTP, 17, list, fa539e38, ROUTE, , , 
[18:45:12.539], CLIENT, 85, -->, STTP, 10, list, fa539e38, ROUTE, , , 
[18:45:12.539], CLIENT, 85, -->, STTP, 3, list, fa539e38, ROUTE, , , 
[18:45:12.542], CLIENT, 85, <--, STTP, 4, list, 3808a97a, ROUTE, , , 
[18:45:12.543], CLIENT, 85, <--, STTP, 10, list, 4d67cfa1, ROUTE, , , 
[18:45:12.545], CLIENT, 85, <--, STTP, 6, list, b5c4c892, ROUTE, , , 
[18:45:12.546], CLIENT, 85, <--, STTP, 3, list, 49fbf93e, ROUTE, , , 
[18:45:12.548], CLIENT, 85, <--, STTP, 17, list, 65319fe6, ROUTE, , , 
[18:45:12.559], CLIENT, 85, , , , , , query_route, CPU: 20.701787 ms, wall: 21.736266 ms, 
[18:45:12.560], CLIENT, 85, , , , , , shared_secret_rerandomization, CPU: 1.101890 ms, wall: 1.107977 ms, 
[18:45:12.562], CLIENT, 85, , , , , , compute_gamma, CPU: 0.202901 ms, wall: 0.202859 ms, 
[18:45:12.562], CLIENT, 85, , , , , , initial_layer, CPU: 1.675966 ms, wall: 1.681336 ms, 
[18:45:12.563], CLIENT, 85, , , , , , compute_gamma, CPU: 0.154693 ms, wall: 0.154554 ms, 
[18:45:12.563], CLIENT, 85, , , , , , add_layer, CPU: 0.820269 ms, wall: 0.819996 ms, 
[18:45:12.564], CLIENT, 85, , , , , , compute_gamma, CPU: 0.148314 ms, wall: 0.148187 ms, 
[18:45:12.564], CLIENT, 85, , , , , , add_layer, CPU: 0.791162 ms, wall: 0.796918 ms, 
[18:45:12.564], CLIENT, 85, , , , , , compute_gamma, CPU: 0.170936 ms, wall: 0.170799 ms, 
[18:45:12.564], CLIENT, 85, , , , , , add_layer, CPU: 0.806951 ms, wall: 0.811107 ms, 
[18:45:12.565], CLIENT, 85, , , , , , compute_gamma, CPU: 0.211342 ms, wall: 0.211339 ms, 
[18:45:12.565], CLIENT, 85, , , , , , add_layer, CPU: 0.894372 ms, wall: 0.898241 ms, 
[18:45:12.565], CLIENT, 85, , , , , , compute_layers, CPU: 5.215031 ms, wall: 5.237812 ms, 
[18:45:12.566], CLIENT, 85, , , , , , build_packet, CPU: 28.283907 ms, wall: 29.362754 ms, 
[18:45:12.566], CLIENT, 85, -->, MIX, 41, Header, b2d50a2d, RUN, , , 
[18:45:12.586], CLIENT, 85, <--, MIX, 32, Header, dcba7b7c, RUN, , , 
