[18:45:13.158], CLIENT, 86, -->, STTP, 5, list, 9cbd4e94, ROUTE, , , 
[18:45:13.158], CLIENT, 86, -->, STTP, 6, list, 9cbd4e94, ROUTE, , , 
[18:45:13.158], CLIENT, 86, -->, STTP, 1, list, 9cbd4e94, ROUTE, , , 
[18:45:13.158], CLIENT, 86, -->, STTP, 13, list, 9cbd4e94, ROUTE, , , 
[18:45:13.159], CLIENT, 86, -->, STTP, 12, list, 9cbd4e94, ROUTE, , , 
[18:45:13.162], CLIENT, 86, <--, STTP, 5, list, 8a4916b0, ROUTE, , , 
[18:45:13.168], CLIENT, 86, <--, STTP, 13, list, a8e9ed5e, ROUTE, , , 
[18:45:13.170], CLIENT, 86, <--, STTP, 6, list, d65f0a70, ROUTE, , , 
[18:45:13.173], CLIENT, 86, <--, STTP, 1, list, 5e719671, ROUTE, , , 
[18:45:13.175], CLIENT, 86, <--, STTP, 12, list, bc03f53c, ROUTE, , , 
[18:45:13.197], CLIENT, 86, , , , , , query_route, CPU: 30.854706 ms, wall: 39.019303 ms, 
[18:45:13.198], CLIENT, 86, , , , , , shared_secret_rerandomization, CPU: 1.536230 ms, wall: 1.553002 ms, 
[18:45:13.201], CLIENT, 86, , , , , , compute_gamma, CPU: 0.374908 ms, wall: 0.381473 ms, 
[18:45:13.201], CLIENT, 86, , , , , , initial_layer, CPU: 2.763868 ms, wall: 2.784139 ms, 
[18:45:13.203], CLIENT, 86, , , , , , compute_gamma, CPU: 0.353744 ms, wall: 0.353375 ms, 
[18:45:13.203], CLIENT, 86, , , , , , add_layer, CPU: 1.449186 ms, wall: 1.456943 ms, 
[18:45:13.204], CLIENT, 86, , , , , , compute_gamma, CPU: 0.245214 ms, wall: 0.251250 ms, 
[18:45:13.204], CLIENT, 86, , , , , , add_layer, CPU: 1.317226 ms, wall: 1.330371 ms, 
[18:45:13.205], CLIENT, 86, , , , , , compute_gamma, CPU: 0.282694 ms, wall: 0.282452 ms, 
[18:45:13.206], CLIENT, 86, , , , , , add_layer, CPU: 1.356111 ms, wall: 1.362298 ms, 
[18:45:13.207], CLIENT, 86, , , , , , compute_gamma, CPU: 0.176135 ms, wall: 0.175563 ms, 
[18:45:13.207], CLIENT, 86, , , , , , add_layer, CPU: 1.146418 ms, wall: 1.152650 ms, 
[18:45:13.207], CLIENT, 86, , , , , , compute_layers, CPU: 8.405329 ms, wall: 8.458030 ms, 
[18:45:13.207], CLIENT, 86, , , , , , build_packet, CPU: 41.728371 ms, wall: 49.959492 ms, 
[18:45:13.207], CLIENT, 86, -->, MIX, 39, Header, 145c7ebd, RUN, , , 
[18:45:13.240], CLIENT, 86, <--, MIX, 17, Header, d77c7307, RUN, , , 
