[18:45:12.538], CLIENT, 87, -->, STTP, 13, list, d0c89cc3, ROUTE, , , 
[18:45:12.538], CLIENT, 87, -->, STTP, 9, list, d0c89cc3, ROUTE, , , 
[18:45:12.538], CLIENT, 87, -->, STTP, 17, list, d0c89cc3, ROUTE, , , 
[18:45:12.538], CLIENT, 87, -->, STTP, 3, list, d0c89cc3, ROUTE, , , 
[18:45:12.539], CLIENT, 87, -->, STTP, 7, list, d0c89cc3, ROUTE, , , 
[18:45:12.544], CLIENT, 87, <--, STTP, 3, list, bf314231, ROUTE, , , 
[18:45:12.548], CLIENT, 87, <--, STTP, 7, list, ca43d87c, ROUTE, , , 
[18:45:12.552], CLIENT, 87, <--, STTP, 17, list, dfcc240e, ROUTE, , , 
[18:45:12.554], CLIENT, 87, <--, STTP, 13, list, 8a637db4, ROUTE, , , 
[18:45:12.556], CLIENT, 87, <--, STTP, 9, list, 4c58e27c, ROUTE, , , 
[18:45:12.566], CLIENT, 87, , , , , , query_route, CPU: 25.577289 ms, wall: 27.934071 ms, 
[18:45:12.568], CLIENT, 87, , , , , , shared_secret_rerandomization, CPU: 1.808644 ms, wall: 1.844700 ms, 
[18:45:12.570], CLIENT, 87, , , , , , compute_gamma, CPU: 0.239636 ms, wall: 0.239982 ms, 
[18:45:12.570], CLIENT, 87, , , , , , initial_layer, CPU: 1.877365 ms, wall: 1.888652 ms, 
[18:45:12.571], CLIENT, 87, , , , , , compute_gamma, CPU: 0.262753 ms, wall: 0.262869 ms, 
[18:45:12.571], CLIENT, 87, , , , , , add_layer, CPU: 0.986194 ms, wall: 0.993017 ms, 
[18:45:12.572], CLIENT, 87, , , , , , compute_gamma, CPU: 0.187771 ms, wall: 0.187295 ms, 
[18:45:12.572], CLIENT, 87, , , , , , add_layer, CPU: 0.926323 ms, wall: 0.934438 ms, 
[18:45:12.573], CLIENT, 87, , , , , , compute_gamma, CPU: 0.171917 ms, wall: 0.171639 ms, 
[18:45:12.573], CLIENT, 87, , , , , , add_layer, CPU: 0.849438 ms, wall: 0.855531 ms, 
[18:45:12.574], CLIENT, 87, , , , , , compute_gamma, CPU: 0.228642 ms, wall: 0.227976 ms, 
[18:45:12.574], CLIENT, 87, , , , , , add_layer, CPU: 1.066239 ms, wall: 1.073703 ms, 
[18:45:12.574], CLIENT, 87, , , , , , compute_layers, CPU: 5.949733 ms, wall: 5.988688 ms, 
[18:45:12.574], CLIENT, 87, , , , , , build_packet, CPU: 34.404403 ms, wall: 36.847853 ms, 
[18:45:12.574], CLIENT, 87, -->, MIX, 34, Header, 6f0d83b4, RUN, , , 
[18:45:12.597], CLIENT, 87, <--, MIX, 1, Header, 0f0fae8d, RUN, , , 
