[18:45:13.190], CLIENT, 88, -->, STTP, 12, list, 855d3120, ROUTE, , , 
[18:45:13.190], CLIENT, 88, -->, STTP, 11, list, 855d3120, ROUTE, , , 
[18:45:13.192], CLIENT, 88, -->, STTP, 6, list, 855d3120, ROUTE, , , 
[18:45:13.192], CLIENT, 88, -->, STTP, 19, list, 855d3120, ROUTE, , , 
[18:45:13.192], CLIENT, 88, -->, STTP, 14, list, 855d3120, ROUTE, , , 
[18:45:13.194], CLIENT, 88, <--, STTP, 11, list, 198006d2, ROUTE, , , 
[18:45:13.196], CLIENT, 88, <--, STTP, 12, list, b8af4fef, ROUTE, , , 
[18:45:13.198], CLIENT, 88, <--, STTP, 14, list, 7f030aa3, ROUTE, , , 
[18:45:13.200], CLIENT, 88, <--, STTP, 19, list, eedea803, ROUTE, , , 
[18:45:13.202], CLIENT, 88, <--, STTP, 6, list, 0ba36214, ROUTE, , , 
[18:45:13.216], CLIENT, 88, , , , , , query_route, CPU: 24.836809 ms, wall: 26.687845 ms, 
[18:45:13.218], CLIENT, 88, , , , , , shared_secret_rerandomization, CPU: 1.272151 ms, wall: 1.278018 ms, 
[18:45:13.220], CLIENT, 88, , , , , , compute_gamma, CPU: 0.264967 ms, wall: 0.265222 ms, 
[18:45:13.221], CLIENT, 88, , , , , , initial_layer, CPU: 2.671906 ms, wall: 2.688727 ms, 
[18:45:13.222], CLIENT, 88, , , , , , compute_gamma, CPU: 0.261835 ms, wall: 0.261476 ms, 
[18:45:13.222], CLIENT, 88, , , , , , add_layer, CPU: 1.350569 ms, wall: 1.366039 ms, 
[18:45:13.223], CLIENT, 88, , , , , , compute_gamma, CPU: 0.285351 ms, wall: 0.285555 ms, 
[18:45:13.224], CLIENT, 88, , , , , , add_layer, CPU: 1.386599 ms, wall: 1.392378 ms, 
[18:45:13.225], CLIENT, 88, , , , , , compute_gamma, CPU: 0.246294 ms, wall: 0.245940 ms, 
[18:45:13.225], CLIENT, 88, , , , , , add_layer, CPU: 1.327167 ms, wall: 1.335668 ms, 
[18:45:13.226], CLIENT, 88, , , , , , compute_gamma, CPU: 0.310203 ms, wall: 0.310199 ms, 
[18:45:13.226], CLIENT, 88, , , , , , add_layer, CPU: 1.369923 ms, wall: 1.373814 ms, 
[18:45:13.226], CLIENT, 88, , , , , , compute_layers, CPU: 8.479285 ms, wall: 8.534744 ms, 
[18:45:13.226], CLIENT, 88, , , , , , build_packet, CPU: 35.514159 ms, wall: 37.423288 ms, 
[18:45:13.227], CLIENT, 88, -->, MIX, 26, Header, 6d44ecac, RUN, , , 
[18:45:13.274], CLIENT, 88, <--, MIX, 39, Header, c3f60160, RUN, , , 
