[18:45:13.250], CLIENT, 89, -->, STTP, 19, list, ccbbe7b1, ROUTE, , , 
[18:45:13.251], CLIENT, 89, -->, STTP, 12, list, ccbbe7b1, ROUTE, , , 
[18:45:13.251], CLIENT, 89, -->, STTP, 4, list, ccbbe7b1, ROUTE, , , 
[18:45:13.252], CLIENT, 89, -->, STTP, 14, list, ccbbe7b1, ROUTE, , , 
[18:45:13.252], CLIENT, 89, -->, STTP, 3, list, ccbbe7b1, ROUTE, , , 
[18:45:13.255], CLIENT, 89, <--, STTP, 19, list, d160350e, ROUTE, , , 
[18:45:13.257], CLIENT, 89, <--, STTP, 12, list, becadcd6, ROUTE, , , 
[18:45:13.259], CLIENT, 89, <--, STTP, 14, list, bfc8e437, ROUTE, , , 
[18:45:13.260], CLIENT, 89, <--, STTP, 3, list, dd12ecc0, ROUTE, , , 
[18:45:13.262], CLIENT, 89, <--, STTP, 4, list, 739c6a03, ROUTE, , , 
[18:45:13.273], CLIENT, 89, , , , , , query_route, CPU: 21.979804 ms, wall: 23.756040 ms, 
[18:45:13.274], CLIENT, 89, , , , , , shared_secret_rerandomization, CPU: 0.957016 ms, wall: 0.964544 ms, 
[18:45:13.276], CLIENT, 89, , , , , , compute_gamma, CPU: 0.257050 ms, wall: 0.257330 ms, 
[18:45:13.276], CLIENT, 89, , , , , , initial_layer, CPU: 1.807744 ms, wall: 1.818524 ms, 
[18:45:13.277], CLIENT, 89, , , , , , compute_gamma, CPU: 0.164251 ms, wall: 0.164148 ms, 
[18:45:13.277], CLIENT, 89, , , , , , add_layer, CPU: 0.812053 ms, wall: 0.817242 ms, 
[18:45:13.278], CLIENT, 89, , , , , , compute_gamma, CPU: 0.167924 ms, wall: 0.173763 ms, 
[18:45:13.278], CLIENT, 89, , , , , , add_layer, CPU: 0.832492 ms, wall: 0.838518 ms, 
[18:45:13.279], CLIENT, 89, , , , , , compute_gamma, CPU: 0.170107 ms, wall: 0.176975 ms, 
[18:45:13.279], CLIENT, 89, , , , , , add_layer, CPU: 0.964874 ms, wall: 0.972170 ms, 
[18:45:13.280], CLIENT, 89, , , , , , compute_gamma, CPU: 0.183057 ms, wall: 0.188924 ms, 
[18:45:13.280], CLIENT, 89, , , , , , add_layer, CPU: 0.904775 ms, wall: 0.911965 ms, 
[18:45:13.280], CLIENT, 89, , , , , , compute_layers, CPU: 5.564860 ms, wall: 5.600869 ms, 
[18:45:13.280], CLIENT, 89, , , , , , build_packet, CPU: 29.345746 ms, wall: 31.161592 ms, 
[18:45:13.280], CLIENT, 89, -->, MIX, 14, Header, b66aa4d0, RUN, , , 
[18:45:13.305], CLIENT, 89, <--, MIX, 37, Header, 22e8d4a5, RUN, , , 
