[18:45:13.107], CLIENT, 9, -->, STTP, 16, list, 8a9f1c15, ROUTE, , , 
[18:45:13.107], CLIENT, 9, -->, STTP, 13, list, 8a9f1c15, ROUTE, , , 
[18:45:13.108], CLIENT, 9, -->, STTP, 1, list, 8a9f1c15, ROUTE, , , 
[18:45:13.108], CLIENT, 9, -->, STTP, 17, list, 8a9f1c15, ROUTE, , , 
[18:45:13.108], CLIENT, 9, -->, STTP, 10, list, 8a9f1c15, ROUTE, , , 
[18:45:13.111], CLIENT, 9, <--, STTP, 16, list, 248601ad, ROUTE, , , 
[18:45:13.113], CLIENT, 9, <--, STTP, 13, list, f186c5f3, ROUTE, , , 
[18:45:13.115], CLIENT, 9, <--, STTP, 1, list, 36d33d47, ROUTE, , , 
[18:45:13.117], CLIENT, 9, <--, STTP, 10, list, 1927c923, ROUTE, , , 
[18:45:13.128], CLIENT, 9, <--, STTP, 17, list, 6fe944d3, ROUTE, , , 
[18:45:13.152], CLIENT, 9, , , , , , query_route, CPU: 30.659281 ms, wall: 45.346123 ms, 
[18:45:13.154], CLIENT, 9, , , , , , shared_secret_rerandomization, CPU: 1.514950 ms, wall: 1.520125 ms, 
[18:45:13.157], CLIENT, 9, , , , , , compute_gamma, CPU: 0.371875 ms, wall: 0.371946 ms, 
[18:45:13.157], CLIENT, 9, , , , , , initial_layer, CPU: 2.836210 ms, wall: 2.849465 ms, 
[18:45:13.158], CLIENT, 9, , , , , , compute_gamma, CPU: 0.255519 ms, wall: 0.260014 ms, 
[18:45:13.158], CLIENT, 9, , , , , , add_layer, CPU: 1.361188 ms, wall: 1.369476 ms, 
[18:45:13.160], CLIENT, 9, , , , , , compute_gamma, CPU: 0.235352 ms, wall: 0.235271 ms, 
[18:45:13.160], CLIENT, 9, , , , , , add_layer, CPU: 1.329039 ms, wall: 1.335165 ms, 
[18:45:13.161], CLIENT, 9, , , , , , compute_gamma, CPU: 0.233047 ms, wall: 0.232963 ms, 
[18:45:13.161], CLIENT, 9, , , , , , add_layer, CPU: 1.299184 ms, wall: 1.306586 ms, 
[18:45:13.162], CLIENT, 9, , , , , , compute_gamma, CPU: 0.227141 ms, wall: 0.227177 ms, 
[18:45:13.162], CLIENT, 9, , , , , , add_layer, CPU: 1.298264 ms, wall: 1.301652 ms, 
[18:45:13.162], CLIENT, 9, , , , , , compute_layers, CPU: 8.462036 ms, wall: 8.500065 ms, 
[18:45:13.162], CLIENT, 9, , , , , , build_packet, CPU: 42.011689 ms, wall: 56.749290 ms, 
[18:45:13.163], CLIENT, 9, -->, MIX, 50, Header, af40d663, RUN, , , 
[18:45:13.191], CLIENT, 9, <--, MIX, 44, Header, bbe8c0f3, RUN, , , 
