[18:45:13.201], CLIENT, 90, -->, STTP, 1, list, 4fd2e030, ROUTE, , , 
[18:45:13.202], CLIENT, 90, -->, STTP, 3, list, 4fd2e030, ROUTE, , , 
[18:45:13.202], CLIENT, 90, -->, STTP, 2, list, 4fd2e030, ROUTE, , , 
[18:45:13.204], CLIENT, 90, -->, STTP, 12, list, 4fd2e030, ROUTE, , , 
[18:45:13.204], CLIENT, 90, -->, STTP, 11, list, 4fd2e030, ROUTE, , , 
[18:45:13.206], CLIENT, 90, <--, STTP, 3, list, b156cbc8, ROUTE, , , 
[18:45:13.223], CLIENT, 90, <--, STTP, 2, list, 4f3d8cec, ROUTE, , , 
[18:45:13.225], CLIENT, 90, <--, STTP, 12, list, d5f675a7, ROUTE, , , 
[18:45:13.228], CLIENT, 90, <--, STTP, 11, list, e82ca2e4, ROUTE, , , 
[18:45:13.230], CLIENT, 90, <--, STTP, 1, list, a518600c, ROUTE, , , 
[18:45:13.249], CLIENT, 90, , , , , , query_route, CPU: 29.319122 ms, wall: 48.080205 ms, 
[18:45:13.251], CLIENT, 90, , , , , , shared_secret_rerandomization, CPU: 1.505727 ms, wall: 1.519402 ms, 
[18:45:13.254], CLIENT, 90, , , , , , compute_gamma, CPU: 0.281805 ms, wall: 0.281378 ms, 
[18:45:13.254], CLIENT, 90, , , , , , initial_layer, CPU: 2.708472 ms, wall: 2.717983 ms, 
[18:45:13.255], CLIENT, 90, , , , , , compute_gamma, CPU: 0.250889 ms, wall: 0.250751 ms, 
[18:45:13.255], CLIENT, 90, , , , , , add_layer, CPU: 1.341448 ms, wall: 1.346069 ms, 
[18:45:13.257], CLIENT, 90, , , , , , compute_gamma, CPU: 0.243354 ms, wall: 0.243351 ms, 
[18:45:13.257], CLIENT, 90, , , , , , add_layer, CPU: 1.283730 ms, wall: 1.289582 ms, 
[18:45:13.258], CLIENT, 90, , , , , , compute_gamma, CPU: 0.278095 ms, wall: 0.283715 ms, 
[18:45:13.258], CLIENT, 90, , , , , , add_layer, CPU: 1.333317 ms, wall: 1.343781 ms, 
[18:45:13.259], CLIENT, 90, , , , , , compute_gamma, CPU: 0.280177 ms, wall: 0.280346 ms, 
[18:45:13.259], CLIENT, 90, , , , , , add_layer, CPU: 1.333528 ms, wall: 1.338046 ms, 
[18:45:13.260], CLIENT, 90, , , , , , compute_layers, CPU: 8.341256 ms, wall: 8.383405 ms, 
[18:45:13.260], CLIENT, 90, , , , , , build_packet, CPU: 40.120215 ms, wall: 58.942407 ms, 
[18:45:13.260], CLIENT, 90, -->, MIX, 12, Header, 1b73c459, RUN, , , 
[18:45:13.304], CLIENT, 90, <--, MIX, 23, Header, 713f186b, RUN, , , 
