[18:45:13.208], CLIENT, 92, -->, STTP, 9, list, c5c03b80, ROUTE, , , 
[18:45:13.208], CLIENT, 92, -->, STTP, 11, list, c5c03b80, ROUTE, , , 
[18:45:13.208], CLIENT, 92, -->, STTP, 15, list, c5c03b80, ROUTE, , , 
[18:45:13.208], CLIENT, 92, -->, STTP, 16, list, c5c03b80, ROUTE, , , 
[18:45:13.209], CLIENT, 92, -->, STTP, 12, list, c5c03b80, ROUTE, , , 
[18:45:13.212], CLIENT, 92, <--, STTP, 9, list, 3c407fc5, ROUTE, , , 
[18:45:13.214], CLIENT, 92, <--, STTP, 12, list, 8b5f118a, ROUTE, , , 
[18:45:13.220], CLIENT, 92, <--, STTP, 11, list, 3089881b, ROUTE, , , 
[18:45:13.228], CLIENT, 92, <--, STTP, 15, list, 1bfef807, ROUTE, , , 
[18:45:13.233], CLIENT, 92, <--, STTP, 16, list, 39277b1d, ROUTE, , , 
[18:45:13.267], CLIENT, 92, , , , , , query_route, CPU: 48.615870 ms, wall: 59.155759 ms, 
[18:45:13.270], CLIENT, 92, , , , , , shared_secret_rerandomization, CPU: 3.074020 ms, wall: 3.113435 ms, 
[18:45:13.276], CLIENT, 92, , , , , , compute_gamma, CPU: 0.439185 ms, wall: 0.439330 ms, 
[18:45:13.276], CLIENT, 92, , , , , , initial_layer, CPU: 5.401185 ms, wall: 5.441307 ms, 
[18:45:13.278], CLIENT, 92, , , , , , compute_gamma, CPU: 0.418164 ms, wall: 0.426714 ms, 
[18:45:13.278], CLIENT, 92, , , , , , add_layer, CPU: 2.635010 ms, wall: 2.659995 ms, 
[18:45:13.281], CLIENT, 92, , , , , , compute_gamma, CPU: 0.488055 ms, wall: 0.494536 ms, 
[18:45:13.281], CLIENT, 92, , , , , , add_layer, CPU: 2.679074 ms, wall: 2.703146 ms, 
[18:45:13.284], CLIENT, 92, , , , , , compute_gamma, CPU: 0.448407 ms, wall: 0.456006 ms, 
[18:45:13.284], CLIENT, 92, , , , , , add_layer, CPU: 2.691828 ms, wall: 2.718819 ms, 
[18:45:13.287], CLIENT, 92, , , , , , compute_gamma, CPU: 0.492042 ms, wall: 0.492331 ms, 
[18:45:13.287], CLIENT, 92, , , , , , add_layer, CPU: 2.692842 ms, wall: 2.718380 ms, 
[18:45:13.287], CLIENT, 92, , , , , , compute_layers, CPU: 16.767905 ms, wall: 16.907666 ms, 
[18:45:13.287], CLIENT, 92, , , , , , build_packet, CPU: 69.495649 ms, wall: 80.214715 ms, 
[18:45:13.287], CLIENT, 92, -->, MIX, 35, Header, 9c90de90, RUN, , , 
[18:45:13.311], CLIENT, 92, <--, MIX, 42, Header, 5a4b34e1, RUN, , , 
